file_id,cluster_id_x,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,cluster_id_y,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_bge_hdbscan_30,13.0,0.498895358,0.292226985,0.0413793103,0.513095238,0.569074692,0.29121745,0.144827586,0.663095238,0.434161862,0,0.025,,13.0,1.477011494,3.655172414,2.586206897,1.310670747,10.37931034,8.931034483,1.035714286,1.035714286,1,13.0,0.100497399,0.732026745,0.207643442,0.663033319,0.119789613,0.807667386
cluster_bge_hdbscan_40,10.0,0.493917942,0.291315777,0.0434782609,0.512121212,0.563208899,0.27234036,0.130434783,0.671212121,0.411445396,0,0.0272727273,,10.0,1.702898551,4.304347826,2.565217391,1.155025892,9.913043478,8.782608696,0.954545455,0.954545455,1,10.0,0.0958385494,0.735331101,0.182190857,0.670419577,0.111113784,0.813508046
cluster_bge_hdbscan_50,9.0,0.476255886,0.277251889,0.0428571429,0.488333333,0.552313353,0.27813062,0.128571429,0.668333333,0.402102848,0,0.025,,9.0,1.675,4.19047619,2.523809524,1.208282326,10.42857143,9.380952381,1.3,1.3,1,9.0,0.101731473,0.734375585,0.18670318,0.668473285,0.113191806,0.812923102
cluster_bge_kmeans_10,4.5,0.43676962,0.267249802,0.04,0.373333333,0.536170489,0.27577284,0.11,0.573333333,0.404119922,0,0.04,,4.5,3.433333333,4.7,1.9,1.339294872,11.9,9.9,0.5,0.5,1,4.5,0.114375403,0.710997713,0.135776174,0.695820416,0.111980716,0.81197877
cluster_bge_kmeans_15,7.0,0.456527823,0.302636116,0.0533333333,0.44,0.538058893,0.27967173,0.113333333,0.566666667,0.408006089,0,0.0333333333,,7.0,2.188888889,5.333333333,2.533333333,1.44047027,11.8,8.666666667,1.066666667,1.066666667,1,7.0,0.0683190983,0.729256512,0.133604893,0.692849568,0.0689183127,0.817951928
cluster_bge_kmeans_20,9.5,0.481487982,0.275486037,0.045,0.381666667,0.543061188,0.27560437,0.12,0.531666667,0.41232601,0,0.04,,9.5,1.399122807,3.4,2.35,1.298833674,11.4,9.5,1.3,1.3,1,9.5,0.106405491,0.73053516,0.186652375,0.68416845,0.11634552,0.807697355
cluster_e5_hdbscan_30,16.5,0.5124879,0.29443947,0.0555555556,0.457460317,0.600691305,0.301849,0.119444444,0.631428571,0.464131995,0,0.0457142857,,16.5,1.490196078,3.444444444,2.361111111,1.432812347,10.97222222,8.527777778,0.8,0.8,1,16.5,0.111654846,0.731976025,0.212093961,0.67151654,0.137891867,0.801699172
cluster_e5_hdbscan_40,11.5,0.498879116,0.284393219,0.0538461538,0.452,0.590913997,0.29801008,0.130769231,0.628,0.451880171,0,0.048,,11.5,1.546666667,3.692307692,2.576923077,1.505296228,11.61538462,8.961538462,0.8,0.8,1,11.5,0.104986543,0.732287722,0.20997287,0.67501166,0.156400933,0.797643536
cluster_e5_hdbscan_50,9.0,0.482000405,0.296317838,0.0476190476,0.415,0.583183289,0.29827133,0.119047619,0.615,0.443746749,0,0.045,,9.0,1.641666667,3.666666667,2.428571429,1.39430203,10.33333333,8.80952381,1.1,1.1,1,9.0,0.0876172946,0.73319954,0.20053252,0.676089097,0.149986553,0.797862973
cluster_e5_kmeans_10,4.5,0.457943171,0.269676065,0.09,0.46,0.547645277,0.2776437,0.14,0.62,0.367829631,0,0.05,,4.5,2.12962963,4.5,2.3,1.400507809,12.4,9.9,0.0,0.0,1,4.5,0.0620824613,0.737231675,0.1652638,0.67344092,0.0848156545,0.80888295
