file_id,cluster_id,tfidf_sim_t5,js_div_t5,tfidf_sim_centroid,js_div_centroid,tfidf_sim_keybert,js_div_keybert
cluster_bge_hdbscan_30,13,0.100497399,0.732026745,0.207643442,0.663033319,0.119789613,0.807667386
cluster_bge_hdbscan_40,10,0.0958385494,0.735331101,0.182190857,0.670419577,0.111113784,0.813508046
cluster_bge_hdbscan_50,9,0.101731473,0.734375585,0.18670318,0.668473285,0.113191806,0.812923102
cluster_bge_kmeans_10,4.5,0.114375403,0.710997713,0.135776174,0.695820416,0.111980716,0.81197877
cluster_bge_kmeans_15,7,0.0683190983,0.729256512,0.133604893,0.692849568,0.0689183127,0.817951928
cluster_bge_kmeans_20,9.5,0.106405491,0.73053516,0.186652375,0.68416845,0.11634552,0.807697355
cluster_e5_hdbscan_30,16.5,0.111654846,0.731976025,0.212093961,0.67151654,0.137891867,0.801699172
cluster_e5_hdbscan_40,11.5,0.104986543,0.732287722,0.20997287,0.67501166,0.156400933,0.797643536
cluster_e5_hdbscan_50,9,0.0876172946,0.73319954,0.20053252,0.676089097,0.149986553,0.797862973
cluster_e5_kmeans_10,4.5,0.0620824613,0.737231675,0.1652638,0.67344092,0.0848156545,0.80888295
cluster_e5_kmeans_15,7,0.0820710046,0.732069705,0.157527542,0.684597414,0.0782207012,0.811029326
cluster_e5_kmeans_20,9.5,0.0980942669,0.725315215,0.152873224,0.683957975,0.105795148,0.807931691
cluster_minilm_hdbscan_30,14.5,0.132020906,0.715174059,0.159407617,0.686971382,0.138601559,0.802547387
cluster_minilm_hdbscan_40,12,0.116760351,0.717739025,0.149152845,0.690085693,0.116121152,0.803997512
cluster_minilm_hdbscan_50,9.5,0.125060362,0.716024402,0.150796602,0.687730674,0.125169332,0.802170504
cluster_minilm_kmeans_10,4.5,0.0749344679,0.736626489,0.148153864,0.698943582,0.0591408893,0.822057533
cluster_minilm_kmeans_15,7,0.0828020751,0.734310887,0.140500701,0.687682564,0.102729799,0.814989786
cluster_minilm_kmeans_20,9.5,0.0950921718,0.729310816,0.133391307,0.692859724,0.116892866,0.809032022
cluster_minilm_hdbscan_100,1.5,0.0537171419,0.754742335,0.118301819,0.712444815,0.0861053675,0.818829595
cluster_minilm_hdbscan_2,269.5,0.249424237,0.653650732,0.46693543,0.527898889,0.214907781,0.788465578
cluster_minilm_hdbscan_30,8.5,0.0921158258,0.730387891,0.136901184,0.696104288,0.139056743,0.803554032
cluster_minilm_hdbscan_35,8.5,0.104173442,0.737051335,0.15488432,0.69037093,0.116129688,0.807888293
cluster_minilm_hdbscan_40,7,0.108688561,0.728579466,0.151598383,0.697524006,0.131562984,0.806567503
cluster_minilm_hdbscan_45,6,0.106698156,0.742334003,0.140641448,0.703692429,0.122895361,0.803151194
cluster_minilm_hdbscan_50,4,0.092445503,0.741844869,0.155633056,0.690674998,0.100791356,0.812572235
cluster_minilm_hdbscan_55,3,0.0878326874,0.735331811,0.132111839,0.693556365,0.0856969226,0.815824253
