file_id,cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert
cluster_bge_hdbscan_30,13,0.498895358,0.292226985,0.0413793103,0.513095238,0.569074692,0.29121745,0.144827586,0.663095238,0.434161862,0,0.025,
cluster_bge_hdbscan_40,10,0.493917942,0.291315777,0.0434782609,0.512121212,0.563208899,0.27234036,0.130434783,0.671212121,0.411445396,0,0.0272727273,
cluster_bge_hdbscan_50,9,0.476255886,0.277251889,0.0428571429,0.488333333,0.552313353,0.27813062,0.128571429,0.668333333,0.402102848,0,0.025,
cluster_bge_kmeans_10,4.5,0.43676962,0.267249802,0.04,0.373333333,0.536170489,0.27577284,0.11,0.573333333,0.404119922,0,0.04,
cluster_bge_kmeans_15,7,0.456527823,0.302636116,0.0533333333,0.44,0.538058893,0.27967173,0.113333333,0.566666667,0.408006089,0,0.0333333333,
cluster_bge_kmeans_20,9.5,0.481487982,0.275486037,0.045,0.381666667,0.543061188,0.27560437,0.12,0.531666667,0.41232601,0,0.04,
cluster_e5_hdbscan_30,16.5,0.5124879,0.29443947,0.0555555556,0.457460317,0.600691305,0.301849,0.119444444,0.631428571,0.464131995,0,0.0457142857,
cluster_e5_hdbscan_40,11.5,0.498879116,0.284393219,0.0538461538,0.452,0.590913997,0.29801008,0.130769231,0.628,0.451880171,0,0.048,
cluster_e5_hdbscan_50,9,0.482000405,0.296317838,0.0476190476,0.415,0.583183289,0.29827133,0.119047619,0.615,0.443746749,0,0.045,
cluster_e5_kmeans_10,4.5,0.457943171,0.269676065,0.09,0.46,0.547645277,0.2776437,0.14,0.62,0.367829631,0,0.05,
cluster_e5_kmeans_15,7,0.466592567,0.317817883,0.0533333333,0.373333333,0.549609409,0.2954571,0.126666667,0.6,0.411761128,0,0.02,
cluster_e5_kmeans_20,9.5,0.454864394,0.29221026,0.045,0.305,0.55008515,0.27530593,0.11,0.57,0.401640496,0,0.02,
