file_id,cluster_id,ivd_t5,pairs_t5,sentences_t5,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert
cluster_bge_hdbscan_30,13,1.477011494,3.655172414,2.586206897,1.310670747,10.37931034,8.931034483,1.035714286,1.035714286,1
cluster_bge_hdbscan_40,10,1.702898551,4.304347826,2.565217391,1.155025892,9.913043478,8.782608696,0.954545455,0.954545455,1
cluster_bge_hdbscan_50,9,1.675,4.19047619,2.523809524,1.208282326,10.42857143,9.380952381,1.3,1.3,1
cluster_bge_kmeans_10,4.5,3.433333333,4.7,1.9,1.339294872,11.9,9.9,0.5,0.5,1
cluster_bge_kmeans_15,7,2.188888889,5.333333333,2.533333333,1.44047027,11.8,8.666666667,1.066666667,1.066666667,1
cluster_bge_kmeans_20,9.5,1.399122807,3.4,2.35,1.298833674,11.4,9.5,1.3,1.3,1
cluster_e5_hdbscan_30,16.5,1.490196078,3.444444444,2.361111111,1.432812347,10.97222222,8.527777778,0.8,0.8,1
cluster_e5_hdbscan_40,11.5,1.546666667,3.692307692,2.576923077,1.505296228,11.61538462,8.961538462,0.8,0.8,1
cluster_e5_hdbscan_50,9,1.641666667,3.666666667,2.428571429,1.39430203,10.33333333,8.80952381,1.1,1.1,1
cluster_e5_kmeans_10,4.5,2.12962963,4.5,2.3,1.400507809,12.4,9.9,0,0,1
cluster_e5_kmeans_15,7,1.55952381,4.066666667,2.8,1.125546315,11,9.866666667,1.066666667,1.066666667,1
cluster_e5_kmeans_20,9.5,1.710526316,4.15,2.45,1.133230914,10.5,9.6,1,1,1
cluster_minilm_hdbscan_30,14.5,1.237096774,3.4375,2.75,1.243325433,11,9.3125,1.258064516,1.258064516,1
cluster_minilm_hdbscan_40,12,1.201923077,3.296296296,2.703703704,1.216986522,11.40740741,9.666666667,1.423076923,1.423076923,1
cluster_minilm_hdbscan_50,9.5,1.194444444,3.272727273,2.636363636,1.217049377,12,10.22727273,1.619047619,1.619047619,1
cluster_minilm_kmeans_10,4.5,1.033333333,2.9,2.8,1.284613997,12,10.7,0.8,0.8,1
cluster_minilm_kmeans_15,7,1.452380952,3.666666667,2.266666667,1.46660582,12.46666667,9.2,0.866666667,0.866666667,1
cluster_minilm_kmeans_20,9.5,1.600877193,4.6,2.95,1.522117063,12.6,8.9,1.8,1.8,1
cluster_minilm_hdbscan_100,1.5,0.888888889,3,3.333333333,1.535813492,11.83333333,7.833333333,1.6,1.6,1
cluster_minilm_hdbscan_2,269.5,1.345686999,2.911439114,2.245387454,1.347632725,10.33763838,8.32103321,1.170055453,1.170055453,1
cluster_minilm_hdbscan_30,8.5,1.820833333,4.8,2.7,1.456819397,12.5,9.35,0.631578947,0.631578947,1
cluster_minilm_hdbscan_35,8.5,2.214912281,5.15,2.45,1.281061821,11.5,9.45,1.684210526,1.684210526,1
cluster_minilm_hdbscan_40,7,1.697916667,3.529411765,2.411764706,1.389732408,10.94117647,8.294117647,0.9375,0.9375,1
cluster_minilm_hdbscan_45,6,1.422222222,3.666666667,2.733333333,1.365478836,11.8,9.2,0.642857143,0.642857143,1
cluster_minilm_hdbscan_50,4,1.977272727,5.090909091,2.727272727,1.349395049,11.54545455,9,0.6,0.6,1
cluster_minilm_hdbscan_55,3,1.416666667,3.444444444,2.444444444,1.348919753,11.11111111,8.444444444,0.5,0.5,1
cluster_minilm_hdbscan_60,3,1.481481481,3.666666667,3.222222222,1.362345679,10.66666667,8,0.5,0.5,1
cluster_minilm_kmeans_10,4.5,1.033333333,2.9,2.8,1.284613997,12,10.7,0.8,0.8,1
cluster_minilm_kmeans_15,7,1.452380952,3.666666667,2.266666667,1.46660582,12.46666667,9.2,0.866666667,0.866666667,1
cluster_minilm_kmeans_20,9.5,1.600877193,4.6,2.95,1.522117063,12.6,8.9,1.8,1.8,1
cluster_mpnet_hdbscan_100,0,2.944444444,7.666666667,2.666666667,1.160714286,6.666666667,6.333333333,2,2,1
cluster_mpnet_hdbscan_2,268.5,1.354074074,2.955555556,2.305555556,1.291998703,10.18148148,8.531481481,1.100185529,1.100185529,1
cluster_mpnet_hdbscan_30,6.5,2.622222222,4.625,2.1875,1.231944444,11.125,9.6875,1.666666667,1.666666667,1
cluster_mpnet_hdbscan_35,6.5,1.555555556,3.25,2.125,1.190244391,10,9.125,1.4,1.4,1
cluster_mpnet_hdbscan_40,5,1.541666667,3.153846154,2.076923077,1.429481309,10.84615385,8.461538462,1.416666667,1.416666667,1
cluster_mpnet_hdbscan_45,2.5,1.260416667,3.375,2.625,1.563538024,13.75,9.25,1.714285714,1.714285714,1
cluster_mpnet_hdbscan_50,3,2,4.333333333,2.333333333,1.429494117,12.77777778,9.222222222,0.5,0.5,1
cluster_mpnet_hdbscan_55,2,1.666666667,4.714285714,3,1.492488662,13.14285714,9.142857143,1,1,1
cluster_mpnet_hdbscan_60,2,3.142857143,6,2.285714286,1.536139456,13.28571429,9,1,1,1
cluster_mpnet_kmeans_10,4.5,2.383333333,5.9,2.7,1.230091575,9.4,8.1,0.1,0.1,1
cluster_mpnet_kmeans_15,7,1.212222222,3.733333333,3,1.383417138,11.8,8.866666667,0.866666667,0.866666667,1
cluster_mpnet_kmeans_20,9.5,2.1875,5.7,2.55,1.233960892,10.45,8.95,0.75,0.75,1
cluster_paraphrase_hdbscan_100,0.5,1.520833333,5,4.25,0.813354701,8.25,9.75,0,0,1
cluster_paraphrase_hdbscan_2,270,1.322928177,2.871086556,2.259668508,1.25799744,10.08103131,8.662983425,1.127306273,1.127306273,1
cluster_paraphrase_hdbscan_30,0,1.477777778,4,3.333333333,2.347222222,13,7,0,0,1
cluster_paraphrase_hdbscan_35,0,1.166666667,3.333333333,2.666666667,2.388888889,12.66666667,6.666666667,0,0,1
cluster_paraphrase_hdbscan_40,5,1.0625,2.461538462,2.230769231,1.113100788,10.61538462,10.15384615,1,1,1
cluster_paraphrase_hdbscan_45,2.5,1.5,4.875,3.375,0.931403319,7.5,8,0.714285714,0.714285714,1
cluster_paraphrase_hdbscan_50,2.5,1.608333333,5,3.125,0.870689033,8.625,10.375,1,1,1
cluster_paraphrase_hdbscan_55,2.5,1.833333333,5,2.5,0.831457431,8.375,10.5,1,1,1
cluster_paraphrase_hdbscan_60,2,1.523809524,3.857142857,2.285714286,0.861966605,8.142857143,9.142857143,0.833333333,0.833333333,1
cluster_paraphrase_kmeans_10,4.5,1.641666667,3.8,2.5,1.283396465,12.1,9.8,1.2,1.2,1
cluster_paraphrase_kmeans_15,7,1.781462585,4.6,2.8,1.327847523,10.66666667,8.4,1.8,1.8,1
cluster_paraphrase_kmeans_20,9.5,1.329824561,3.35,2.8,1.183162671,9.7,8.55,2.15,2.15,1
cluster_t5_hdbscan_100,0,1.5,3,2.333333333,1.083333333,16.66666667,14.33333333,0,0,1
cluster_t5_hdbscan_2,265,1.323840852,2.924953096,2.255159475,1.313266747,10.2326454,8.416510319,1.263157895,1.263157895,1
cluster_t5_hdbscan_30,4,1,2.545454545,2.727272727,1.180194805,10.09090909,8.636363636,0.2,0.2,1
cluster_t5_hdbscan_35,0,2.722222222,5.666666667,2.333333333,1.222222222,15,12,0,0,1
cluster_t5_hdbscan_40,0,1.444444444,3.333333333,2.666666667,1.222222222,15,12,0,0,1
cluster_t5_hdbscan_45,0,1.888888889,5.666666667,3,1.2,15.33333333,12.33333333,0,0,1
cluster_t5_hdbscan_50,0,1.777777778,5,2.666666667,1,14,13,0,0,1
cluster_t5_hdbscan_55,0,1.222222222,3.666666667,2.333333333,1.083333333,13.33333333,11.66666667,0,0,1
cluster_t5_hdbscan_60,0,1.888888889,4,2.333333333,1,14,13,0,0,1
cluster_t5_kmeans_10,4.5,1.05,2.6,2.5,1.314668665,10.8,8.7,3.5,3.5,1
cluster_t5_kmeans_15,7,1.636904762,3.333333333,2.4,1.368448033,11.66666667,9.6,1.733333333,1.733333333,1
cluster_t5_kmeans_20,9.5,1.99122807,4.75,2.6,1.447164502,11.9,8.95,0.9,0.9,1
