cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter... read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter..."", 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.']"
0,"i use this for a dash mounted camera for my company car. it is constantly recording and erasing old videos when the card is full. it has been used for nearly 2 years, including cold winters and hot summers, and has never messed up. works well. came with an sd adapter and i'm using it in a portable video camera. captures everything, even 1080p at 30 fps just fine. no rate issues. bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.","['i use this for a dash mounted camera for my company car. it is constantly recording and erasing old videos when the card is full. it has been used for nearly 2 years, including cold winters and hot summers, and has never messed up.', ""works well. came with an sd adapter and i'm using it in a portable video camera. captures everything, even 1080p at 30 fps just fine. no rate issues."", 'bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.']"
1,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
2,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great! added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
3,"great price and holds tons of stuff. the class 10 is way faster then any other card i have purchased it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms. inexpensive, fast and made my videos a bit less choppy during recording hd. a good buy now, and seems to be a better value for the class 10 cards...","['great price and holds tons of stuff. the class 10 is way faster then any other card i have purchased', ""it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms."", 'inexpensive, fast and made my videos a bit less choppy during recording hd. a good buy now, and seems to be a better value for the class 10 cards...']"
4,there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. this item works great as expected without any issues. i would recommend this item for anyone in need. good buy. this is the first of these i've had. it works as mentioned and have had not problems with it. satisfied.,"[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", 'this item works great as expected without any issues. i would recommend this item for anyone in need. good buy.', ""this is the first of these i've had. it works as mentioned and have had not problems with it. satisfied.""]"
5,"the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient. what can you say. it is a memory card and it works. the price was good for the size of card. the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.","[""the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient."", 'what can you say. it is a memory card and it works. the price was good for the size of card.', 'the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.']"
6,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
7,"i use this with my samsung galaxy tab 3 10.1, and it has worked seamlessly. i use it to store movies to watch while travelling, and haven't had an issue yet. the transfer speed is great and playing movies from the card has not been a problem. i purchased this to use with my samsung galaxy tab 2 10.1. i chose this memory card because i have used sandisk products many time in the past and have never had a problem. i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues.","[""i use this with my samsung galaxy tab 3 10.1, and it has worked seamlessly. i use it to store movies to watch while travelling, and haven't had an issue yet. the transfer speed is great and playing movies from the card has not been a problem."", 'i purchased this to use with my samsung galaxy tab 2 10.1. i chose this memory card because i have used sandisk products many time in the past and have never had a problem.', 'i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues.']"
8,"purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par. whenever i get these cards, the first thing i do is connect it to my windows 7 or 8 computers, and run this program to format it to fat32. here's the link to the free program ... many phones, cameras and tablets, need the card to be in fat32 format, and sadly, it's not an option in windows these days. you can select ntfs or exfat, but no option for fat32 when it comes to this card.using that program, you can format the card, then load it with whatever music or videos, and the card will work fine in your device.the 4 cards i have have never failed me in the past year, recommended i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.","['purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par.', ""whenever i get these cards, the first thing i do is connect it to my windows 7 or 8 computers, and run this program to format it to fat32. here's the link to the free program ... many phones, cameras and tablets, need the card to be in fat32 format, and sadly, it's not an option in windows these days. you can select ntfs or exfat, but no option for fat32 when it comes to this card.using that program, you can format the card, then load it with whatever music or videos, and the card will work fine in your device.the 4 cards i have have never failed me in the past year, recommended"", ""i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.""]"
