cluster_id,summary,used_reviews
0,"works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon. very happy, good product and quality, works fine does the job. i use it with my android it is fast and reliable","[""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon."", 'very happy, good product and quality, works fine does the job. i use it with my android it is fast and reliable']"
1,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
2,"the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient. not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase. card works great. it shipped very quickly. it doesn't hold 64gb of data, more like 59gb but either way it gives me all the space i need on my phone for music and pictures.","[""the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient."", 'not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase.', ""card works great. it shipped very quickly. it doesn't hold 64gb of data, more like 59gb but either way it gives me all the space i need on my phone for music and pictures.""]"
3,"hard to review this as the card arrived doa. couldn't write to it at all, and it wouldn't format. i returned it and amazon was great about the credit. i've owned several sandisk memory cards and they have all performed well and i was a little surprised that this one failed out of the box. i'd read a good review of the samsung 64gb micro card and i bought that instead. very pleased with it. i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product. this product sucks. my phone keeps giving me a card removed please re insert or something like that! only to find out that they do have that problem 32gb sd's and higher micro sd card ultra class 10 . complained to company and it's taking forever for them to ship me a new one. many mistakes happened with my new items and inconvenient. better to have just returned it with amazon got the money back and bought a different one!!! company sucks! you would think sandisk is a reputable name but . i bought 2 cards from them 32g and 64g and both have problems.","[""hard to review this as the card arrived doa. couldn't write to it at all, and it wouldn't format. i returned it and amazon was great about the credit. i've owned several sandisk memory cards and they have all performed well and i was a little surprised that this one failed out of the box. i'd read a good review of the samsung 64gb micro card and i bought that instead. very pleased with it."", ""i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product."", ""this product sucks. my phone keeps giving me a card removed please re insert or something like that! only to find out that they do have that problem 32gb sd's and higher micro sd card ultra class 10 . complained to company and it's taking forever for them to ship me a new one. many mistakes happened with my new items and inconvenient. better to have just returned it with amazon got the money back and bought a different one!!! company sucks! you would think sandisk is a reputable name but . i bought 2 cards from them 32g and 64g and both have problems.""]"
4,"this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space. bought this to use in a video camera. it's super fast and holds a ton of data. buy this one!","['this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.', ""bought this to use in a video camera. it's super fast and holds a ton of data. buy this one!""]"
5,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i got this for my new android tablet and it works perfectly. the microsd to sd adapter is great. it allows me to plug it into my computer into the regular sized sd card port to transfer files much quicker than if i were to plug the tablet into my computer over usb. added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i got this for my new android tablet and it works perfectly. the microsd to sd adapter is great. it allows me to plug it into my computer into the regular sized sd card port to transfer files much quicker than if i were to plug the tablet into my computer over usb.', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
6,"i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied. got it for my new galaxy s3 and it works like a charm. super fast speed of transfer. very much recommend it. not much else to say really... except store it securely! d you don't want to lose such a tiny thing. comes with an sd adapter, but no case, like the sandisk extreme 16 gb sdhc class 10 uhs 1 card i got, hence the four stars. use this in my samsung galaxy s4. never have an issue. i recommend at least a 32 gigabyte card if you have a smart phone","[""i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied."", ""got it for my new galaxy s3 and it works like a charm. super fast speed of transfer. very much recommend it. not much else to say really... except store it securely! d you don't want to lose such a tiny thing. comes with an sd adapter, but no case, like the sandisk extreme 16 gb sdhc class 10 uhs 1 card i got, hence the four stars."", 'use this in my samsung galaxy s4. never have an issue. i recommend at least a 32 gigabyte card if you have a smart phone']"
7,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,"love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. i love this card, its way faster than any other micro sd i have ever owned. i can transfer roms like nothing on my galaxy s4. when i had the old microsd that comes with every droid phones, that use to take for ever.high recommend this one. this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.","['love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'i love this card, its way faster than any other micro sd i have ever owned. i can transfer roms like nothing on my galaxy s4. when i had the old microsd that comes with every droid phones, that use to take for ever.high recommend this one.', 'this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.']"
9,"nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video. this was a great deal and now i have plenty of storage space for my phone.i can store my ringtones, hundreds of songs and at least 6 movies.this is also the new micro sdxc card which is designed for high speed transfer. this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.","['nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video.', 'this was a great deal and now i have plenty of storage space for my phone.i can store my ringtones, hundreds of songs and at least 6 movies.this is also the new micro sdxc card which is designed for high speed transfer.', 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.']"
