cluster_id,summary,used_reviews
-1,this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since.,"[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this', ""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since.""]"
0,great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space. works just fine in my video camera in the car. and i saved over 15 bucks over best buy which always tries to rip you off .,"['great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.', 'works just fine in my video camera in the car. and i saved over 15 bucks over best buy which always tries to rip you off .']"
1,"this does exactly what you would expect from a 32gb microsd memory card. plenty of storage and fast access times make this a solid purchase. this 32gb card is fast. great for storing video and music and whatever you need to do without worry. it is plenty large and the price is very reasonable. i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete.","['this does exactly what you would expect from a 32gb microsd memory card. plenty of storage and fast access times make this a solid purchase.', 'this 32gb card is fast. great for storing video and music and whatever you need to do without worry. it is plenty large and the price is very reasonable.', ""i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete.""]"
2,"love this micro sd card, but love the fact that i was able to buy it at such a great price! love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.","['love this micro sd card, but love the fact that i was able to buy it at such a great price!', 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.']"
3,"works great! i was running out of room on my 32gb card on my galaxy note 3. this solved my problems nicely! now i have enough space for movies, music and photos on my device! i don't think i will be running out of space for a while! i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you! added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.","[""works great! i was running out of room on my 32gb card on my galaxy note 3. this solved my problems nicely! now i have enough space for movies, music and photos on my device! i don't think i will be running out of space for a while!"", ""i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you!"", ""added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.""]"
4,"works great in gopro hero 3 . super fast and gives plenty of storage capacity to video every outdoor activity i need. bought this for the gopro hero3 and it works as advertised with no issues. since i bought this, i have learned to watch for sales because they tend to get deeply discounted at local retailers every once in a while. i purchased this for my gopro hero 3 . it works just fine i have not complaints. i would recommend this item.","['works great in gopro hero 3 . super fast and gives plenty of storage capacity to video every outdoor activity i need.', 'bought this for the gopro hero3 and it works as advertised with no issues. since i bought this, i have learned to watch for sales because they tend to get deeply discounted at local retailers every once in a while.', 'i purchased this for my gopro hero 3 . it works just fine i have not complaints. i would recommend this item.']"
5,"there are a lot of reports about 64gb cards not working in the gopro hero 3. the 32gb works great for me. this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in. the memory card works as advertised and i have had no issues while using it with my gopro hero 3.","['there are a lot of reports about 64gb cards not working in the gopro hero 3. the 32gb works great for me.', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.', 'the memory card works as advertised and i have had no issues while using it with my gopro hero 3.']"
6,"i can't complain. the memory card does its job. i recieved the memory card very quickly and i have not had any issues with the card as of yet. the card was good. haven't had a problem with it yet. good price. fit the product i bought it for. extremely happy with this memory card. very fast, and have not had a problem since i bought it almost 6 months ago.","[""i can't complain. the memory card does its job. i recieved the memory card very quickly and i have not had any issues with the card as of yet."", ""the card was good. haven't had a problem with it yet. good price. fit the product i bought it for."", 'extremely happy with this memory card. very fast, and have not had a problem since i bought it almost 6 months ago.']"
7,"i bought this sd card for my android phone thinking that a class 10 will be faster and more reliable than others. it turns out, the difference in class doesn't really matter at least for android phones. didn't really worth the price difference i had purchased a cheaper cellphone, and the great price on this item made it the perfect accessory alternative to buying a much more expensive phone.class 10 speed means that i don't have to worry about any lag in accessing my files. i have had no issues what so ever with having to format the card. it worked perfectly with my phone samsung axiom right out of the box. this card showed up and was formatted and recognized by my android phone with no issues at all. after doing a speed read write test on the card, the speeds obtained were well within what a class 10 should realistically accomplish. great card, great price, and wasn't shipped a junk card in disguise. highly recommended.","[""i bought this sd card for my android phone thinking that a class 10 will be faster and more reliable than others. it turns out, the difference in class doesn't really matter at least for android phones. didn't really worth the price difference"", ""i had purchased a cheaper cellphone, and the great price on this item made it the perfect accessory alternative to buying a much more expensive phone.class 10 speed means that i don't have to worry about any lag in accessing my files. i have had no issues what so ever with having to format the card. it worked perfectly with my phone samsung axiom right out of the box."", ""this card showed up and was formatted and recognized by my android phone with no issues at all. after doing a speed read write test on the card, the speeds obtained were well within what a class 10 should realistically accomplish. great card, great price, and wasn't shipped a junk card in disguise. highly recommended.""]"
8,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i use this on my 32 gb microsoft surface rt and it does the job as advertised, so 5 stars.i have used it to extend the storage capacity on the tablet to 64gb for storing documents, pictures etc. there are many articles on the internet that show you how to do that. added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i use this on my 32 gb microsoft surface rt and it does the job as advertised, so 5 stars.i have used it to extend the storage capacity on the tablet to 64gb for storing documents, pictures etc. there are many articles on the internet that show you how to do that.', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
