cluster_id,summary,used_reviews
0,"i can storage a lot on this little thing, lots of videos, lots of pictures. and it's great that i can just take it from my tablet and insert it again on my phone. also, with a sd adapter, i can place it on my camera and there's no significant speed loss, i mean, i didn't notice anything. i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content. amazing storage and speed! what more could u want! its almsot cheaper then buying the full sized sd card z","[""i can storage a lot on this little thing, lots of videos, lots of pictures. and it's great that i can just take it from my tablet and insert it again on my phone. also, with a sd adapter, i can place it on my camera and there's no significant speed loss, i mean, i didn't notice anything."", 'i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content.', 'amazing storage and speed! what more could u want! its almsot cheaper then buying the full sized sd card z']"
1,"i can't complain. the memory card does its job. i recieved the memory card very quickly and i have not had any issues with the card as of yet. works well no problems. this is a very good price for a name brand sd card. i will buy again works great, no issues. tablet recognized it immediately and the speed is great. lots of storage and no compatibility issues to report.","[""i can't complain. the memory card does its job. i recieved the memory card very quickly and i have not had any issues with the card as of yet."", 'works well no problems. this is a very good price for a name brand sd card. i will buy again', 'works great, no issues. tablet recognized it immediately and the speed is great. lots of storage and no compatibility issues to report.']"
2,"upgraded from 32gb to 64gb card for my galaxy note phone. looks like it works fine and has full capacity. good product. i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete. i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you!","['upgraded from 32gb to 64gb card for my galaxy note phone. looks like it works fine and has full capacity. good product.', ""i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete."", ""i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you!""]"
3,"sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone. the last card i got was bad, but at least this one is working properly. sandisk is the best brand. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well","['sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone.', 'the last card i got was bad, but at least this one is working properly. sandisk is the best brand.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
4,"it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap. got this for my son gopro and it works perfect he is able to record and take still video and pictures and the quality on playback is very good. a would recommend and buy this product again. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.","['it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap.', 'got this for my son gopro and it works perfect he is able to record and take still video and pictures and the quality on playback is very good. a would recommend and buy this product again.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.']"
5,"used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","['used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
6,"great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed! love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. works great and faster than a conventional memory card. videos, pictures and access run smoother. highly recomnended for those who are in need of great space.","[""great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed!"", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'works great and faster than a conventional memory card. videos, pictures and access run smoother. highly recomnended for those who are in need of great space.']"
7,i purchased this to expand the storage space of my samsung galaxy s3 and i love it! it's fast and offers lots of storage space. i use it to store several full length hd movies on my phone which i view when travelling. in addition i have tons of music on it too. bought it for my galaxy note 2. add tons of storage to my phone. now i can store video and songs. i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.,"[""i purchased this to expand the storage space of my samsung galaxy s3 and i love it! it's fast and offers lots of storage space. i use it to store several full length hd movies on my phone which i view when travelling. in addition i have tons of music on it too."", 'bought it for my galaxy note 2. add tons of storage to my phone. now i can store video and songs.', 'i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.']"
8,"i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible. i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product. what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.","[""i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible."", ""i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product."", ""what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.""]"
9,"so this product is a large disappointment...bought it to use in my tablet but the card is forever getting corrupted....i've reformatted the card a few times but it's to the point now that even a reformat doesn't work.. wasted money...don't recommend purchasing. the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now. beware guys. i bought one of these from superior electronics outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.i tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. no response from the seller about it.my last hope is amazon refund me. otherwise i just wasted 80 u","[""so this product is a large disappointment...bought it to use in my tablet but the card is forever getting corrupted....i've reformatted the card a few times but it's to the point now that even a reformat doesn't work.. wasted money...don't recommend purchasing."", ""the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now."", 'beware guys. i bought one of these from superior electronics outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.i tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. no response from the seller about it.my last hope is amazon refund me. otherwise i just wasted 80 u']"
10,"use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install. currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far. works great in my samsung galaxy s4. fast and reliable, what more could you want from a data storage device.","['use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.', ""currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far."", 'works great in my samsung galaxy s4. fast and reliable, what more could you want from a data storage device.']"
11,"this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money. i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays. great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!","['this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.', 'i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.', 'great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!']"
12,"it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets... works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","['it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets...', ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
13,"i knew buying sandisk i would get a great sd card and its super fast. i really like it in my phone.if you need a micro sd card this one will perform great and not let you down. i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more.... i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write.","['i knew buying sandisk i would get a great sd card and its super fast. i really like it in my phone.if you need a micro sd card this one will perform great and not let you down.', ""i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more...."", ""i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write.""]"
