cluster_id,summary,used_reviews
0,"speed is meh. size is good no troubles it comes with a full sized sd converter too. i put it into my tablet. very fast for taking full hd videos, and for transfering to the pc. great quality, zero problems at all. a legit product from sandisk! fast! reliable! huge storage. already own 2 for my mobile devices. transfer speeds are awesome. no problems to date. great buy.","['speed is meh. size is good no troubles it comes with a full sized sd converter too. i put it into my tablet.', 'very fast for taking full hd videos, and for transfering to the pc. great quality, zero problems at all. a legit product from sandisk!', 'fast! reliable! huge storage. already own 2 for my mobile devices. transfer speeds are awesome. no problems to date. great buy.']"
1,"this is an excellent product. i have no complaints or issues with the card. it's the perfect size for my cameras. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. the card was good. haven't had a problem with it yet. good price. fit the product i bought it for.","[""this is an excellent product. i have no complaints or issues with the card. it's the perfect size for my cameras."", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', ""the card was good. haven't had a problem with it yet. good price. fit the product i bought it for.""]"
2,"use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install. i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended. works just fine in my galaxy s4. no problems. unbelievable how much storage you can get in such a small space and for such a low price.","['use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.', ""i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended."", 'works just fine in my galaxy s4. no problems. unbelievable how much storage you can get in such a small space and for such a low price.']"
3,sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone. sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone.', 'sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
4,"bought this for use with a gopro 3 black. it works as advertised and has plenty of room for photos and video. i have yet to fill this card up recording time lapse for a period of 24 hours. has worked flawlessly with my gopro hero 3 black since i placed it in the camera. purchased 2 top have on hand. others have their hero 3 cameras 34 freeze 34 , 34 shut down 34 , or write files that are not usable. i recommend this card to anyone needing a class 10 card that can handle the workload.half second timelapse, 2.7k hd video, 720p 120p video, not a problem for this card. this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","['bought this for use with a gopro 3 black. it works as advertised and has plenty of room for photos and video. i have yet to fill this card up recording time lapse for a period of 24 hours.', 'has worked flawlessly with my gopro hero 3 black since i placed it in the camera. purchased 2 top have on hand. others have their hero 3 cameras 34 freeze 34 , 34 shut down 34 , or write files that are not usable. i recommend this card to anyone needing a class 10 card that can handle the workload.half second timelapse, 2.7k hd video, 720p 120p video, not a problem for this card.', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
5,"sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card. this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money. good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product.","['sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.', 'this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.', ""good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product.""]"
6,"i have owned many an sd card in the past, and this is probably the best bang for the buck i've ever received in a card. i'm not super nitpicky about data read write speeds necessarily, but this card is plenty fast for me in my samsung galaxy note ii. pick one up while they are on sale! the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did. super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.","[""i have owned many an sd card in the past, and this is probably the best bang for the buck i've ever received in a card. i'm not super nitpicky about data read write speeds necessarily, but this card is plenty fast for me in my samsung galaxy note ii. pick one up while they are on sale!"", ""the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did."", 'super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.']"
7,"bought it when the price was low. excellent value. good transfer speeds and worked on my phone, camera and other devices as well. great price especially for the size and speed, this maxed out my note 2 smartphone and i am very pleased with the speed of delivery and the cost. great price and great manufacture. the item met my needs for my new phone, i'll have ample storage now using this device.","['bought it when the price was low. excellent value. good transfer speeds and worked on my phone, camera and other devices as well.', 'great price especially for the size and speed, this maxed out my note 2 smartphone and i am very pleased with the speed of delivery and the cost.', ""great price and great manufacture. the item met my needs for my new phone, i'll have ample storage now using this device.""]"
8,"the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now. i wish i could say this card was great. been waiting for it for around a year and a half whilst using the 64gb one also sandisk which never gave me issues sadly i lost it. this card confused the heck out of me. i used it on my s4 and first off, it wouldn't recognize it. tried it on my gf's s4 and same problem.apparently it comes formatted as exfat and thought maybe reformatting it as fat32 would solve the problem. well i thought it did since my phone finally recognized it upon inserting it. a new problem arose, though. i started taking pictures to try it out and odd thing was some of the pictures became corrupted. not even viewable on the phone seconds after taking them. some worked, others not.later on, i restarted my phone for some reason or other. a while later i wanted to check the pictures again and, surprise surprise, everything was gone. i'd find out later that every time i restarted my phone everything on the card was being deleted. tried it on my gf's phone and same thing happened.tried reformatting again as fat32 using gparted couldn't hurt and it just throws errors upon starting the write sequence.too bad i can't return it as i had it shipped to me in guatemala. so that's 119 down the toilet. i have to buy a new one now, but i think i'll go for the new samsung evo ones although they don't offer a 128gb model as of this writing bummer . i got this card only a few months ago, used it on a note 3, now it has failed. no matter what i try, attempts to format the drive or edit the files on it, whether using my computer or the phone, have all failed. the card's data is now essentially read only, which is the only saving grace of this since i could at least save my data.previous to this i had an issue with it corrupting photos randomly, with increasing regularity as it grew closer to complete failure. i am now going to be avoiding sandisk when possible","[""the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now."", ""i wish i could say this card was great. been waiting for it for around a year and a half whilst using the 64gb one also sandisk which never gave me issues sadly i lost it. this card confused the heck out of me. i used it on my s4 and first off, it wouldn't recognize it. tried it on my gf's s4 and same problem.apparently it comes formatted as exfat and thought maybe reformatting it as fat32 would solve the problem. well i thought it did since my phone finally recognized it upon inserting it. a new problem arose, though. i started taking pictures to try it out and odd thing was some of the pictures became corrupted. not even viewable on the phone seconds after taking them. some worked, others not.later on, i restarted my phone for some reason or other. a while later i wanted to check the pictures again and, surprise surprise, everything was gone. i'd find out later that every time i restarted my phone everything on the card was being deleted. tried it on my gf's phone and same thing happened.tried reformatting again as fat32 using gparted couldn't hurt and it just throws errors upon starting the write sequence.too bad i can't return it as i had it shipped to me in guatemala. so that's 119 down the toilet. i have to buy a new one now, but i think i'll go for the new samsung evo ones although they don't offer a 128gb model as of this writing bummer ."", ""i got this card only a few months ago, used it on a note 3, now it has failed. no matter what i try, attempts to format the drive or edit the files on it, whether using my computer or the phone, have all failed. the card's data is now essentially read only, which is the only saving grace of this since i could at least save my data.previous to this i had an issue with it corrupting photos randomly, with increasing regularity as it grew closer to complete failure. i am now going to be avoiding sandisk when possible""]"
9,"nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video. great storage for my android phone, practically unlimited space for music. easy to install, and it has been reliable so far. i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content.","['nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video.', 'great storage for my android phone, practically unlimited space for music. easy to install, and it has been reliable so far.', 'i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content.']"
