cluster_id,summary,used_reviews
-1,"great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk. this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.","[""great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk."", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.']"
0,"san disk is hard to beat. you will pay more for the brand but you get a quality product. would purchase again. san disk has always been a good brand for me. it worked very well for my samsung galaxy phones and tablets. i always buy san disk as i had issues with other brands and it always works in every application i used it, phone, camera, tablet, etc.","['san disk is hard to beat. you will pay more for the brand but you get a quality product. would purchase again.', 'san disk has always been a good brand for me. it worked very well for my samsung galaxy phones and tablets.', 'i always buy san disk as i had issues with other brands and it always works in every application i used it, phone, camera, tablet, etc.']"
1,"used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","['used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
2,"the card was good. haven't had a problem with it yet. good price. fit the product i bought it for. extremely happy with this memory card. very fast, and have not had a problem since i bought it almost 6 months ago. good memory card. no issues. works as it should. price is great when you are able to find it on a lightning deal!","[""the card was good. haven't had a problem with it yet. good price. fit the product i bought it for."", 'extremely happy with this memory card. very fast, and have not had a problem since i bought it almost 6 months ago.', 'good memory card. no issues. works as it should. price is great when you are able to find it on a lightning deal!']"
3,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
4,"64gb...delivered fast and installed quick! works like it should at reasonable price. i only wish i could get more memory in my note 3...so much media!! i bought this for my husband and then the 32 gb one went on sale so i bought that one for him. i use this one in my tablet and i love it! no issues!! at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.","['64gb...delivered fast and installed quick! works like it should at reasonable price. i only wish i could get more memory in my note 3...so much media!!', 'i bought this for my husband and then the 32 gb one went on sale so i bought that one for him. i use this one in my tablet and i love it! no issues!!', 'at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.']"
5,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since. read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since."", 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.']"
6,"bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost. i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues. i have been using it for over a month now, works well with my samsung galaxy note 10.1 tablet. excellent speed, do recommend it.","['bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.', 'i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues.', 'i have been using it for over a month now, works well with my samsung galaxy note 10.1 tablet. excellent speed, do recommend it.']"
7,"the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did. much faster than my other microsd cards, most if which are class 4. in a galaxy s3 now, fast enough not to slow it down when loading files music photos. did not benchmark... super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.","[""the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did."", 'much faster than my other microsd cards, most if which are class 4. in a galaxy s3 now, fast enough not to slow it down when loading files music photos. did not benchmark...', 'super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.']"
8,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great! added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
