cluster_id,summary,used_reviews
-1,"great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk. this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently.","[""great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk."", ""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently.""]"
0,"i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card. i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit. i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it.","[""i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card."", ""i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit."", ""i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it.""]"
1,"it does what it is made to do. it is hard to believe so much memory can be stored in such a small chip. got this for my cell phone, most likely more storage than i will ever need but at this price going with a lower capacity chip just wouldn't save that much money and didn't make sense. exactly as pictured worked without a problem. i bought this chip to be used to increase the use of my smart phone and it has increased the memory. at least for now.","['it does what it is made to do. it is hard to believe so much memory can be stored in such a small chip.', ""got this for my cell phone, most likely more storage than i will ever need but at this price going with a lower capacity chip just wouldn't save that much money and didn't make sense. exactly as pictured worked without a problem."", 'i bought this chip to be used to increase the use of my smart phone and it has increased the memory. at least for now.']"
2,"fast recording downing speed. you can't go wrong wit this. it also can be used with my smartphone.i would recommend this to a friend. it's fast fast fast, and big big big. it's exactly what you need to record all of your ill advised shenanigans with your friends. if you like to see videos on tablets or phones, you'll end up needing this guy. and this is the fastest. very good for recording too.","[""fast recording downing speed. you can't go wrong wit this. it also can be used with my smartphone.i would recommend this to a friend."", ""it's fast fast fast, and big big big. it's exactly what you need to record all of your ill advised shenanigans with your friends."", ""if you like to see videos on tablets or phones, you'll end up needing this guy. and this is the fastest. very good for recording too.""]"
3,"have not had any issues, works as intended. i would recommend this and the price was just right. so, if you buy a tablet that supports 32gb just get one, or two. does exactly what you would expect, use this in my new galaxy tab and not disappointing as always a great product","['have not had any issues, works as intended. i would recommend this and the price was just right. so, if you buy a tablet that supports 32gb just get one, or two.', 'does exactly what you would expect, use this in my new galaxy tab and not disappointing as always a great product']"
4,"this is my 4th unit that i had purchased from sandisk. used it in a sony z tablet, note 2, s4, q10 and most recently the sony z1 smartphone. data transfer speeds are quick and you get consistent transfers without any errors.a worth buy! when i first got this item, i had some problems with it and for some reason, caused all my data on my android phone to get deleted forcing me to reinstall my custom rom and use my previous sd card until amazon replaced this one. but once i got the replacement, it worked perfectly. i have no issues with it at all now and for the past several months, its able to hold all my apps and data with ease. with the high read write speeds, i don't have any lag and it just works exactly how i hoped it would. i read some reviews about the product being iffy, and mislabeled, but the one i got was just as advertised. my samsung note ii recognized about 59.8 gigs, and the read write speed is incredible. with the help of this, isyncr and rocket player, i have now permanently replaced my ipod classic. couldn't be happier.","['this is my 4th unit that i had purchased from sandisk. used it in a sony z tablet, note 2, s4, q10 and most recently the sony z1 smartphone. data transfer speeds are quick and you get consistent transfers without any errors.a worth buy!', ""when i first got this item, i had some problems with it and for some reason, caused all my data on my android phone to get deleted forcing me to reinstall my custom rom and use my previous sd card until amazon replaced this one. but once i got the replacement, it worked perfectly. i have no issues with it at all now and for the past several months, its able to hold all my apps and data with ease. with the high read write speeds, i don't have any lag and it just works exactly how i hoped it would."", ""i read some reviews about the product being iffy, and mislabeled, but the one i got was just as advertised. my samsung note ii recognized about 59.8 gigs, and the read write speed is incredible. with the help of this, isyncr and rocket player, i have now permanently replaced my ipod classic. couldn't be happier.""]"
5,"popped this into my nvidia shield for extra storage. it was recognized instantly and was easy to transfer files over.i haven't had it for too long to comment about failures in some of the reviews, but will update accordingly. so far recommended! popped it in my nvidia shield and it worked instantly. transfers to it are faster than the transfers to the internal storage. i used this sd card on my nvidia shield and works as advertised very quick transfer speeds.","[""popped this into my nvidia shield for extra storage. it was recognized instantly and was easy to transfer files over.i haven't had it for too long to comment about failures in some of the reviews, but will update accordingly. so far recommended!"", 'popped it in my nvidia shield and it worked instantly. transfers to it are faster than the transfers to the internal storage.', 'i used this sd card on my nvidia shield and works as advertised very quick transfer speeds.']"
6,"i use this card in a galaxy note 10.1 and i have been very pleased with its performance. it is noticeably faster than the class 4 card i replaced. i use it for storing and then watching movies, and it plays them back with no observable buffering time. it is also fast for writing photos or videos that i shoot using the camera on the tablet. and the cost was among the lowest for cards of this storage size and speed class. i bought this card to go with my new samsung galaxy note 10.1 2014 edition. after using it for a few days with only the onboard storage, i felt the need to have a little more space. the price for this card was just right, and i have always had great success with sandisk memory devices, whether they are usb or sd or what have you. i use this card to take all sorts of music and movies with me whenever i have to go anywhere, and there is absolutely no lag or hiccuping on playback. i also set this card as the default to store photos and videos taken with the tablet, and there is no noticeable delay when taking photos. this card works so well, i just bought a second one to replace an old 8gb card in my phone. i have been using this memory card for several months now and it is working great. it is wonderful to have a huge selection of ebooks, mp3 files, movies and plenty of space for phone generated photos and video clips.i have not noticed any delay in accessing files on this huge memory card.8 14 13 update also worked out of the box in my samsung galaxy note 10.1 .","['i use this card in a galaxy note 10.1 and i have been very pleased with its performance. it is noticeably faster than the class 4 card i replaced. i use it for storing and then watching movies, and it plays them back with no observable buffering time. it is also fast for writing photos or videos that i shoot using the camera on the tablet. and the cost was among the lowest for cards of this storage size and speed class.', 'i bought this card to go with my new samsung galaxy note 10.1 2014 edition. after using it for a few days with only the onboard storage, i felt the need to have a little more space. the price for this card was just right, and i have always had great success with sandisk memory devices, whether they are usb or sd or what have you. i use this card to take all sorts of music and movies with me whenever i have to go anywhere, and there is absolutely no lag or hiccuping on playback. i also set this card as the default to store photos and videos taken with the tablet, and there is no noticeable delay when taking photos. this card works so well, i just bought a second one to replace an old 8gb card in my phone.', 'i have been using this memory card for several months now and it is working great. it is wonderful to have a huge selection of ebooks, mp3 files, movies and plenty of space for phone generated photos and video clips.i have not noticed any delay in accessing files on this huge memory card.8 14 13 update also worked out of the box in my samsung galaxy note 10.1 .']"
7,"does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality does exactly what it is supposed to. plenty of storage for me gps. price was not too high either. would recommend. this is great! this is why i don't buy apple products and get charged up the for non expandable memory. expandable memory is dirt cheap these days for how much you get and it's more reliable than apple. works like a charm. i've got two of these, one in my phone and one in my tablet, and i've never had any problem or inconvenience with either of them.","['does the job as advertised.if you need extra memory on your phone tablet or whatever device, this is bext buy price quality', 'does exactly what it is supposed to. plenty of storage for me gps. price was not too high either. would recommend.', ""this is great! this is why i don't buy apple products and get charged up the for non expandable memory. expandable memory is dirt cheap these days for how much you get and it's more reliable than apple. works like a charm. i've got two of these, one in my phone and one in my tablet, and i've never had any problem or inconvenience with either of them.""]"
8,"this card would not show 64 gb until i spent 60 on a card reader that supports sdxc, and after doing that, it is transferring at class 1 speed. i managed to get it formatted in fat32 with 59 gb free for my cowon j3, but it's taking 10 hours to transfer 30 gb to it. i got a refund because this is not the service and quality i paid for. i just hope the music lists on my pmp when i turn it on tomorrow. i have it in the microsdxc slot of the aft pro 57u, which is connected to a syba via vl800 usb 3.0 card. feel free to tell me i am doing it wrong and how to get class 10 speed.update the transfer finished, but the data does not show in my cowon j3, so the early versions that worked are gone. do not buy these for a device that is not sdxc specific because they have changed something in them. i am using this 64 gb card onsamsung galaxy note ii n7100 unlocked gsm international version white. i coped over 50 gb podcasts music. it took several hours to copy from a 3 year old laptop. after copying, the inbuild samsung's music player recognized all and playing is very smooth. the card looks super fast, no reading. after booting the phone, the music is indexed almost immediately and i can play. i have attached a screenshot which shows only 59 gb is available. the 5 gb seems lot to be missing. i am assuming it is used for storing some index information some restore information.","[""this card would not show 64 gb until i spent 60 on a card reader that supports sdxc, and after doing that, it is transferring at class 1 speed. i managed to get it formatted in fat32 with 59 gb free for my cowon j3, but it's taking 10 hours to transfer 30 gb to it. i got a refund because this is not the service and quality i paid for. i just hope the music lists on my pmp when i turn it on tomorrow. i have it in the microsdxc slot of the aft pro 57u, which is connected to a syba via vl800 usb 3.0 card. feel free to tell me i am doing it wrong and how to get class 10 speed.update the transfer finished, but the data does not show in my cowon j3, so the early versions that worked are gone. do not buy these for a device that is not sdxc specific because they have changed something in them."", ""i am using this 64 gb card onsamsung galaxy note ii n7100 unlocked gsm international version white. i coped over 50 gb podcasts music. it took several hours to copy from a 3 year old laptop. after copying, the inbuild samsung's music player recognized all and playing is very smooth. the card looks super fast, no reading. after booting the phone, the music is indexed almost immediately and i can play. i have attached a screenshot which shows only 59 gb is available. the 5 gb seems lot to be missing. i am assuming it is used for storing some index information some restore information.""]"
