cluster_id,summary,used_reviews
0,"incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here. super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well. its so much faster than normal sd's. i recommend this micro sd. it flies!the card reader was ok, tested it and worked but never really used it because its too big","[""incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here."", 'super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.', ""its so much faster than normal sd's. i recommend this micro sd. it flies!the card reader was ok, tested it and worked but never really used it because its too big""]"
1,sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card. good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product. sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter,"['sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.', ""good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product."", 'sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter']"
2,"the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now. out of the three different brands of micro sd cards the sandisk is the only one that is still with me. the other two just quit working. i have bought several more of these cards and have had no problem except i wished i would have bought ones with more memory. excellent product. i got this card only a few months ago, used it on a note 3, now it has failed. no matter what i try, attempts to format the drive or edit the files on it, whether using my computer or the phone, have all failed. the card's data is now essentially read only, which is the only saving grace of this since i could at least save my data.previous to this i had an issue with it corrupting photos randomly, with increasing regularity as it grew closer to complete failure. i am now going to be avoiding sandisk when possible","[""the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now."", 'out of the three different brands of micro sd cards the sandisk is the only one that is still with me. the other two just quit working. i have bought several more of these cards and have had no problem except i wished i would have bought ones with more memory. excellent product.', ""i got this card only a few months ago, used it on a note 3, now it has failed. no matter what i try, attempts to format the drive or edit the files on it, whether using my computer or the phone, have all failed. the card's data is now essentially read only, which is the only saving grace of this since i could at least save my data.previous to this i had an issue with it corrupting photos randomly, with increasing regularity as it grew closer to complete failure. i am now going to be avoiding sandisk when possible""]"
3,"great for adding a ton of storage to your smartphone or other device. fast enough for most needs and the price is right. nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video. if you're looking for extra storage for your device, this is it. you can store pics, songs and so much more.","['great for adding a ton of storage to your smartphone or other device. fast enough for most needs and the price is right.', 'nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video.', ""if you're looking for extra storage for your device, this is it. you can store pics, songs and so much more.""]"
4,"i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price. this microsd card works as advertised. my samsung galaxy s3 developed a problem with the sd card that was included with the purchase of the phone. once i replaced it, it's as good as new. i bought this card for my samsung galaxy s3. unfortunately it failed after 4 months. i contacted sandisk and they promptly sent me another. it has been going strong for 6 months.","[""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", ""this microsd card works as advertised. my samsung galaxy s3 developed a problem with the sd card that was included with the purchase of the phone. once i replaced it, it's as good as new."", 'i bought this card for my samsung galaxy s3. unfortunately it failed after 4 months. i contacted sandisk and they promptly sent me another. it has been going strong for 6 months.']"
5,"i love this 64 gb microsd. i dont ever have to think about it now. i love that we can get such a large amount of memory for our devices. for me 32 gb is sufficient. i don't need more then this.running easy, safety, and sandisk is a great mark. at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.","['i love this 64 gb microsd. i dont ever have to think about it now. i love that we can get such a large amount of memory for our devices.', ""for me 32 gb is sufficient. i don't need more then this.running easy, safety, and sandisk is a great mark."", 'at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.']"
6,"i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since. read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale. added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.","[""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since."", 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.', ""added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast.""]"
7,"it has worked fine, so i have no complaints. i've purchased sandisk products several times and have been happy with this brand. works well. no problems after using it for a number of months. i've always found the sandisk memory cards to be reliable. works well no problems. this is a very good price for a name brand sd card. i will buy again","[""it has worked fine, so i have no complaints. i've purchased sandisk products several times and have been happy with this brand."", ""works well. no problems after using it for a number of months. i've always found the sandisk memory cards to be reliable."", 'works well no problems. this is a very good price for a name brand sd card. i will buy again']"
8,"this is larger than i need but on a long vacation i did not want to start deleting photos or videos to make room for others so this was way more than i needed for several hundred large photos and lots of 20 to 30 second videos as well with lots of memory left over. actually a 8gb would have been enough. the card worked well and i'm happy with my purchase. hard to say much about a memory card other than it works as expected, since it's class 10 it's fast, since it's 32gb is has plenty of space for music, pictures, and videos. i like this 32 gb micro memory card, it has a lot of storage space for videos and photos. i use it in my spy camera mini clock radio.","[""this is larger than i need but on a long vacation i did not want to start deleting photos or videos to make room for others so this was way more than i needed for several hundred large photos and lots of 20 to 30 second videos as well with lots of memory left over. actually a 8gb would have been enough. the card worked well and i'm happy with my purchase."", ""hard to say much about a memory card other than it works as expected, since it's class 10 it's fast, since it's 32gb is has plenty of space for music, pictures, and videos."", 'i like this 32 gb micro memory card, it has a lot of storage space for videos and photos. i use it in my spy camera mini clock radio.']"
9,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
