cluster_id,summary,used_reviews
0,"excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended.. this product works fast and is very reliable. the capacity is huge. i use it in my tablet and in my phone and can carry lots of pictures and videos. highly recommended. currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far.","['excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended..', 'this product works fast and is very reliable. the capacity is huge. i use it in my tablet and in my phone and can carry lots of pictures and videos. highly recommended.', ""currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far.""]"
1,"this micro sd card is perfect for any smartphone user looking to expand the storage on their device. i personally am using one in my samsung galaxy note 3. works like a charm. it is adequately fast, cheap, and fairly reliable. if you are looking for extremely fast speeds however, you should consider the sandisk extreme series which are the fastest microsd cards in the world. my card came with an adapter that this card plugs into and it becomes a full sized sd card. if you are looking to use this in a camera or any other device that uses sd cards, please look elsewhere. these cards are not nearly as fast as the full sized sd cards used in cameras. the adapter should only be used for transporting data from the phone or other device, to a computer. all in all, these are a great buy for any smartphone user looking for a higher storage capacity. the price fluctuates often, so catch em while there cheep! i got mine for around 30. this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money. great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!","['this micro sd card is perfect for any smartphone user looking to expand the storage on their device. i personally am using one in my samsung galaxy note 3. works like a charm. it is adequately fast, cheap, and fairly reliable. if you are looking for extremely fast speeds however, you should consider the sandisk extreme series which are the fastest microsd cards in the world. my card came with an adapter that this card plugs into and it becomes a full sized sd card. if you are looking to use this in a camera or any other device that uses sd cards, please look elsewhere. these cards are not nearly as fast as the full sized sd cards used in cameras. the adapter should only be used for transporting data from the phone or other device, to a computer. all in all, these are a great buy for any smartphone user looking for a higher storage capacity. the price fluctuates often, so catch em while there cheep! i got mine for around 30.', 'this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.', 'great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!']"
2,"i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended. works great with my samsung galaxy note 2. just stuck it in and it worked. no formatting needed. very fast which and no loss of camera speed the product works exactly as promised. i installed in my samsung galaxy s iii without any issues. now all of my photos, videos, and music are on it so no worries about using my main memory for those data intense items.","[""i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended."", 'works great with my samsung galaxy note 2. just stuck it in and it worked. no formatting needed. very fast which and no loss of camera speed', 'the product works exactly as promised. i installed in my samsung galaxy s iii without any issues. now all of my photos, videos, and music are on it so no worries about using my main memory for those data intense items.']"
3,"it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap. i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics. nice product at a reasonable price. i use mine in a gopro camera and it works great. i would recommend this memory for high speed action video as it works great.","['it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap.', ""i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics."", 'nice product at a reasonable price. i use mine in a gopro camera and it works great. i would recommend this memory for high speed action video as it works great.']"
4,"i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible. i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more.... what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.","[""i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible."", ""i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more...."", ""what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.""]"
5,"it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets... works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","['it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets...', ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
6,"not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.","['not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase.', 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.']"
7,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,"i've had this card for some time now and i've only had one problem with it and i believe that problem to be with my phone. the card's formatting became corrupted and while i could still copy to and from using my computer, my phone didn't recognize the card. copying the data off, formatting the card, and copying the data back onto it fixed the issue. it's really nice to have 64gb's of extra data storage on my phone. i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied. i had purchased this card for my wife's phone. she is in love with it as this helped her store all her ebooks, songs, few of her all time 34 to go to 34 movies and her office docs etc. on that new card. the card came, i formated it and installed it. rebooted the phone and it works... phone was able to see new extpned storage and worked right away. its an awesome card fast read and write. highly recommanded for anyone looking to expend their degital storage.chers!","[""i've had this card for some time now and i've only had one problem with it and i believe that problem to be with my phone. the card's formatting became corrupted and while i could still copy to and from using my computer, my phone didn't recognize the card. copying the data off, formatting the card, and copying the data back onto it fixed the issue. it's really nice to have 64gb's of extra data storage on my phone."", ""i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied."", ""i had purchased this card for my wife's phone. she is in love with it as this helped her store all her ebooks, songs, few of her all time 34 to go to 34 movies and her office docs etc. on that new card. the card came, i formated it and installed it. rebooted the phone and it works... phone was able to see new extpned storage and worked right away. its an awesome card fast read and write. highly recommanded for anyone looking to expend their degital storage.chers!""]"
9,"this was a great deal and now i have plenty of storage space for my phone.i can store my ringtones, hundreds of songs and at least 6 movies.this is also the new micro sdxc card which is designed for high speed transfer. i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content. this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.","['this was a great deal and now i have plenty of storage space for my phone.i can store my ringtones, hundreds of songs and at least 6 movies.this is also the new micro sdxc card which is designed for high speed transfer.', 'i picked up this storage device to use in my phone. i only had a 1 gig mini sd in there for music ad it was getting pretty full. now 30 plus gigs of free space later i can download to my hearts content.', 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.']"
