cluster_id,summary,used_reviews
-1,"great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk. i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this","[""great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk."", ""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
0,"i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card. i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit. i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it.","[""i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card."", ""i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit."", ""i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it.""]"
1,i bought this for my mp3 player and it works great for moving music around. i like the fact it came with the adapter for card readers because cheaper ones don't. i bought this to increase the music capacity of my mp3 player. as a bonus i can use the adapter with my old 8 gb micro in my digital camera. i bought this to use with a portable radio that accepts the micro memory card. the 581 pieces of music i put on it took up less than 4 gig so i have used it with the adapter in a camera as well. it does the job,"[""i bought this for my mp3 player and it works great for moving music around. i like the fact it came with the adapter for card readers because cheaper ones don't."", 'i bought this to increase the music capacity of my mp3 player. as a bonus i can use the adapter with my old 8 gb micro in my digital camera.', 'i bought this to use with a portable radio that accepts the micro memory card. the 581 pieces of music i put on it took up less than 4 gig so i have used it with the adapter in a camera as well. it does the job']"
2,"this card is great. it's really fast compared to common cards even from sandisk, kingston, etc.if you need to copy files to your card in the shortest time, then this is the right one.it 8217 s reliable, never missed a photo or music file.5 stars well deserved. this is a great 32 sd card it works real good for my samsong rush and it hold a lot of pictures a lot of videos a lot mp 3 and mp4 4matic songs this is a good sd card i would recommend it to everybody that's why i gave it 5 stars the card works as expected. as long as i don't loose my data prematurely this will get 5 stars. overall, recommended.","[""this card is great. it's really fast compared to common cards even from sandisk, kingston, etc.if you need to copy files to your card in the shortest time, then this is the right one.it 8217 s reliable, never missed a photo or music file.5 stars well deserved."", ""this is a great 32 sd card it works real good for my samsong rush and it hold a lot of pictures a lot of videos a lot mp 3 and mp4 4matic songs this is a good sd card i would recommend it to everybody that's why i gave it 5 stars"", ""the card works as expected. as long as i don't loose my data prematurely this will get 5 stars. overall, recommended.""]"
3,"in conjunction with the meenova adapter and nexus media importer i make use of this for extra storage of media files music, audiobooks and movies for my two nexus models. i removed it from the package, copied a video file from my laptop and played it on my nexus without any problems or delay. i put it in my new roku 2 xs and it seemed to work that is, it recognized and formatted it. i'm hoping to use my roku for music and video. i suppose that mostly i'll be streaming but i thought i'd give myself the option of locally storing some of the media.","['in conjunction with the meenova adapter and nexus media importer i make use of this for extra storage of media files music, audiobooks and movies for my two nexus models. i removed it from the package, copied a video file from my laptop and played it on my nexus without any problems or delay.', ""i put it in my new roku 2 xs and it seemed to work that is, it recognized and formatted it. i'm hoping to use my roku for music and video. i suppose that mostly i'll be streaming but i thought i'd give myself the option of locally storing some of the media.""]"
4,"only 29.7gb of usable storage.arrived 20th of june, no problems so far.crystal disk mark seqread 19.1, write 9.3512kread 19.2, write 0.74kread 3.5, write 1.2 works as advertised. using this with q10 which supports only 32gb. so far no issues. totally happy with the purchase. what you buy this for is in there. 32 gb fast writing speed etc. happy with product. no issues yet","['only 29.7gb of usable storage.arrived 20th of june, no problems so far.crystal disk mark seqread 19.1, write 9.3512kread 19.2, write 0.74kread 3.5, write 1.2', 'works as advertised. using this with q10 which supports only 32gb. so far no issues. totally happy with the purchase.', 'what you buy this for is in there. 32 gb fast writing speed etc. happy with product. no issues yet']"
5,"for its size, this little disk is absolutely amazing. it does everything as advertised and then some. i will buy more of these disks nice product very helpfully . we believe in this products san disk if we need more we do not hesitate to buy another one. what can you say about a disk. it is doing the work that it was made to do. i am happy with it.","['for its size, this little disk is absolutely amazing. it does everything as advertised and then some. i will buy more of these disks', 'nice product very helpfully . we believe in this products san disk if we need more we do not hesitate to buy another one.', 'what can you say about a disk. it is doing the work that it was made to do. i am happy with it.']"
6,"i've used a number of these. just bought some more. they're well rated. they've always worked well for me. good price. best best best productreliableown a fewone isnt enoughgood price i guesswill prob buy more at some point what more can i say. they always work for me. at one time, they were more expensive than other brands. if you look for deals, that is no longer true.","[""i've used a number of these. just bought some more. they're well rated. they've always worked well for me. good price."", 'best best best productreliableown a fewone isnt enoughgood price i guesswill prob buy more at some point', 'what more can i say. they always work for me. at one time, they were more expensive than other brands. if you look for deals, that is no longer true.']"
7,"i use this in tandem with a niftydrive on my macbook pro. for those of you who don't know, the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. with a 128 gb micro ssd you can add hard drive space very inexpensively. i put my entire dropbox folder over 100 gbs on this thing, and it is every bit as fast as the mac's internal ssd. in fact, i think it might be faster. i was really excited when this came out i have a mac air and a lot of music and film on it so the ability to stick this in my minidrive was great, it was that or buy a 128gb minidrive air which is like 30 more that this and i already had a minidrive. problem is its not very fast, not fast enough, my girlfriend has a new 128gb minidrive and it runs way faster than this in my old adapter and new sandisk 128. its great though 128gb in this little chip glad its out cause now its just a matter of time before they make it better.thanks i bought this to go along with a nifty minidrive pro, and have not been disappointed. it really holds the full 128, and the data transfer speeds are great. i used it to keep all of the media from my itunes library, and have not had any issues with playback or lag. i really recommend this if you want to add a quick 128 to your mbp.","[""i use this in tandem with a niftydrive on my macbook pro. for those of you who don't know, the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. with a 128 gb micro ssd you can add hard drive space very inexpensively. i put my entire dropbox folder over 100 gbs on this thing, and it is every bit as fast as the mac's internal ssd. in fact, i think it might be faster."", 'i was really excited when this came out i have a mac air and a lot of music and film on it so the ability to stick this in my minidrive was great, it was that or buy a 128gb minidrive air which is like 30 more that this and i already had a minidrive. problem is its not very fast, not fast enough, my girlfriend has a new 128gb minidrive and it runs way faster than this in my old adapter and new sandisk 128. its great though 128gb in this little chip glad its out cause now its just a matter of time before they make it better.thanks', 'i bought this to go along with a nifty minidrive pro, and have not been disappointed. it really holds the full 128, and the data transfer speeds are great. i used it to keep all of the media from my itunes library, and have not had any issues with playback or lag. i really recommend this if you want to add a quick 128 to your mbp.']"
8,"bought 3 32gb micro memory cards for the kids tablets. the kids love the extra memory although they do need new tablets now. i bought these for my kids tablets and for their action cameras. they work in those 2 devices. some other devices seem to like the slower cards. i bought these in hopes to replace my standard sandisk 64gb models for quickness. i'm not saying they are lightning fast, but they are definitely faster than the standard version. i bought one for each of my phones and my tablets, they work great. when the 128gb is available, i will try the faster version of those also.","['bought 3 32gb micro memory cards for the kids tablets. the kids love the extra memory although they do need new tablets now.', 'i bought these for my kids tablets and for their action cameras. they work in those 2 devices. some other devices seem to like the slower cards.', ""i bought these in hopes to replace my standard sandisk 64gb models for quickness. i'm not saying they are lightning fast, but they are definitely faster than the standard version. i bought one for each of my phones and my tablets, they work great. when the 128gb is available, i will try the faster version of those also.""]"
