cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
0,"great price for a great chip, it worked perfectly in my new smart phone. i swapped out a 4 gig chip with this one, and now i have lots of excess storage capacity. love this chip,... bought this for my samsung s4, it works well and fast.... no issues with it, so i bought one for my mom.... i got this initially for my cellphone, however i have moved it to a raspberrypi, and it has been flawless, the storage is nice and the chip is fast, no issues to date.","['great price for a great chip, it worked perfectly in my new smart phone. i swapped out a 4 gig chip with this one, and now i have lots of excess storage capacity.', 'love this chip,... bought this for my samsung s4, it works well and fast.... no issues with it, so i bought one for my mom....', 'i got this initially for my cellphone, however i have moved it to a raspberrypi, and it has been flawless, the storage is nice and the chip is fast, no issues to date.']"
1,"i got this item for my dash cam which is in my convertible. the dash cam is recording at all times when i am driving my car so i needed a lot of memory. this card does the job for me and this brand name is fantastic, no problems, and works as it ought to! good with low pricethankssandisk ulttra i used it for my dash cam. and its works. i can record unto 32g but as user i regularly formatting 1or 2 times amonths to keep memory in a good conditionthanks bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.","['i got this item for my dash cam which is in my convertible. the dash cam is recording at all times when i am driving my car so i needed a lot of memory. this card does the job for me and this brand name is fantastic, no problems, and works as it ought to!', 'good with low pricethankssandisk ulttra i used it for my dash cam. and its works. i can record unto 32g but as user i regularly formatting 1or 2 times amonths to keep memory in a good conditionthanks', 'bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.']"
2,"great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012. works well. came with an sd adapter and i'm using it in a portable video camera. captures everything, even 1080p at 30 fps just fine. no rate issues. i have a point and shoot camera. this works well with it. have no problems so far. i think my camera is the speed limiting step rather than this card.","['great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012.', ""works well. came with an sd adapter and i'm using it in a portable video camera. captures everything, even 1080p at 30 fps just fine. no rate issues."", 'i have a point and shoot camera. this works well with it. have no problems so far. i think my camera is the speed limiting step rather than this card.']"
3,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. works perfectly in my gopro hero3. can't ask for more for the price. no issues with the card to date. this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", ""works perfectly in my gopro hero3. can't ask for more for the price. no issues with the card to date."", 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
4,"works great so far, but gopro filled the card pretty quick recording at 1080p. so i got a 64gb a week later. used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. i got my memory card here instead of on the gopro site and saved some money. its the same card and it works awesome. this card is about 7 hours of 720 30 frames per second, or about 4 hours of 720 60 frames or 1080 30 frames. in a gopro, you will be burning through batteries way before you could ever fill these cards. i prefer more, smaller cards. if a card dies, it is less of a catastrophe and you also dont pay that premium for the larger cards. however, if i do a long time lapse with a battery source, having a large card is nice to have.","['works great so far, but gopro filled the card pretty quick recording at 1080p. so i got a 64gb a week later.', 'used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'i got my memory card here instead of on the gopro site and saved some money. its the same card and it works awesome. this card is about 7 hours of 720 30 frames per second, or about 4 hours of 720 60 frames or 1080 30 frames. in a gopro, you will be burning through batteries way before you could ever fill these cards. i prefer more, smaller cards. if a card dies, it is less of a catastrophe and you also dont pay that premium for the larger cards. however, if i do a long time lapse with a battery source, having a large card is nice to have.']"
5,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great! added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
6,"great price and holds tons of stuff. the class 10 is way faster then any other card i have purchased it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms. inexpensive, fast and made my videos a bit less choppy during recording hd. a good buy now, and seems to be a better value for the class 10 cards...","['great price and holds tons of stuff. the class 10 is way faster then any other card i have purchased', ""it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms."", 'inexpensive, fast and made my videos a bit less choppy during recording hd. a good buy now, and seems to be a better value for the class 10 cards...']"
7,there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. this item works great as expected without any issues. i would recommend this item for anyone in need. good buy. this is the first of these i've had. it works as mentioned and have had not problems with it. satisfied.,"[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", 'this item works great as expected without any issues. i would recommend this item for anyone in need. good buy.', ""this is the first of these i've had. it works as mentioned and have had not problems with it. satisfied.""]"
8,"the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient. what can you say. it is a memory card and it works. the price was good for the size of card. the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.","[""the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient."", 'what can you say. it is a memory card and it works. the price was good for the size of card.', 'the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.']"
9,"i use this with my samsung galaxy tab 3 10.1, and it has worked seamlessly. i use it to store movies to watch while travelling, and haven't had an issue yet. the transfer speed is great and playing movies from the card has not been a problem. i purchased this to use with my samsung galaxy tab 2 10.1. i chose this memory card because i have used sandisk products many time in the past and have never had a problem. i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues.","[""i use this with my samsung galaxy tab 3 10.1, and it has worked seamlessly. i use it to store movies to watch while travelling, and haven't had an issue yet. the transfer speed is great and playing movies from the card has not been a problem."", 'i purchased this to use with my samsung galaxy tab 2 10.1. i chose this memory card because i have used sandisk products many time in the past and have never had a problem.', 'i use this with my samsung galaxy 10.1 tablet and it works great. the sd card loads fast and i have had no issues.']"
10,"purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par. whenever i get these cards, the first thing i do is connect it to my windows 7 or 8 computers, and run this program to format it to fat32. here's the link to the free program ... many phones, cameras and tablets, need the card to be in fat32 format, and sadly, it's not an option in windows these days. you can select ntfs or exfat, but no option for fat32 when it comes to this card.using that program, you can format the card, then load it with whatever music or videos, and the card will work fine in your device.the 4 cards i have have never failed me in the past year, recommended i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.","['purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par.', ""whenever i get these cards, the first thing i do is connect it to my windows 7 or 8 computers, and run this program to format it to fat32. here's the link to the free program ... many phones, cameras and tablets, need the card to be in fat32 format, and sadly, it's not an option in windows these days. you can select ntfs or exfat, but no option for fat32 when it comes to this card.using that program, you can format the card, then load it with whatever music or videos, and the card will work fine in your device.the 4 cards i have have never failed me in the past year, recommended"", ""i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.""]"
11,this item is great! i can't believe how small it is. imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space! great item. i got an amazing price and this is an amazing product. 64 gigs is a lot of memory. i don't think i'm ever going to fill it up but it's nice to have it. it has given me no problem so far. great storage for the price 60 1 per gb . the only draw back is that they are rather slow to write to.,"[""this item is great! i can't believe how small it is. imagine 64gb this size back in the 70's when they had whole buildings full of computers that couldn't pack this much space! great item."", ""i got an amazing price and this is an amazing product. 64 gigs is a lot of memory. i don't think i'm ever going to fill it up but it's nice to have it. it has given me no problem so far."", 'great storage for the price 60 1 per gb . the only draw back is that they are rather slow to write to.']"
12,"this is just what the tablet needs, it increases the memory up to nearly 100 gb so i will bnever run out of storage space. id say that this product is a steal! now i am able to expand the storage size of my tablet to add more hd movies! got this for my girlfriend for the tablet i bought her, she love this as she can now put all the music and pictures on her tablet that she wants and doesn't have to worry about running out of space anymore.","['this is just what the tablet needs, it increases the memory up to nearly 100 gb so i will bnever run out of storage space.', 'id say that this product is a steal! now i am able to expand the storage size of my tablet to add more hd movies!', ""got this for my girlfriend for the tablet i bought her, she love this as she can now put all the music and pictures on her tablet that she wants and doesn't have to worry about running out of space anymore.""]"
13,"bought it for my tablet. it works well, and it has been working now for about 6 months. i have no complaints. not much to say here other than it works fine. i use it in the sd ram slot in my samsung galaxy note 10.1 tablet. no performance issues and will provide more than enough extra storage for a tablet. bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.","['bought it for my tablet. it works well, and it has been working now for about 6 months. i have no complaints.', 'not much to say here other than it works fine. i use it in the sd ram slot in my samsung galaxy note 10.1 tablet. no performance issues and will provide more than enough extra storage for a tablet.', 'bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.']"
