cluster_id,summary,used_reviews
0,"very impressed with the speed of this 32 gb micro sdhc. very good performance for data read and write . fast delivery, good speeds, and good price make this a good micro sd to buy. got pretty nice speed considering im using a kinda crappy mobo and older usb slots. fast! reliable! huge storage. already own 2 for my mobile devices. transfer speeds are awesome. no problems to date. great buy.","['very impressed with the speed of this 32 gb micro sdhc. very good performance for data read and write .', 'fast delivery, good speeds, and good price make this a good micro sd to buy. got pretty nice speed considering im using a kinda crappy mobo and older usb slots.', 'fast! reliable! huge storage. already own 2 for my mobile devices. transfer speeds are awesome. no problems to date. great buy.']"
1,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
2,"stil not getting the write speed as i need, but considering the cost capacity speed it is a good card! this card was great! i originally bought it because it was cheap for being a class 10 card and having 32gb of storage. no problems so far.pros cheap, most other cards would cost a lot moreclass 10, 32gbfastworks on smartphonecon none so far this card is great and at 20 bucks its a steal. the card handles high transfer speeds which is good for music, pictures and videos. do not get any lag or have to wait for card to load up.","['stil not getting the write speed as i need, but considering the cost capacity speed it is a good card!', 'this card was great! i originally bought it because it was cheap for being a class 10 card and having 32gb of storage. no problems so far.pros cheap, most other cards would cost a lot moreclass 10, 32gbfastworks on smartphonecon none so far', 'this card is great and at 20 bucks its a steal. the card handles high transfer speeds which is good for music, pictures and videos. do not get any lag or have to wait for card to load up.']"
3,"i use this memory card in my galaxy s3, and though i had some issues getting it formatted correctly this is the phone's fault it works like a dream and have had zero issues. i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied. this microsd card works as advertised. my samsung galaxy s3 developed a problem with the sd card that was included with the purchase of the phone. once i replaced it, it's as good as new.","[""i use this memory card in my galaxy s3, and though i had some issues getting it formatted correctly this is the phone's fault it works like a dream and have had zero issues."", ""i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied."", ""this microsd card works as advertised. my samsung galaxy s3 developed a problem with the sd card that was included with the purchase of the phone. once i replaced it, it's as good as new.""]"
4,"this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space. bought this to use in a video camera. it's super fast and holds a ton of data. buy this one!","['this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.', ""bought this to use in a video camera. it's super fast and holds a ton of data. buy this one!""]"
5,"first off i got mine at wal mart but i'm considering the 64gb version as of now but the 16gb card i have is really fast i've actually transferred all i can to it from my galaxy siii because for what ever reason it reads of the card faster than it does from the phones internal 16gb of memory?!?!? i've always used snadisk stuff everything from flash drives, sd cards, and now even a ssd! they make great stuff i purchased this card for use in a microsoft surface pro tablet for that, it works great. 64gb is a nice capacity, card was cheap and it works just fine.the problem, however, was in transfer speed. it's rated at 34 up to 34 30mb sec which i guess is true.. but mine has never reached anywhere close to that. using 3 different readers the surface pro itself, a higher end desktop pc with built in microsd reader and an external usb 3.0 microsd reader.. in all, it maxed out around 10 12mb sec and on multiple smaller files it maxed out closer to about 5mb sec total . i know it's not the card readers as i have been able to reach speeds of 90mb sec with other faster cards.the card itself does work fine. for that i give it 5 stars. the price is great for the size, for that i give it 5 stars. the transfer speeds are just disappointing though.. taking 5 minutes to transfer an itunes movie file is a long time.. it'll take hours to fill the full card.. if you only load data once, it's not so bad, but if you're always adding deleting moving data, it's slow and will get annoying quickly! 128gb in the size of a fingernail for this price, who'da thunk it?works fine in my sansa clip zip using rockbox software probably fine with original firmware but i haven't tried it .nota bene as with all sdhc xc cards, it comes from the factory formatted to exfat.for rockbox at least, and probably other software, reformatting to fat32 is required.if your device or software supports exfat, you won't care about this caveat.i'm only using it for mp3 bitrates, so i can't comment on speed issues.the dark red printing on the card is hard to read compared to the white on the 64gb cards.awesome! thank you sandisk and amazon.","[""first off i got mine at wal mart but i'm considering the 64gb version as of now but the 16gb card i have is really fast i've actually transferred all i can to it from my galaxy siii because for what ever reason it reads of the card faster than it does from the phones internal 16gb of memory?!?!? i've always used snadisk stuff everything from flash drives, sd cards, and now even a ssd! they make great stuff"", ""i purchased this card for use in a microsoft surface pro tablet for that, it works great. 64gb is a nice capacity, card was cheap and it works just fine.the problem, however, was in transfer speed. it's rated at 34 up to 34 30mb sec which i guess is true.. but mine has never reached anywhere close to that. using 3 different readers the surface pro itself, a higher end desktop pc with built in microsd reader and an external usb 3.0 microsd reader.. in all, it maxed out around 10 12mb sec and on multiple smaller files it maxed out closer to about 5mb sec total . i know it's not the card readers as i have been able to reach speeds of 90mb sec with other faster cards.the card itself does work fine. for that i give it 5 stars. the price is great for the size, for that i give it 5 stars. the transfer speeds are just disappointing though.. taking 5 minutes to transfer an itunes movie file is a long time.. it'll take hours to fill the full card.. if you only load data once, it's not so bad, but if you're always adding deleting moving data, it's slow and will get annoying quickly!"", ""128gb in the size of a fingernail for this price, who'da thunk it?works fine in my sansa clip zip using rockbox software probably fine with original firmware but i haven't tried it .nota bene as with all sdhc xc cards, it comes from the factory formatted to exfat.for rockbox at least, and probably other software, reformatting to fat32 is required.if your device or software supports exfat, you won't care about this caveat.i'm only using it for mp3 bitrates, so i can't comment on speed issues.the dark red printing on the card is hard to read compared to the white on the 64gb cards.awesome! thank you sandisk and amazon.""]"
6,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone. i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", 'i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone.', 'i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.']"
7,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,"the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient. this is a quality 64gb micro sd memory card. it does what it is supposed to do. i would recommend this to any one. sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.","[""the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient."", 'this is a quality 64gb micro sd memory card. it does what it is supposed to do. i would recommend this to any one.', 'sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.']"
9,"i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels. i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","[""i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels."", 'i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
