cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
0,"this microsd card is perfect, i'm using this on my sony dsc tx200v cyber shot and it works the camera took few second to format card and it was ready to stored pictures and video excellent. the costumer service they help me by replacing my card that broke by sending me a new one and it came super fast the card, i will definitely recommend this card and happy that the costumer service they answer me quick and they werer fast. i will definitely buy from this guys. thanks... best, most reliable microsd card you can get. i use it for all my devices phones, tablets, cameras, camcorders, gopro cameras... other than a few for cell phones over the years, this is the first time i've used microsd cards in an actual camera. i'm very impressed. it seems to be just as fast, durable, and dependable as the full sized cards that i've been using for years. amazing.","[""this microsd card is perfect, i'm using this on my sony dsc tx200v cyber shot and it works the camera took few second to format card and it was ready to stored pictures and video excellent. the costumer service they help me by replacing my card that broke by sending me a new one and it came super fast the card, i will definitely recommend this card and happy that the costumer service they answer me quick and they werer fast. i will definitely buy from this guys. thanks..."", 'best, most reliable microsd card you can get. i use it for all my devices phones, tablets, cameras, camcorders, gopro cameras...', ""other than a few for cell phones over the years, this is the first time i've used microsd cards in an actual camera. i'm very impressed. it seems to be just as fast, durable, and dependable as the full sized cards that i've been using for years. amazing.""]"
1,"when i placed this in my galaxy s4 phone it read it right away at 29.7 gb. which is expected to loose a few gb. i transferred file from my old card and it was done fast. although i didn't have large files to start with. i had been looking for a large card and this one fits the bill. the other reviews helped sway my choice. i would recommend this card, so far no issues. exactly what i neededtook the old 32 gb card out of my samsung galaxy s4 to put in my digital recorder so i bought this new 64 gb card for the phone.as advertised, very fast and stable i try to transfer as many of my apps to external media on the phone to free memory on the phone and i have not had one problem as of yet.highly recommended at the time of writing this review i bought three of these memory cards in last couple of weeks, for work related phones. they work fine in the samsung galaxy s3 mini phones. we are happy with the read and write speeds. one small note of caution the price that can be paid for these can vary, so please check around and save a few extra dollars. when installed you will not get the full 32gb from the sd card but that is to be expected, so please bear this mind.","[""when i placed this in my galaxy s4 phone it read it right away at 29.7 gb. which is expected to loose a few gb. i transferred file from my old card and it was done fast. although i didn't have large files to start with. i had been looking for a large card and this one fits the bill. the other reviews helped sway my choice. i would recommend this card, so far no issues."", 'exactly what i neededtook the old 32 gb card out of my samsung galaxy s4 to put in my digital recorder so i bought this new 64 gb card for the phone.as advertised, very fast and stable i try to transfer as many of my apps to external media on the phone to free memory on the phone and i have not had one problem as of yet.highly recommended', 'at the time of writing this review i bought three of these memory cards in last couple of weeks, for work related phones. they work fine in the samsung galaxy s3 mini phones. we are happy with the read and write speeds. one small note of caution the price that can be paid for these can vary, so please check around and save a few extra dollars. when installed you will not get the full 32gb from the sd card but that is to be expected, so please bear this mind.']"
2,"it works great i'm using it for my car dash cam and i purchased 3 different cards and this is the only one that was actually fast enough for it to read and write. excellent card that i use primarily in my carcam. has also been used, and been compatible, in a small digital camera with the camera's proprietary adaptor. these cards have worked flawlessly in cameras mounted on an offroad race car. they capture hd video without stutter. i highly recommend them for this purpose.","[""it works great i'm using it for my car dash cam and i purchased 3 different cards and this is the only one that was actually fast enough for it to read and write."", ""excellent card that i use primarily in my carcam. has also been used, and been compatible, in a small digital camera with the camera's proprietary adaptor."", 'these cards have worked flawlessly in cameras mounted on an offroad race car. they capture hd video without stutter. i highly recommend them for this purpose.']"
3,great card. works with my gopro and canon 1d great card with fast write times. excellent for use in dslr or gopro camera. i have used it to save both photos and movies. great card. it has worked very well for me with my gopro. great quality and speed. the size is perfect for heavier photographers.,"['great card. works with my gopro and canon 1d', 'great card with fast write times. excellent for use in dslr or gopro camera. i have used it to save both photos and movies.', 'great card. it has worked very well for me with my gopro. great quality and speed. the size is perfect for heavier photographers.']"
4,"i didn't see this brand listed on the gopro website as one of the recommended cards but i've never had an issue with sandisk before so i gave it a try. it is a uhs1 card so it doesn't ever stop recording due to write errors. for the price, you can't beat the quality that comes with it. it also included a microsd to standard sd card adapter so that you don't need a different card reader if you have one for your old sd cards. card works great in my gopro hero 3 white edition. i did a 48 hour time lapse and had no issues whatsoever with corrupted data or missing files. i've always had good experiences with sandisk products and recommend them to everyone. as i expect from sandisk, this card is fast, reliable and works great with the gopro 3.comes with the adapter.....pretty cool to have 64gig of space on such a small ad card.not cheap, but worth the money, in my opinion.","[""i didn't see this brand listed on the gopro website as one of the recommended cards but i've never had an issue with sandisk before so i gave it a try. it is a uhs1 card so it doesn't ever stop recording due to write errors. for the price, you can't beat the quality that comes with it. it also included a microsd to standard sd card adapter so that you don't need a different card reader if you have one for your old sd cards."", ""card works great in my gopro hero 3 white edition. i did a 48 hour time lapse and had no issues whatsoever with corrupted data or missing files. i've always had good experiences with sandisk products and recommend them to everyone."", 'as i expect from sandisk, this card is fast, reliable and works great with the gopro 3.comes with the adapter.....pretty cool to have 64gig of space on such a small ad card.not cheap, but worth the money, in my opinion.']"
5,great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space. works just fine in my video camera in the car. and i saved over 15 bucks over best buy which always tries to rip you off .,"['great product. works perfectly with my canon camcorder. very responsive and fast.enough capacity for 8 hours video and great price. grabbed in thanksgiving 2012.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.', 'works just fine in my video camera in the car. and i saved over 15 bucks over best buy which always tries to rip you off .']"
6,"this does exactly what you would expect from a 32gb microsd memory card. plenty of storage and fast access times make this a solid purchase. this 32gb card is fast. great for storing video and music and whatever you need to do without worry. it is plenty large and the price is very reasonable. i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete.","['this does exactly what you would expect from a 32gb microsd memory card. plenty of storage and fast access times make this a solid purchase.', 'this 32gb card is fast. great for storing video and music and whatever you need to do without worry. it is plenty large and the price is very reasonable.', ""i like my device to have enough storage so i finally purchased the 64gb version. formatted the card and haven't fun into any kind of problem. inserted it into my samsun galaxy 8 tablet, now it's complete.""]"
7,"works great! i was running out of room on my 32gb card on my galaxy note 3. this solved my problems nicely! now i have enough space for movies, music and photos on my device! i don't think i will be running out of space for a while! i needed a bit more storage in my galaxy note ii, this has worked perfectly. i have not run into any problems, other than finding out that my phone does not allow moving applications to the card due to limitations that have been added to the newer versions of android this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.","[""works great! i was running out of room on my 32gb card on my galaxy note 3. this solved my problems nicely! now i have enough space for movies, music and photos on my device! i don't think i will be running out of space for a while!"", 'i needed a bit more storage in my galaxy note ii, this has worked perfectly. i have not run into any problems, other than finding out that my phone does not allow moving applications to the card due to limitations that have been added to the newer versions of android', 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.']"
8,"bought this micro sd card for my samsung galaxy note 2 and it works flawlessly. lots of space and fast! great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!! i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you!","['bought this micro sd card for my samsung galaxy note 2 and it works flawlessly. lots of space and fast!', 'great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!', ""i bought this 64gb card to use for photo storage on my samsung galaxy note 2. the phone also recognized the card instantly. this is about the best deal for 64 gigs i have been able to find. if you have a music library or in my case pictures library that won't fit on your phone, this card is for you!""]"
