cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
0,"san disk is hard to beat. you will pay more for the brand but you get a quality product. would purchase again. san disk has always been a good brand for me. it worked very well for my samsung galaxy phones and tablets. i always buy san disk as i had issues with other brands and it always works in every application i used it, phone, camera, tablet, etc.","['san disk is hard to beat. you will pay more for the brand but you get a quality product. would purchase again.', 'san disk has always been a good brand for me. it worked very well for my samsung galaxy phones and tablets.', 'i always buy san disk as i had issues with other brands and it always works in every application i used it, phone, camera, tablet, etc.']"
1,"the product shipped fast and actually came in a few days early. i read about some people having problems with this card. when i got it, first thing i did was format it. also make sure your device is compatible with sdhc cards. i have had no problems. very fast read write speeds. a little over 29 gb actually available for storage. i am pleased. product arrived on time not excessively packaged. worked perfectly out of the box. speed is excellent as i can play movies on it and the large file transfer time is very quick on the tablet. a on product and seller came as described shipping was very fast i was excited to see how this class 10 was compared to other micro sd cards. i have it in my new galaxy s4 pulls pictures videos quickly and stores them just as good. i have already recommended this to friends.","['the product shipped fast and actually came in a few days early. i read about some people having problems with this card. when i got it, first thing i did was format it. also make sure your device is compatible with sdhc cards. i have had no problems. very fast read write speeds. a little over 29 gb actually available for storage. i am pleased.', 'product arrived on time not excessively packaged. worked perfectly out of the box. speed is excellent as i can play movies on it and the large file transfer time is very quick on the tablet.', 'a on product and seller came as described shipping was very fast i was excited to see how this class 10 was compared to other micro sd cards. i have it in my new galaxy s4 pulls pictures videos quickly and stores them just as good. i have already recommended this to friends.']"
2,"fast and lots of storage, not a flimsy card either. fells like its build tough. i would definitely recommend this to a friend. side note, if your device supports it and you can afford it, get the 64gb. youll appreciate never changing out ur card. i bought this card to extend the storage capability of my tablet. it holds hundreds of my short video files without having to use the tablet's built in memory. transfer speed from my computer into the card is relatively fast. if someday i may need more storage in the tablet i can always buy another one of these cards. super fast card and it has lots of space. great for movies and pictures and music and other stuff. its awesome","['fast and lots of storage, not a flimsy card either. fells like its build tough. i would definitely recommend this to a friend. side note, if your device supports it and you can afford it, get the 64gb. youll appreciate never changing out ur card.', ""i bought this card to extend the storage capability of my tablet. it holds hundreds of my short video files without having to use the tablet's built in memory. transfer speed from my computer into the card is relatively fast. if someday i may need more storage in the tablet i can always buy another one of these cards."", 'super fast card and it has lots of space. great for movies and pictures and music and other stuff. its awesome']"
3,"bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost. used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card... i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.","['bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.', ""used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card..."", 'i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.']"
4,"i bought this for my husband and then the 32 gb one went on sale so i bought that one for him. i use this one in my tablet and i love it! no issues!! perfect.get the 32gb. at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.","['i bought this for my husband and then the 32 gb one went on sale so i bought that one for him. i use this one in my tablet and i love it! no issues!!', 'perfect.get the 32gb.', 'at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.']"
5,"this card is great for the money and performs adequately. i recommend this product to anyone who needs a memory card. if you need a memory card, this one works as advertised... it is fast and reliable. i have never had a problem with this brand. the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.","['this card is great for the money and performs adequately. i recommend this product to anyone who needs a memory card.', 'if you need a memory card, this one works as advertised... it is fast and reliable. i have never had a problem with this brand.', 'the last i heard this memory card works great. i gave it as a christmas gift. the person i gave it to says it works great.']"
6,"i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great! added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'i bought this memory for my microsoft surface rt. it works great and it is super fast. i am storing movies, music and pictures. great!', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
7,"this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y. this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space. bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.","['this works very well. it is a class 10 memory card which all video cameras like. memory that is less than a class 6 plays back on some camcorders with a jerky playback. not with this memory chip. worth the money and at 64gb of storage lots of video time, photos and music storage. the added value of the adapter is a plus. this is a five star product. art d long island n.y.', 'this worked really well for me. i used it in a gopro camera for recording a couple of hours of video. love the storage space.', 'bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.']"
8,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
