cluster_id,summary,used_reviews
-1,"this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this","[""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
0,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
1,"the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did. incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here. it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms.","[""the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did."", ""incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here."", ""it's fast. works as described. plenty of space left free now. fast transfer speeds if used with compatible card reader. would recommend.this product features amazon frustration free packaging, which is recyclable. it comes without excess outer packaging materials such as hard plastic clamshell casings, plastic bindings, or wire ties. the packaging is designed to be opened without the use of a box cutter or knife, and it will protect your product just as well as traditional packaging.as of this writing, the sandisk ultra microsdhc card ia actually priced lower than other class 10 cards from pny and polaroid. this makes the sandisk the best value especially if you need honest class 10 performance across all platforms.""]"
2,"received my card in a decent amount of time and it was packaged well . the memory card was crispy brand new and in perfect condition . after installing the card in my video camera it worked perfectly! very good deal. really fast shipment, i got it within 2 days of ordering. even faster though was this 64gb microsdxc card. i've been using it with my canon t3i dslr and it's been a big upgrade in storage for my photos. i've used it for about a month now and it still lives up to its class 10 speed and reliability. it transfers almost twice as fast as my old 32gb transcend sd card.the only thing odd was the shipping box it came in... it was the size of a laptop box but inside was an envelope with this sdxc card. seemed like quite a big environmentally unfriendly waste in packaging! a on product and seller came as described shipping was very fast i was excited to see how this class 10 was compared to other micro sd cards. i have it in my new galaxy s4 pulls pictures videos quickly and stores them just as good. i have already recommended this to friends.","['received my card in a decent amount of time and it was packaged well . the memory card was crispy brand new and in perfect condition . after installing the card in my video camera it worked perfectly! very good deal.', ""really fast shipment, i got it within 2 days of ordering. even faster though was this 64gb microsdxc card. i've been using it with my canon t3i dslr and it's been a big upgrade in storage for my photos. i've used it for about a month now and it still lives up to its class 10 speed and reliability. it transfers almost twice as fast as my old 32gb transcend sd card.the only thing odd was the shipping box it came in... it was the size of a laptop box but inside was an envelope with this sdxc card. seemed like quite a big environmentally unfriendly waste in packaging!"", 'a on product and seller came as described shipping was very fast i was excited to see how this class 10 was compared to other micro sd cards. i have it in my new galaxy s4 pulls pictures videos quickly and stores them just as good. i have already recommended this to friends.']"
3,"used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","['used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
4,"i love this 64 gb microsd. i dont ever have to think about it now. i love that we can get such a large amount of memory for our devices. i like the storage capacity of this little gadget. purchased for use in my smartphone. sandisk has shown itself to be a truly reliable and quality storage device company and should do well in years to come. this 32 gb micro memory card comes with an adapter so that you can use it for other purposes. they tend to be a bit on the pricey side, but you can't beat amazon for pricing. go ahead, get one or two of these, they are a worthwhile investment, and you won't be disappointed. what can i say. 64 gb in a microsd card. 30mb s transfer speed while inserted into my laptop. works great in my s4. can't really go wrong with this price either.","['i love this 64 gb microsd. i dont ever have to think about it now. i love that we can get such a large amount of memory for our devices.', ""i like the storage capacity of this little gadget. purchased for use in my smartphone. sandisk has shown itself to be a truly reliable and quality storage device company and should do well in years to come. this 32 gb micro memory card comes with an adapter so that you can use it for other purposes. they tend to be a bit on the pricey side, but you can't beat amazon for pricing. go ahead, get one or two of these, they are a worthwhile investment, and you won't be disappointed."", ""what can i say. 64 gb in a microsd card. 30mb s transfer speed while inserted into my laptop. works great in my s4. can't really go wrong with this price either.""]"
5,this is just the standard micro sd card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe. good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product. sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter,"['this is just the standard micro sd card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.', ""good micro sd card. i love sandisk's products because they have a good warranty policy. i would recommend this product."", 'sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter']"
6,"this card seems to work well ,enough speed and so far it's working just fine ,good value for great quality ,lhb great name brand class 10 card. great price, best on the net at the time i bought this one. it works perfectly and is fast. can't go wrong. spend the extra couple of bucks for the real deal. don't be fooled by a knock off, slow speed, import. i have been pleased with the performance and price point for this card. no complaints, i would recommend it based on price performance.","[""this card seems to work well ,enough speed and so far it's working just fine ,good value for great quality ,lhb"", ""great name brand class 10 card. great price, best on the net at the time i bought this one. it works perfectly and is fast. can't go wrong. spend the extra couple of bucks for the real deal. don't be fooled by a knock off, slow speed, import."", 'i have been pleased with the performance and price point for this card. no complaints, i would recommend it based on price performance.']"
7,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,"bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost. used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card... i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.","['bought this item to use in my android based tablet and it has worked just fine. doubled my storage capacity at a very reasonable cost.', ""used it for my samsung galaxy tab 2 10.1 tablet. stopped working after about 10 months without warnings. my tablet now recognizes as blank or un formatted card my computers won't even recognize it at all! i am still trying to recover some priceless photos of my kids since my last backup of the card..."", 'i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.']"
