cluster_id,summary,used_reviews
0,"incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here. super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well. its so much faster than normal sd's. i recommend this micro sd. it flies!the card reader was ok, tested it and worked but never really used it because its too big","[""incredible speed, phone recognized it within moments. i was able to transfer all my books music videos and everything onto my phone and have room to spare without having to worry about a fully consumed memory card. arrived a day earlier than i even assumed.pros incredible speed.class 10exactly as orderedtons of storage!cons i'll be serious, nothing wrong at all here."", 'super fast write speed makes using link2sd app work very well. moving music and other media to this card from cable or reader is also much faster and im not completely sure but i think i can take photos faster as well.', ""its so much faster than normal sd's. i recommend this micro sd. it flies!the card reader was ok, tested it and worked but never really used it because its too big""]"
1,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
2,"the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now. out of the three different brands of micro sd cards the sandisk is the only one that is still with me. the other two just quit working. i have bought several more of these cards and have had no problem except i wished i would have bought ones with more memory. excellent product. what can i say, the card works perfectly, haven't had a single issue with it. i had a sandisk card at one point that didn't work properly and sandisks customer service was great in replacing my product which is the reason i will keep giving them my business.","[""the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now."", 'out of the three different brands of micro sd cards the sandisk is the only one that is still with me. the other two just quit working. i have bought several more of these cards and have had no problem except i wished i would have bought ones with more memory. excellent product.', ""what can i say, the card works perfectly, haven't had a single issue with it. i had a sandisk card at one point that didn't work properly and sandisks customer service was great in replacing my product which is the reason i will keep giving them my business.""]"
3,"nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video. i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another. this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.","['nice to be able to stuff 20gb of music and movie files on my phone. and still have room to take lots of photos and video.', 'i got this for my phone and it is working well as storage for my music and images. i would order this again if i needed another.', 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.']"
4,"use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install. excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended.. i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended.","['use this in my samsung galaxy s4. have had it for almost a year now, no problems, really expands your memory capabilities, easy enough to install.', 'excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended..', ""i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended.""]"
5,"i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels. i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. love it makes my tablet work so much faster,because it take up alot of memory that would be on the internal storage,,free's alot of space, i've got a bunch of music and movies downloaded on this micro card and only using about 1 4 of it memory. thanks i would recommend this,to anyone whole loves music and movies on the go!","[""i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels."", 'i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', ""love it makes my tablet work so much faster,because it take up alot of memory that would be on the internal storage,,free's alot of space, i've got a bunch of music and movies downloaded on this micro card and only using about 1 4 of it memory. thanks i would recommend this,to anyone whole loves music and movies on the go!""]"
6,"i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since. read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale. bought this for my girlfriend.the card works very nice and is a great way to up your storage on your cell phone.this is currently in a samsung galaxy s4.","[""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since."", 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.', 'bought this for my girlfriend.the card works very nice and is a great way to up your storage on your cell phone.this is currently in a samsung galaxy s4.']"
7,"works great! my tablet loves it. i always buy sandisk products and have never had a problem with any of them. i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet. works great, no issues. tablet recognized it immediately and the speed is great. lots of storage and no compatibility issues to report.","['works great! my tablet loves it. i always buy sandisk products and have never had a problem with any of them.', 'i bought this for my new galaxy tab and it works flawlessly, nothing to complain about. i always use sandisk products and they have never fail to me. i have one of these 16 gb on almost every device at home, digital cameras, phones and now in a tablet.', 'works great, no issues. tablet recognized it immediately and the speed is great. lots of storage and no compatibility issues to report.']"
8,"for me 32 gb is sufficient. i don't need more then this.running easy, safety, and sandisk is a great mark. at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal. man, this 128 122gb actually is amazing! i had a 64gb card and been transferring my apps to the external card and ran out of memory. with this bad boy, i can move anything i want, load it with tons of music and still have tons of space. highly recommended.","[""for me 32 gb is sufficient. i don't need more then this.running easy, safety, and sandisk is a great mark."", 'at 32 gb, this holds plenty of music, movies, apps and files. at about 75 cents a gig, this is a great deal.', 'man, this 128 122gb actually is amazing! i had a 64gb card and been transferring my apps to the external card and ran out of memory. with this bad boy, i can move anything i want, load it with tons of music and still have tons of space. highly recommended.']"
9,"works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do good product that is working well, was packaged well and delivered as promised. it was a birthday gift for my sons laptop works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", 'good product that is working well, was packaged well and delivered as promised. it was a birthday gift for my sons laptop', ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
10,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. works perfectly in my gopro hero3. can't ask for more for the price. no issues with the card to date. this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", ""works perfectly in my gopro hero3. can't ask for more for the price. no issues with the card to date."", 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
