cluster_id,summary,used_reviews
-1,"works as specified, received in good condition from amazon, using since a few months, in a smartphone, it doesn't get better than this if you're using sandisk in terms of speed and space. you can expect speeds upto 28 mb sec for write, about 30mb sec for read, with the provided adapter, speeds ar always better for both read write, using smartphone to read write, speeds would be lesser mostly, but average should be 20mb sec anyways as per what i've seen and i'm a heavy user, like if there is a 256gb microsdxc available, i would actually buy it, tried the extreme version with 80mb sec, costs 2 times of this one, but works similar to this, so dont waste money on name that doesnt deliver, buy this if you're buying to sandisk this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently. i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write.","[""works as specified, received in good condition from amazon, using since a few months, in a smartphone, it doesn't get better than this if you're using sandisk in terms of speed and space. you can expect speeds upto 28 mb sec for write, about 30mb sec for read, with the provided adapter, speeds ar always better for both read write, using smartphone to read write, speeds would be lesser mostly, but average should be 20mb sec anyways as per what i've seen and i'm a heavy user, like if there is a 256gb microsdxc available, i would actually buy it, tried the extreme version with 80mb sec, costs 2 times of this one, but works similar to this, so dont waste money on name that doesnt deliver, buy this if you're buying to sandisk"", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", ""i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write.""]"
0,"purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par. i have both the samsung skyrocket and note 2 android phones and this card works great. mine came formatted for exfat. android will need it formatted in fat 32. to do this use the format function built into the phone. after the format it works great! i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.","['purchased it for use on my samsung tab 2 as well as my note 3.the msd card came with 3 possible formatting ntfs fat exfat. the default is exfat, and there seemed to be some comments saying that certain devices might not be able to read exfat.being the smart alec i am, i decided to format it to ntfs, assuming that my android devices will work with it. tab2 was not able to read ntfs, and i had to reformat it back to fat in order to get it work.subsequently, i tried using those usb sd card reader those that looks like a tiny usb drive and realised that apparently the sd card formatting is too new, and it simply will not register as 64gb, but can only read up to 32gb.have not tried on note 3 yet, but should work seeing that the technology is pretty on par.', 'i have both the samsung skyrocket and note 2 android phones and this card works great. mine came formatted for exfat. android will need it formatted in fat 32. to do this use the format function built into the phone. after the format it works great!', ""i used this on my android tablet pantech element and my galaxy s3 phone . the s3 took it without an issue but the pantech required me to format it as fat32.... it wouldn't read it any other way.... you can search the internet for fat32 formatter which will format the card as fat32 using an external card reader within seconds.after doing that, i've been using it for a few weeks now with no problems. very nice. now... just waiting for the 128gb model.""]"
1,"not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase. love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.","['not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase.', 'love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.']"
2,i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics. got this for my son gopro and it works perfect he is able to record and take still video and pictures and the quality on playback is very good. a would recommend and buy this product again. purchased this for my gopro hd hero 3 silver. it works extremely quick. no problems with recording videos or taking pictures on. i would buy it again.,"[""i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics."", 'got this for my son gopro and it works perfect he is able to record and take still video and pictures and the quality on playback is very good. a would recommend and buy this product again.', 'purchased this for my gopro hd hero 3 silver. it works extremely quick. no problems with recording videos or taking pictures on. i would buy it again.']"
3,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card. has worked flawlessly with my gopro hero 3 black since i placed it in the camera. purchased 2 top have on hand. others have their hero 3 cameras 34 freeze 34 , 34 shut down 34 , or write files that are not usable. i recommend this card to anyone needing a class 10 card that can handle the workload.half second timelapse, 2.7k hd video, 720p 120p video, not a problem for this card.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", 'used in gopro as other user reviews indicated the 32 and 64 gb cards did not work well. just buy more of them, i recorded over 1000 photos and 60 minutes of video on each 16gb card.', 'has worked flawlessly with my gopro hero 3 black since i placed it in the camera. purchased 2 top have on hand. others have their hero 3 cameras 34 freeze 34 , 34 shut down 34 , or write files that are not usable. i recommend this card to anyone needing a class 10 card that can handle the workload.half second timelapse, 2.7k hd video, 720p 120p video, not a problem for this card.']"
4,"the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did. i bought three of these and all three worked upon initial installation with no formatting. using my notebook computer's built in sd card reader, i saw transfer speeds between 6 mb writing and 14 mb reading. this was doing a simple copy past of all files on my old card that i had saved to my computer. these speeds are much slower than the stated maximum by the card manufacturer, but would be expected with over 12,000 small files like my example. the read write times were close to 50 faster than those of my old 8 gb class 10 sandisk micro sd card, so there is definitely a performance gain with this updated card.all things considered, 16 gb of storage on a class 10 card from the leading manufacturer, and at 15 is a steal. i highly recommend this card. not much to say about this. works well with a samsung galaxy s2. haven't tested the read write speeds, but it seems about right for a class 10 card.","[""the advertisement calls this card a class 10 card however i was not able to get class 10 speeds with this card. sd cards seem to be much faster at read write then microsd cards. i get about 10mb s write speed when copying a file to my sd card through my phone usb cable. i get the same transfer rate when in an adapter. these small memory cards seem to be very limited on their write speed. also, this card did heat up some when transferring to it for a long period of time continuously but not too bad...just warm. the read speeds seem to cap out at about 18mb s but i did see 25mb s on small files. one thing to note, and this may be by design for this particular card but, this card is super fast when transferring small files but slow at big files so you'll see slower write speeds the longer you write to it with larger files whereas smaller files zip along one at a time at that 10mb s. i was getting 8.6mb s when writing a 4.6gb movie file to this card. all in all, this is an excellent card and beyond worth the money for what you get. i love it for my evo 4g lte and my previous phone the evo 4g. the only reason i gave it 4 stars is because it did not perform as advertised at 30mb s. however, if you are thinking of getting this memory card for an android phone and don't want to pay big bucks, this is your card. stop reading and buy it, i'm glad i did."", ""i bought three of these and all three worked upon initial installation with no formatting. using my notebook computer's built in sd card reader, i saw transfer speeds between 6 mb writing and 14 mb reading. this was doing a simple copy past of all files on my old card that i had saved to my computer. these speeds are much slower than the stated maximum by the card manufacturer, but would be expected with over 12,000 small files like my example. the read write times were close to 50 faster than those of my old 8 gb class 10 sandisk micro sd card, so there is definitely a performance gain with this updated card.all things considered, 16 gb of storage on a class 10 card from the leading manufacturer, and at 15 is a steal. i highly recommend this card."", ""not much to say about this. works well with a samsung galaxy s2. haven't tested the read write speeds, but it seems about right for a class 10 card.""]"
5,"the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now. update i raised my star rating on this from 1 to 4 because of the customer service. i was able to get a replacement pretty easily. hopefully it will last longer!original review this item worked well while it lasted. i bought it in october 2012 for my tablet pc and then for an android smartphone. i did not make many transfers to the card, it was mostly reading files from it. now it is march 2013 and suddenly the card is no longer recognized in my android phone. it is no longer recognized on my other devices as well. i lost many photos and videos on the card because of it. i'm sure sandisk will exchange it for a new one, but this shouldn't be happening with a card that is less than a year old. i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product.","[""the first few weeks after i bought this, i had some problems like my phone can't detect the micro sd card . i tried formatting or repairing the card, but no success. so i returned this to sandisk and they willingly replaced this in a week. no more questions asked. and since then, i'm still using the 2nd card that i received. no problems until now."", ""update i raised my star rating on this from 1 to 4 because of the customer service. i was able to get a replacement pretty easily. hopefully it will last longer!original review this item worked well while it lasted. i bought it in october 2012 for my tablet pc and then for an android smartphone. i did not make many transfers to the card, it was mostly reading files from it. now it is march 2013 and suddenly the card is no longer recognized in my android phone. it is no longer recognized on my other devices as well. i lost many photos and videos on the card because of it. i'm sure sandisk will exchange it for a new one, but this shouldn't be happening with a card that is less than a year old."", ""i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product.""]"
6,"this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money. i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays. great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!","['this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.', 'i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.', 'great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!']"
7,sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone. sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk never disappoints. as always sandisk products are worth every penny. nice product and quality and works great. i recommend this product to everyone.', 'sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,i knew buying sandisk i would get a great sd card and its super fast. i really like it in my phone.if you need a micro sd card this one will perform great and not let you down. sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this,"['i knew buying sandisk i would get a great sd card and its super fast. i really like it in my phone.if you need a micro sd card this one will perform great and not let you down.', 'sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.', 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
