cluster_id,summary,used_reviews
0,"i use this for my phone and it works just as it should and it was totally worth the money! great place to store pictures and music for phones instead of using the phone memory so it will still run fast. excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended.. currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far.","['i use this for my phone and it works just as it should and it was totally worth the money! great place to store pictures and music for phones instead of using the phone memory so it will still run fast.', 'excellent product, very fast and lots of space.. i am using at samsung galaxy s3, there are no issues, ..recommended..', ""currently using it for my samsung galaxy s3. it's very fast when transferring files in and out. no complaints so far.""]"
1,"this is a great microsd card. it is fast and the 16 gb gives me lots of capacity on my smartphone. this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money. i purchased the sandisk ultra 32gb microsdhc for some extra storage room for my samsung galaxy note 10.1 tablet. i was considering the 64 gb, but went with this card because i have the 64gb version on my galaxy note 2 phone and i have never come close to needing all that space. granted, i don't store any music on my phone but i do take a lot of photos videos and store as many apps on the microsdhc card rather than use the phone's internal memory.for the cost savings of going with the smaller 32gb card, it was a no brainer.the card has worked flawlessly since i installed it on my tablet and have had no problems with it whatsoever. plus sandisk is a big name in storage so again, it's a no brainer buy it!","['this is a great microsd card. it is fast and the 16 gb gives me lots of capacity on my smartphone.', 'this has got to be by far the best microsd card on the market. it is very fast, was easy to set it up. i am using it in a samsung galaxy s3 and it works flawlessly. well worth the money.', ""i purchased the sandisk ultra 32gb microsdhc for some extra storage room for my samsung galaxy note 10.1 tablet. i was considering the 64 gb, but went with this card because i have the 64gb version on my galaxy note 2 phone and i have never come close to needing all that space. granted, i don't store any music on my phone but i do take a lot of photos videos and store as many apps on the microsdhc card rather than use the phone's internal memory.for the cost savings of going with the smaller 32gb card, it was a no brainer.the card has worked flawlessly since i installed it on my tablet and have had no problems with it whatsoever. plus sandisk is a big name in storage so again, it's a no brainer buy it!""]"
2,"i purchased this to use in a samsung galaxy s3 phone. it worked fine for about a month, then the phone stopped recognizing it. i was able to copy my photos before the computer stopped recognizing it as well. sandisk replaced it under warranty and so far the new one has been fine. i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended. works great with my samsung galaxy note 2. just stuck it in and it worked. no formatting needed. very fast which and no loss of camera speed","['i purchased this to use in a samsung galaxy s3 phone. it worked fine for about a month, then the phone stopped recognizing it. i was able to copy my photos before the computer stopped recognizing it as well. sandisk replaced it under warranty and so far the new one has been fine.', ""i bought this and put it my mobile phone samsung galaxy s3. i don't have a lot more to say. i put it in, formatted it, and it has been working very ewell for some months now. seems to be very fast. no issues. recommended."", 'works great with my samsung galaxy note 2. just stuck it in and it worked. no formatting needed. very fast which and no loss of camera speed']"
3,"it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap. i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics. nice product at a reasonable price. i use mine in a gopro camera and it works great. i would recommend this memory for high speed action video as it works great.","['it is very good, thanks sandisk,you must have it with gopro cam to get the benefit of cam, yap.', ""i couldn't ask for anything better. i use it in my gopro hero 3. records a lot of video and holds a lot of pics."", 'nice product at a reasonable price. i use mine in a gopro camera and it works great. i would recommend this memory for high speed action video as it works great.']"
4,"i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible. i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more.... what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.","[""i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible."", ""i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more...."", ""what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.""]"
5,"working good. so far, so good. no complaints, does what it is supposed to do. good no problems works well.","['working good.', 'so far, so good. no complaints, does what it is supposed to do.', 'good no problems works well.']"
6,i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays. great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!! great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this,"['i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.', 'great micro sd card! very helpful to store my media files and has no problem for my samsung galaxy note2!!', 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this']"
7,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
8,"i've had this card for some time now and i've only had one problem with it and i believe that problem to be with my phone. the card's formatting became corrupted and while i could still copy to and from using my computer, my phone didn't recognize the card. copying the data off, formatting the card, and copying the data back onto it fixed the issue. it's really nice to have 64gb's of extra data storage on my phone. i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied. i had purchased this card for my wife's phone. she is in love with it as this helped her store all her ebooks, songs, few of her all time 34 to go to 34 movies and her office docs etc. on that new card. the card came, i formated it and installed it. rebooted the phone and it works... phone was able to see new extpned storage and worked right away. its an awesome card fast read and write. highly recommanded for anyone looking to expend their degital storage.chers!","[""i've had this card for some time now and i've only had one problem with it and i believe that problem to be with my phone. the card's formatting became corrupted and while i could still copy to and from using my computer, my phone didn't recognize the card. copying the data off, formatting the card, and copying the data back onto it fixed the issue. it's really nice to have 64gb's of extra data storage on my phone."", ""i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied."", ""i had purchased this card for my wife's phone. she is in love with it as this helped her store all her ebooks, songs, few of her all time 34 to go to 34 movies and her office docs etc. on that new card. the card came, i formated it and installed it. rebooted the phone and it works... phone was able to see new extpned storage and worked right away. its an awesome card fast read and write. highly recommanded for anyone looking to expend their degital storage.chers!""]"
9,"i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone. this was a good investment for my galaxy note 2, i had to use the perseus kernel to swap the internal memory with this little guy, so right now, my phone reports internal memory of 59gb, so that's great. it's good saving pictures, full hd videos, games, etc. this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.","['i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone.', ""this was a good investment for my galaxy note 2, i had to use the perseus kernel to swap the internal memory with this little guy, so right now, my phone reports internal memory of 59gb, so that's great. it's good saving pictures, full hd videos, games, etc."", 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.']"
