cluster_id,summary,used_reviews
-1,"love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder. great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.","['love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', 'great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this', 'read the reviews and settled on this card to use in my cell phone. so far so good. no problems whatsoever. have tons of space to store all my mp3s, photos and videos. great read access speed due to being hc 1 class. excellent price as i got this shortly after black friday sale.']"
0,"i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible. this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently. i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more....","[""i purchased sandisk because i thought it was the most reliable name brand out there. i have a galaxy s3 and purchased this 32gb card to handle all my photo's and movies. i'd say over the last 4 months i haven't been using the storage for more than just photo's and the occasional movie. the device just failed on me yesterday, losing all my photo's and files. thank goodness for dropbox auto photo upload otherwise i would of permanently lost my photos.i actually went back to the amazon branded microsd card 16gb which is about as fast and so far, way more reliable than sandisk. i can't beleive a sandisk card failed, i'm probably going to rma the unit and hope they send me a better unit. you can guarantee that i'm going to burn in the card to make sure there's no errors.i gave it one star because you think you pay a premium for a premium product. you expect it to be as near flawless as possible."", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", ""i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more....""]"
1,"i got this item for my dash cam which is in my convertible. the dash cam is recording at all times when i am driving my car so i needed a lot of memory. this card does the job for me and this brand name is fantastic, no problems, and works as it ought to! i bought this memory card for my dashcam and it works perfectly. i have no problems with it's write speed or resolution of video. you can trust sandisk for a quality product as i have many in use and have had no failures yet. bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.","['i got this item for my dash cam which is in my convertible. the dash cam is recording at all times when i am driving my car so i needed a lot of memory. this card does the job for me and this brand name is fantastic, no problems, and works as it ought to!', ""i bought this memory card for my dashcam and it works perfectly. i have no problems with it's write speed or resolution of video. you can trust sandisk for a quality product as i have many in use and have had no failures yet."", 'bought this for use in my dash camera upgrade.working very well and faster than the 4 gb card that came with the camera. also will work in my other digital cameras.']"
2,"i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this item to use in my gopro hero 3 because it's what they sell on the gopro website, but can be had a lot cheaper on amazon. have yet to have problems with the card."", 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
3,"i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels. i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","[""i bought this for my ms surface tablet and this tripled my storage space. i copy all my media to this and have endless hours of entertainment when i'm on a plane ride or in hotels."", 'i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
4,"there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again. works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","[""there's not much to be said for this except that it works as advertised. i'm happy with the purchase and would buy again."", ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
5,"the memory sandisk ultra 64gb micro sdxc class 10 uhs it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more. this sandisk ultra 64 gb microsdxc class 10 micro sd card can storage an enormous among of data. and with the class 10 reliability and speed, it's a great buy. sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter","['the memory sandisk ultra 64gb micro sdxc class 10 uhs it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more.', ""this sandisk ultra 64 gb microsdxc class 10 micro sd card can storage an enormous among of data. and with the class 10 reliability and speed, it's a great buy."", 'sandisk ultra 32gb microsdhc class 10 uhs... item is as described. decent product for its price and quality. it comes with the small sd card and a next size up adapter']"
6,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
7,"the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient. not much to say about the memory card. it's doing its job as expected. bought mainly because it can store a lot information. if you need a memory card, this one works as advertised... it is fast and reliable. i have never had a problem with this brand.","[""the memory card works well and i have no problem with it. it was one of the cheapest out there. came with adapter, so that's convenient."", ""not much to say about the memory card. it's doing its job as expected. bought mainly because it can store a lot information."", 'if you need a memory card, this one works as advertised... it is fast and reliable. i have never had a problem with this brand.']"
8,"bought for my phone and its worked perfectly for quite a while now. great size and great price. cant go wrong with this. bought this for my phone and it works without any flaws. so far so good. i use this with my mobil phone and the product run smoothly. no issue as of yet. overall, i'm happy with this product.","['bought for my phone and its worked perfectly for quite a while now. great size and great price. cant go wrong with this.', 'bought this for my phone and it works without any flaws.', ""so far so good. i use this with my mobil phone and the product run smoothly. no issue as of yet. overall, i'm happy with this product.""]"
