cluster_id,summary,used_reviews
0,"this card is fast! and cheap! i used it on my canon s100 camera to shoot raw format pictures and 1080 video and it worked flawlessly. i'm currently using it on my old mytouch phone for storage.great product, great price. the card seems fast and it's a huge amount of storage for the price. it has worked flawlessly for a few months in a range of smartphones and cameras. it's very fast micro sd card i use it for my mobile and gopro camera , sandisk is the best ever","[""this card is fast! and cheap! i used it on my canon s100 camera to shoot raw format pictures and 1080 video and it worked flawlessly. i'm currently using it on my old mytouch phone for storage.great product, great price."", ""the card seems fast and it's a huge amount of storage for the price. it has worked flawlessly for a few months in a range of smartphones and cameras."", ""it's very fast micro sd card i use it for my mobile and gopro camera , sandisk is the best ever""]"
1,"not much to say here other than it works fine. i use it in the sd ram slot in my samsung galaxy note 10.1 tablet. no performance issues and will provide more than enough extra storage for a tablet. i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick. added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!","['not much to say here other than it works fine. i use it in the sd ram slot in my samsung galaxy note 10.1 tablet. no performance issues and will provide more than enough extra storage for a tablet.', 'i bought this for media storage on my surface 2 and absolutely love it. it allows me to store my videos, pictures, and music on a removable drive and keep my tablets memory free for apps. i would recommend this to anyone with a tablet looking to expand their storage capabilities. shipping and packaging were perfect and quick.', 'added this to my microsoft surface rt tablet and it works perfectly and is extremely fast. perfect for storing videos!']"
2,"it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets... works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.","['it is a very good product, we like the brand and we keeping buying it for our camares, phones, tablets...', ""works perfect. no complaints. it's fast. that's why i bought it. it does what it says it's going to do"", ""works great. got it quickly, it was well packed, plugged it in an it's been working fine since. only been a month so can speak to long term reliability. will buy another one soon.""]"
3,"i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product. i am only giving this product 3 stars becuse i purchased this one as a replacement for a sandisk micro sd card that kept having problems with. i finally got tired of losing my data and ponied up the 20 odd dollars to just replace the darn thing. what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.","[""i bought the sandisk ultra 32gb card for use in my samsung smart phone. worked great for about 3 months. now the phone won't recognize the card neither will my computer. just went unreadable one day. very disappointed in the reliability of this card. will contact sandisk as it has a lifetime warranty. shall see if they'll stand behind their product."", 'i am only giving this product 3 stars becuse i purchased this one as a replacement for a sandisk micro sd card that kept having problems with. i finally got tired of losing my data and ponied up the 20 odd dollars to just replace the darn thing.', ""what can i say? this card just works. i'm honestly not a fan of sandisk since their 64gb ultra microsd died on me soon after my baby was born. i lost several weeks of photos, and i was quite angry.to be fair, they did send a new one after i sent them a photo of the old one snapped in half.""]"
4,"i bought this for my gopro and it does great. the only problem i experience with it is, if you download your pictures and videos from the day, you should re format the card before trying to use it again. it seems to get confused where you left off when you re install it. i lost out on getting some pictures and video because of not doing this on the second day of my scuba vacation. when i would start the gopro in video mode, it would record about 6 15 seconds then stop automatically. haven't have anymore problems since re formatting after each night's downloading. the videos, set on 1080 looks great. good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.","[""i bought this for my gopro and it does great. the only problem i experience with it is, if you download your pictures and videos from the day, you should re format the card before trying to use it again. it seems to get confused where you left off when you re install it. i lost out on getting some pictures and video because of not doing this on the second day of my scuba vacation. when i would start the gopro in video mode, it would record about 6 15 seconds then stop automatically. haven't have anymore problems since re formatting after each night's downloading. the videos, set on 1080 looks great."", 'good quality memory card. have used it with the gopro hero 3 and works flawlessly. wished all electronics were this simple', 'this memory card works great with my new gopro hero 3 black. the footage looks incredible, and the filming time allows me to get a solid 45 minutes of action in.']"
5,"this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently. i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more.... i purchased the sandisk ultra 32gb microsdhc for some extra storage room for my samsung galaxy note 10.1 tablet. i was considering the 64 gb, but went with this card because i have the 64gb version on my galaxy note 2 phone and i have never come close to needing all that space. granted, i don't store any music on my phone but i do take a lot of photos videos and store as many apps on the microsdhc card rather than use the phone's internal memory.for the cost savings of going with the smaller 32gb card, it was a no brainer.the card has worked flawlessly since i installed it on my tablet and have had no problems with it whatsoever. plus sandisk is a big name in storage so again, it's a no brainer buy it!","[""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", ""i've wasted time and money trying other company's sd and microsd cards, some work all right, and some died on me, it's not the price that you pay but rather the value that you get. let me tell ya, sandisk makes the best memory cards, period..... i bought one of this card for my samsung galaxy note 2 phone, mostly for movies and music. i usually use anydvd handbrake programs to convert movies large mp4 also playable on my samsung tablet and simply copy and paste movies and musics on this little card. both my phone and tablet read this card without any problem and i cannot imagine my phone without it. now i've bought 2 more...."", ""i purchased the sandisk ultra 32gb microsdhc for some extra storage room for my samsung galaxy note 10.1 tablet. i was considering the 64 gb, but went with this card because i have the 64gb version on my galaxy note 2 phone and i have never come close to needing all that space. granted, i don't store any music on my phone but i do take a lot of photos videos and store as many apps on the microsdhc card rather than use the phone's internal memory.for the cost savings of going with the smaller 32gb card, it was a no brainer.the card has worked flawlessly since i installed it on my tablet and have had no problems with it whatsoever. plus sandisk is a big name in storage so again, it's a no brainer buy it!""]"
6,"i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone. this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc. great buy for this sandisk 16 gb memory. worked well in my samsung s4 smartphone. i mainly use the extra memory to save photos and music. like the adapter that i use frequently to copies files to my desk top pc.","['i use this in my samsung galaxy s5 to store my photos, videos, and other data. stores and retrieves quickly and greatly expands the capacity of my phone.', 'this was an inexpensive way to get my galaxy note ii from 16gb to 32gb of memory. its plenty fast and can hold lots of photos, music, etc.', 'great buy for this sandisk 16 gb memory. worked well in my samsung s4 smartphone. i mainly use the extra memory to save photos and music. like the adapter that i use frequently to copies files to my desk top pc.']"
7,"works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter... there are a lot of other reviews on this memory card. my only addition is that it worked perfectly the moment i put it into my s4 no formatting issues, nothing ... it just worked. also nice that it comes with an sd adapter. i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since.","[""works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter..."", 'there are a lot of other reviews on this memory card. my only addition is that it worked perfectly the moment i put it into my s4 no formatting issues, nothing ... it just worked. also nice that it comes with an sd adapter.', ""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since.""]"
8,sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal. the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality. cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well,"['sandisk is far away the best memory card ever.i used to this brand because it never fails.the future of this kind is eternal.', 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well']"
9,"great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed! i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays. i like this 32 gb micro memory card, it has a lot of storage space for videos and photos. i use it in my spy camera mini clock radio.","[""great memory card! got this on one amazon's daily deals at a terrific price! getting ready to upgrade my cell phone and want to have a larger capacity memory card ready to go. this is just what i needed!"", 'i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.', 'i like this 32 gb micro memory card, it has a lot of storage space for videos and photos. i use it in my spy camera mini clock radio.']"
