cluster_id,summary_keywords
4,"issues product, tested adapter, adapter works, adapter advertised, issues great"
17,"memory smartphone, memory mobile, phone memory, memory card, fine memory"
18,"s3 card, card s3, s3 sd, s3 32gb, s3 memory"
6,"sandisk reliable, sandisk consistently, sandisk fast, sandisk good, sandisk rely"
14,"sandisk ultra, card sandisk, sandisk card, sd card, s4 card"
13,"recommend 32gb, sd card, storage card, 32gb card, fastest storage"
11,"usb sd, sandisk microsd, sandisk sd, sd storage, sandisk usb"
1,"card gopro, carduse gopro, cards gopro, gopro sandisk, sandisk gopro"
19,"pictures memory, storage photos, photos 16gb, phone memory, s4 storage"
15,"sd card, s2 64gb, sdcard, samsung microsd, samsung s2"
10,"storage small, gb storage, usable storage, storage space, 27gb storage"
16,"microsd cards, speeds microsd, microsd card, microsd fast, fastest microsd"
12,"sandisk s3, sandisk advise, reliable sandisk, sandisk warranty, failure sandisk"
2,"tablet 32gb, tablet 64gb, 64gb surface, 32gb microsd, surface pro"
5,"sandisk microsd, microsd card, sd card, reviews microsd, memory card"
0,"dslr card, card camera, videos card, camera card, cameras card"
3,"32gb sandisk, sandisk 64gb, sd card, sd cards, sandisk 8mb"
8,"tablet 32gb, 16gb tablet, tablet 40gb, tablet memory, memory tablet"
9,"writes card, write card, card sd, microsd card, sd card"
7,"tab3 memory, tablet 1gb, samsung tab3, tab memory, tablet memory"
