cluster_id,summary_keywords
11,"sd card, quality chip, memory card, card adapter, issues product"
6,"phone memory, phones memory, memory samsung, memory phone, s4 memory"
3,"card s3, note2 card, s3 sandisk, s3 card, card reliable"
12,"sd card, samsung class, samsung 10, card phone, media card"
8,"sandisk microsd, sandisk 32gb, microsd memory, sandisk 64gb, memory microsd"
7,"sandisk reliable, sandisk consistently, sandisk faster, sandisk recommended, sandisk good"
13,"sd card, sandisk affordable, sd cards, 32gb sandisk, sandisk 32gb"
5,"usb3 reader, sandisk microsd, works sandisk, sandisk sd, compatability microsd"
2,"card reliable, card slow, recommended card, slower card, tablet card"
1,"card gopro, microsdxc gopro, gopro 32gb, carduse gopro, gopro memory"
14,"storage card, storage phone, bigger storage, storage smartphone, storage cards"
4,"dslr card, card performance, quality card, 16gb card, 32gb camera"
9,"tablet 32gb, tablet 40gb, tab3 memory, tablet 64gb, tablet 1gb"
0,"performance usb, storage speed, performance sandisk, faster usb, write speeds"
10,"sandisk warranty, sandisk advise, warranty sandisk, sandisk s3, reliable sandisk"
