cluster_id,summary_keywords
13,"durability use, reliable storage, storage excellent, storage good, reliable use"
12,"s4 card, slower card, s3 card, s4 memory, card samsung"
11,"recommended sandisk, sandisk recommend, recomended sandisk, sandisk good, sandisk reliable"
5,"card gopro, cards gopro, microsdxc card, carduse gopro, microsd card"
17,"samsung sandisk, sandisk replacement, warranty sandisk, failure sandisk, complaint sandisk"
2,"memory card, storage card, sd card, sd cards, fast memorycard"
0,"video transfer, video recording, video camera, camera recording, record video"
6,"memory card, card memory, card issues, memory cards, card problems"
3,"s3 memory, s3 32gb, s4 memory, sd card, card sd"
1,"tablets 32gb, 32gb microsd, 32gb storage, storage tablet, recommended 32gb"
14,"tablet memory, storage smartphone, memory card, store memory, unlimited storage"
7,"class card, sd card, sd cards, card class, class cards"
10,"s3 memory, s16gb sandisk, sandisk quality, sandisk good, galaxy iiis"
16,"card benchmarks, samsung card, benchmark card, card reliable, reliable card"
15,"memory samsung, samsung note, fast storage, files galaxy, smartphone samsung"
4,"gopro hero3, gopro3 camera, hero3 sd, gopro hd, hero3 camera"
8,"storage tablet, tablet storage, tablet sd, tablet 64gb, tablet reliable"
19,"samsung gs4, samsung s4, s4 reads, galaxy s4, s4 problems"
9,"memory card, sd card, memory cards, card sd, sd cards"
18,"storage tablet, samsung tablet, tablet sd, tablet galaxy, galaxy tab2"
