cluster_id,summary_keywords
1,"reliable memory, device complaints, memory mobile, memory smartphone, issues card"
7,"memory smartphone, storage smartphone, tablet memory, smartphone storage, phone memory"
12,"san disk, san disc, quality disk, disks great, disk doing"
2,"recommend 32gb, 32gb reviews, 32gb overkill, note 32gb, card 32gb"
11,"sd card, microsd card, card microsd, sd cards, card sd"
13,"storage sandisk, sandisk microsd, sandisk microsds, sd sandisk, sandisk 128gb"
3,"sandisk reliable, sandisk consistently, reliable sandisk, sandisk disappoints, sandisk rely"
0,"memory card, fast microsd, memory cards, memory smartphone, phone memory"
14,"usb3 reader, microsd reader, speeds microsd, usb microsd, usb3 card"
5,"card gopro, cards gopro, carduse gopro, memory gopro, gopro hero3"
6,"card quality, memory card, card speeds, sd cards, card reliable"
10,"microsd samsung, samsung s3, card samsung, speedy samsung, s3 samsung"
8,"sandisk microsd, sandisk sd, microsdxc sandisk, sandisk micro, sandisk advise"
4,"gps camera, video camera, recording camera, lumix camera, camera recording"
9,"sandisk microsd, sd card, exfat device, card corrupted, microsd card"
