cluster_id,summary_keywords
7,"issues product, product breaks, adapter bad, adapter reliable, properly adapter"
0,"sd card, sd cards, memory card, packaging htc, card decent"
20,"speeds microsd, faster microsd, sandisk fast, sandisk transfer, s16gb sandisk"
16,"sandisk reliable, sandisk recommend, recommend sandisk, sandisk good, reliable sandisk"
8,"card issues, reliable card, faulty card, card complaints, card problems"
10,"card gopro, microsdxc gopro, gopro memory, cards gopro, microsd gopro"
13,"sd cards, cards 8gb, sd card, card storage, card 2gb"
12,"blackberry q10, blackberry z10, memory phone, blackberry 10, s4 memory"
2,"tablet performance, memory tablet, samsung tablet, tablet samsung, galaxy tablet"
3,"samsung tab3, gb tablet, memory tablet, tab sandisk, storage tablet"
18,"sandisk s3, returned sandisk, reliable sandisk, sandisk warranty, failure sandisk"
4,"memory card, card memory, memory cards, quality memory, expensive memory"
11,"storage smartphone, phone storage, s4 storage, storage phone, storage android"
5,"tablet 64gb, 64gb surface, 32gb microsd, surface pro, surface 64g"
6,"memory cam, camera sandisk, card camera, camera memory, camera sd"
14,"s3 32gb, 32gb galaxy4s, 16gb samsung, phone 32gb, 32gb microsd"
19,"sdxc cards, card sdu32g10, microsdxc cards, sdr104 speeds, sd card"
15,"sandisk microsd, microsd card, microsd sd, memory microsd, sd microsd"
17,"sandisk reliable, reliable sandisk, sandisk recommend, sandisk microsds, sandisk microsd"
1,"storage card, memory card, fastest storage, sd card, card memory"
9,"gopro hero3, gopro3 camera, gopro used, issues gopro, gopro issues"
