cluster_id,summary_keywords
7,"issues looks, quality disk, absolutely issues, disk doing, issues product"
9,"phone memory, sandisk 128gb, sandisk 32gb, 64gb sandisk, storage smartphone"
1,"card reliable, reliable card, note2 card, card samsung, 16gb card"
6,"speeds microsd, sandisk quality, microsd benchmarked, sandisk fast, sandisk good"
5,"sd card, sd cards, 32gb sandisk, sandisk 32gb, sdcard"
2,"memory smartphone, smartphone storage, memory htc, memory phone, sandisk ultra"
8,"sandisk microsd, sandisk sd, works sandisk, sandisk compatibility, sandisk works"
3,"sandisk reliable, reliable sandisk, sandisk reputable, recommend sandisk, reviews sandisk"
4,"card gopro, carduse gopro, gopro sandisk, sandisk gopro, cards gopro"
0,"tablet 32gb, tablet 64gb, 64gb tablet, tablet memory, tab3 memory"
