cluster_id,summary_keywords
0,"issues product, adapter reliable, absolutely issues, properly adapter, complaints great"
2,"sd card, microsd card, memory card, sd cards, 32gb card"
4,"128gb microsd, devices 64gb, microsd card, sd card, gb microsd"
7,"sandisk recommended, recommended sandisk, sandisk recommend, sandisk good, sandisk best"
3,"card gopro, gopro sandisk, sandisk gopro, camera card, carduse gopro"
1,"sandisk ultra, sandisk highly, performance sandisk, faster sandisk, sd cards"
14,"samsung sandisk, kingston sandisk, exfat s3, recommend sandisk, sandisk card"
13,"sandisk microsd, failed sandisk, sandisk failed, sandisk faulty, sandisk recovery"
9,"tablet 32gb, surface pro, surface pros, surface tablet, storage tablet"
5,"microsd card, memory microsd, sd card, microsd sd, tablet microsd"
11,"sandisk ultra, faster sandisk, sandisk 128gb, note 128gb, speed sandisk"
12,"s4 storage, s4 memory, samsung s4, memory phone, successfully samsung"
8,"tab3 memory, tablet 32gb, tablet 40gb, tablet sd, samsung tab3"
6,"card class, issues card, card complaints, quality card, card good"
10,"phone storage, device storage, storage phone, storage recommend, phone memory"
