cluster_id,summary_keywords
9,"phone memory, phones memory, memory phone, storage smartphone, phone storage"
10,"surface pro, use surface, paint looks, issues product, bought surface"
7,"sandisk storage, storage sandisk, tablet sandisk, sandisk use, sandisk sandisk"
5,"unreliable sandisk, sandisk apprehensive, reliable sandisk, sandisk advise, sandisk s3"
6,"sd card, sd cards, best microsd, faster microsd, cards sd"
4,"sandisk ultra, sandisk microsd, recommend sandisk, 4gb sandisk, sandisk usb"
1,"sd card, s2 64gb, phone 2gb, card samsung, memory card"
2,"gopro recorded, recording camera, lumix camera, record dslr, gopro hd"
8,"sandisk microsd, sandisk micro, microsd cards, microsd card, reliable microsd"
11,"galaxy tab2, samsung tablet, samsung tab3, samsung tab, galaxy tablet"
3,"card gopro, gopro 32gb, gopro memory, carduse gopro, issues gopro"
0,"exfat32 works, exfat s3, exfat android, fat32 card, reformat exfat32"
