cluster_id,summary_keywords
5,"reviews problems, complaints great, complaints, issues good, thing complaints"
0,"memory mobile, memory htc, memory phone, memory tablet, phone memory"
11,"surface pro, adapter reliable, quality chip, surface tablet, surface rt"
17,"card reliable, note2 card, memory card, reliable memory, s3 card"
8,"sdcard phone, samsung sd, sd card, microsd card, samsung card"
7,"performance sandisk, sandisk storage, sandisk quality, storage sandisk, sandisk faster"
18,"huge microsd, sandisk 64gb, 64gb microsd, 64gb sandisk, 16gb microsd"
14,"slower write, performance usb, speeds microsd, slower usb, writes slower"
6,"sd card, recommend 32gb, cards 32gb, sd cards, microsd card"
15,"recommending sandisk, sandisk reliable, sandisk recommend, recommend sandisk, sandisk good"
1,"microsd card, microsd gopro, microsd cards, microsds card, cards microsd"
3,"sd adapter, sd adaptor, sd adapters, works nl1520, nl1520 video"
13,"san disk, san disc, quality disk, disk, disk rare"
9,"memory tablet, memory samsung, storage tablet, tablet memory, tablet storage"
4,"sandisk microsd, sandisk sd, sandisk micro, sandisk advise, sandisk 726"
19,"camera sd, recording dslr, recording camera, sd video, video camera"
12,"memory card, sd card, camera card, card sd, card camera"
10,"storage recommend, powerful storage, storage speed, fast storage, decent storage"
2,"memory samsung, sandisk quality, s4 memory, memory smartphone, tablet memory"
16,"card gopro, gopro memory, carduse gopro, gopro issues, issues gopro"
