cluster_id,summary_keywords
396,"issues issues, issues good, problems issues, issues, issues till"
320,"phone memory, smartphone, memory download, smartphone works, memory"
506,"card reliable, note2 card, bran 64gb, 32gb scandisk, 64gb card"
257,"microsd card, sd card, packaging card, 16gb card, microsdhc card"
226,"galaxy iiis, fast sandisk, card microsd, microsd card, sd card"
230,"sd card, sandisk 128, 128gb card, 64gb cards, 64gb card"
509,"s4 card, card samsung, card writes, fast card, s4 fast"
92,"usb3 reader, mb write, card reader, sdcard adapter, sd adapter"
498,"sandisk reliable, sandisk memory, sandisk good, sandisk best, sd reliable"
173,"camcorder unlimited, camcorder, mini camcorder, w200 camcorder, memory card"
141,"faster microsd, microsd card, sd card, microsd cards, card samsung"
489,"sandisk disappoints, sandisk good, recommended sandisk, disappoints sandisk, sandisk"
444,"san disk, san disc, disk brand, disk good, buy san"
73,"microsd card, 64gb microsd, sd card, 64gb sandisk, microsd hd"
479,"s2 formatted, stuck s2, format phone, card format, s2"
430,"samsung tablet, tablet samsung, android tablet, smartphone tablets, phone tablet"
36,"transfer speed, speed 18mb, speed read, data transfer, usb3 reader"
76,"64gb small, imagine 64gb, 64gb size, 64 gb, storage"
254,"microsd cards, 32gb micro, 16gb cards, micro sd, 256gb microsdxc"
316,"sandisk failed, buying sandisk, replacement sandisk, sandisk 32gb, bought sandisk"
170,"memory card, memory cards, card memory, price memory, card compare"
109,"gigs memory, memory space, 29 gb, memory note, space available"
435,"surface tablet, surface pro, data tablet, tablet issues, win8 tablet"
497,"sandisk media, sandisk consistently, storage sandisk, sandisk, buy sandisk"
77,"device smaller, camera phone, allow camera, 16 gb, camera"
415,"product breaks, works advertised, product works, device, doesn break"
118,"adapter microsd, microsd card, micro card, adapter card, memory card"
314,"contourroam2 works, card camera, use contourroam2, contourroam2, card use"
487,"sd card, sandisk 64gb, memory card, storage samsung, storage galaxy"
468,"performance sandisk, purchase sandisk, sandisk, sandisk product, sandisk demonstrate"
66,"gb microsd, sd card, sdcard, memory card, microsd cards"
505,"memory phone, memory galaxy, galaxy s4, samsung galaxy, install samsung"
410,"tablet 32gb, 64gb tablet, storage tablet, tablet memory, 32gb storage"
59,"memory card, memory cards, recommend sandisk, sd cards, best sandisk"
323,"extra storage, storage device, secondary storage, storage, external storage"
39,"16 gb, 32gig card, 16gig, 16gig 14, 14 8gig"
10,"memory phone, memory tablets, tablet device, phone tablet, tab memory"
496,"use sandisk, sandisk, sandisk electronic, perfectly sandisk, trust sandisk"
235,"microsd cards, sandisk microsd, sd card, card sd, 7mb card"
104,"storage phone, memory samsung, storage pictures, gb microsd, storage"
248,"storage smartphone, 16gb microsd, 32gb galaxy4s, photos 30gb, microsd suffice"
26,"reliable storage, good storage, storage reasonable, storage device, excellent storage"
404,"functioning normally, wife using, functioning, problems functioning, complaints far"
264,"samsung tab3, tab sandisk, samsung tab, 32gb card, sandisk memory"
471,"sandisk reliable, storage sandisk, fast sandisk, sandisk, flash storage"
224,"memory phone, memory card, phone recommend, memory, perfect phone"
258,"microsd card, microsd sd, sd card, micro sd, reliable sd"
391,"issues card, problems card, card problems, micro card, sd card"
229,"card benchmarks, benchmark card, card significantly, card faster, class card"
139,"card class, faster card, card great, faster class, best card"
203,"64gb microsd, microsd card, 128gb microsdxc, store 64gb, memory card"
250,"sandisk 32gb, sd card, sandisk memory, memory card, 32gb sd"
367,"memory card, 32gb card, store movies, card galaxy, memory"
120,"sd card, sd cards, buy sandisk, ordered sd, sandisk"
486,"phone memory, fast android, android, android hold, music phones"
325,"formatted exfat, formatted card, exfat, sd card, sandisk"
182,"4gb sandisk, sandisk ultra, recommend sandisk, tested sandisk, 17mbswith exfat"
159,"32gb microsdhc, adapter sandisk, gb microsdhc, sandisk ultra, sandisk sandisk"
427,"memory card, tablet great, data tablet, new tablet, sandisk"
447,"memory tablet, tablet sandisk, tab3 memory, memory samsung, galaxy tablet"
362,"gs3 sandisk, smartphone sandisk, sandisk best, fast sandisk, samsung smartphones"
520,"galaxy s4, samsung s5, galaxy s5, galaxy s3, samsung galaxy"
306,"card sandisk, contacted sandisk, amazon sandisk, memory card, sandisk advise"
34,"sandisk ultra, write speed, slow writing, sandisk, micro sd"
98,"card gopro, 10mb gopro, gopro hero, gopro bit, gopro works"
407,"gopro hero3, problems gopro, gopro silver, videos gopro, gopro hero"
327,"storage nook, space storage, storage, storage cheap, use storage"
363,"gopro hero3, gopro hero, chip gopro, gopro camera, hero3 camera"
265,"recording fast, camera, record video, smart phone, data phone"
279,"s4 storage, micro sd, microsd cards, standard microsd, sd card"
456,"sandisk reliable, quality sandisk, sandisk, love sandisk, need sandisk"
347,"gopro hero3, card gopro, gopro h3, gopro hero, hero3 recording"
17,"experiences sandisk, sandisk good, phone sandisk, sandisk, sandisk products"
91,"sd card, store camera, microsdhc use, microsdhc, data card"
41,"storage phone, surface pro, phone tablet, storage surface, tablet extra"
53,"shipped fast, pictures fast, product packed, camera arrived, fast portable"
286,"sandisk sd, genuine sandisk, microsd card, wrong microsd, old sandisk"
393,"quality price, best price, reasonable price, price reasonable, price excellent"
183,"sd card, card sdsdq, sd cards, card s3, card freeze"
328,"microsd card, problematic card, format card, sd card, failed card"
116,"sandisk quality, sandisk, usual sandisk, data tardis, samsung tablet"
51,"lumix camera, camera, lumix, camera works, taking pictures"
510,"capacity delivers, samsung s4, great samsung, product capacity, galaxy s4"
155,"sandisk microsds, reliable sandisk, legitimate sandisk, microsd card, microsd cards"
127,"storage card, card ntfs, memory card, card videos, ntfs"
276,"sandisk, busted tablet, samsung tablet, sandisk looking, got sandisk"
101,"gb microsdhc, 32gb cards, phones 32gb, microsdhc disks, microsdhc"
144,"storage dslr, gig microsd, sd card, sdhc highly, microsd card"
461,"handy 64gb, card sandisk, sandisk just, 64gb card, microsd card"
271,"sandisk gopro, gopro use, gopro cam, gopro camera, gopro great"
397,"say works, works say, works great, works pretty, yes works"
44,"sandisk card, card sandisk, sd card, memory card, sandisk"
281,"faulty card, problem sandisk, sandisk, card failed, microsd problem"
123,"sandisk app, sandisk, sd works, usb slow, files usb"
421,"surface pro, microsoft surface, surface rt, tablet transfers, dish quality"
199,"microsd card, sd card, regular microsd, microsd, recommend ultra"
270,"microsd card, card microsd, place microsd, add microsd, microsd cards"
290,"memory card, sd card, fastest storage, fast memory, phones memory"
22,"memory smartphone, memory phone, memory card, internal memory, increase memory"
308,"pictures phones, pictures phone, phones pictures, s3 phones, galaxy s3"
125,"fast microsd, microsd speed, microsd storage, storage sandisk, sandisk memory"
50,"12mb sandisk, speed sandisk, card sandisk, sd card, sandisk ultra"
394,"sd card, 32gb sd, 64gb card, 32gb price, microsds reach"
315,"gig chip, memory phone, great chip, affordable price, chip"
220,"recording cards, sandisk recording, card gopro, memory card, action cam"
490,"microsd samsung, 32gb microsd, storage samsung, memory samsung, memory phone"
378,"note 32gb, 64gb note, sandisk ultra, 64gb microsd, 32gb galaxy"
102,"sdhc cards, cards sandisk, microsdhc memory, sdhc microsdhc, best sdhc"
467,"storage card, adapter storage, sd card, storage apps, store music"
117,"sandisk reliable, sandisk rely, sandisk great, recommend sandisk, tablet sandisk"
518,"performance issues, s4 issues, longer transfer, fast transfer, performance"
28,"memory card, sd card, memory smartphone, upgrade memory, sandisk"
219,"smartphone card, card samsung, s3 recognized, card fat32, recognized card"
108,"sd cards, memory cards, sd card, data card, sandisk products"
429,"galaxy tablet, samsung tablet, tablet adapter, tf300t tablet, surface tablet"
74,"speeds 10mb, write speed, card speeds, 10mb good, slow write"
484,"galaxy note, using galaxy, use galaxy, galaxy currently, note iii"
192,"slower card, card microsdhc, microsdhc card, card faster, card camera"
336,"affordable memory, memory buying, memory machine, memory cheap, memory recomend"
454,"tablet storage, memory tablet, tablet great, app storage, storage videos"
401,"quality chip, fake chips, chip works, great chip, chip"
71,"transfer speed, slow transferring, slower samsung, files faster, faster card"
179,"sd card, sd cards, microsd cards, fast sd, micro sd"
110,"issues chip, chip phone, new smartphone, new samsung, samsung"
259,"adapter defective, sandisk, adapter return, sdhd card, micro sdhd"
184,"sandisk 128gb, sd card, 64gb sandisk, microsd card, card storage"
432,"sd cards, videos card, movies card, storage use, card problem"
187,"sd card, camera sandisk, card dashcam, sandisk quality, sd cards"
68,"microsd card, sandisk microsdhc, micro sd, sandisk 32gb, sandisk"
283,"sd card, memory card, sdcard, pictures card, camera card"
210,"sd card, 1080p recording, sandisk good, captures 1080p, sandisk memory"
437,"max 32gb, camera 64gb, 64gb memory, memory card, gb memory"
445,"surface storage, surface tablet, surface pro, 64gb surface, surface pros"
446,"videos tablet, galaxy tab, tablet, pictures tablet, new samsung"
168,"s3 rom, galaxy s3, galaxy iii, sd card, format card"
208,"formatted card, format card, data erased, card format, erases data"
478,"s3 memory, s3 working, s3load music, sd card, storage music"
13,"sony rx100, micro adapter, camera sandisk, micro card, rx100 using"
128,"2gb cf, cf card, card quality, space card, plug playloads"
188,"format card, sandisk issue, card write, format burned, sandisk micro"
359,"dell venue, venue pro, great dell, using dell, item dell"
236,"format card, card format, format cards, note cm10, note card"
215,"storing movies, storage asus, movies 1gb, massive storage, transferring videos"
