cluster_id,summary_keywords
7,"issues product, tested adapter, adapter works, adapter advertised, issues great"
18,"memory smartphone, memory mobile, phone memory, memory card, fine memory"
25,"s3 card, card s3, s3 sd, s3 32gb, s3 memory"
16,"sandisk ultra, card sandisk, sandisk card, sd card, s4 card"
15,"recommend 32gb, sd card, storage card, 32gb card, fastest storage"
14,"usb sd, sandisk microsd, sandisk sd, sd storage, sandisk usb"
21,"buying sandisk, sandisk quality, purchase sandisk, buy sandisk, brand sandisk"
3,"card gopro, carduse gopro, gopro hero3, memory card, microsd card"
22,"sandisk reliable, sandisk recommend, recommend sandisk, sandisk reasonably, sandisk good"
17,"sd card, s2 64gb, sdcard, samsung microsd, samsung s2"
11,"storage small, gb storage, usable storage, storage space, 27gb storage"
23,"microsd card, microsd fast, fastest microsd, faster microsd, 16gb cards"
5,"tablet 32gb, tablet 64gb, 64gb surface, 32gb microsd, surface pro"
20,"sandisk recovery, kingston sandisk, sandisk s3, card sandisk, dead sdcard"
8,"sandisk microsd, microsd card, sd card, reviews microsd, memory card"
2,"camera sd, card camera, sd card, 32gb camera, camera format"
6,"32gb sandisk, sandisk 64gb, sd card, sd cards, sandisk 8mb"
12,"storage tablet, memory tablet, tablet memory, 32gb storage, tablets memory"
27,"storage music, storage mp3, smartphone storage, storage android, storage phone"
10,"writes card, write card, card sd, microsd card, sd card"
26,"storage phone, phone storage, storage good, phone memory, nokia lumia"
9,"tab3 memory, tablet 1gb, samsung tab3, tab memory, tablet memory"
13,"16gb tablet, tablet sd, tablet 32gb, memory tablet, tablet 40gb"
4,"sandisk recording, card gopro, recording video, record video, recording cards"
19,"unreliable sandisk, issues sandisk, sandisk problems, samsung sandisk, sandisk works"
24,"sdxc card, microsdxc card, mbps sandisk, sandisk microsd, microsd card"
0,"sandisk best, data chip, chip samsung, memory chip, faster chip"
1,"card dashcam, sd card, memory card, dashcam records, cam cards"
