cluster_id,summary_keywords
11,"sd card, properly adapter, memory card, card adapter, tested adapter"
12,"phone memory, media smartphone, memory phone, galaxy devices, devices issues"
3,"s3 card, card s3, s3 sd, s3 sandisk, s3 32gb"
2,"sd card, reliable card, samsung card, card android, smartphone card"
15,"storage sandisk, sandisk microsd, sandisk sd, sandisk reliable, sandisk use"
7,"sandisk affordable, recommend sandisk, 32gb sandisk, sandisk 32gb, sandisk primarily"
5,"microsd card, sandisk microsd, 32gb microsd, ultra microsd, microsd cards"
6,"sandisk ultra, recommended sandisk, s4 memory, card sandisk, rely sandisk"
13,"sd card, card sd, sd cards, sdcard, card 30mb"
14,"usb3 reader, sandisk microsd, works sandisk, sandisk sd, compatability microsd"
19,"card gopro, sandisk gopro, cards gopro, gopro hero3, carduse gopro"
16,"phone memory, increase storage, jeopardize 2gb, 2gb memory, phone storage"
4,"camera sandisk, works nl1520, nl1520 video, camera sd, cam 32gb"
17,"san disk, memory san, storage disk, storage recommend, best disk"
18,"s2 64gb, samsung note2, memory samsung, storage samsung, samsung s2"
0,"speeds tablet, tablet speed, performance usb, samsung fast, device fast"
10,"sandisk warranty, sandisk advise, warranty sandisk, sandisk s3, reliable sandisk"
8,"memory card, memory smartphone, memory tablet, affordable memory, memory cards"
1,"memory card, card memory, camera memory, sd card, card camera"
9,"tablet 40gb, tablet 32gb, 16gb tablet, tablet 16gb, tablet storage"
