cluster_id,summary_keywords
1,"16gb sdcard, sd card, s3 16gb, card sd, note2 card"
20,"s4 card, slower card, s3 card, s4 memory, card samsung"
27,"reliable sandisk, sandisk reliable, sandisk good, sandisk best, sandisk great"
0,"faster microsd, sd card, sd cards, reliable microsd, camera sd"
12,"card gopro, cards gopro, microsdxc card, carduse gopro, microsd card"
28,"sandisk reliable, sandisk reputable, sandisk disappoints, sandisk best, recommended sandisk"
30,"samsung sandisk, sandisk replacement, warranty sandisk, failure sandisk, complaint sandisk"
10,"memory card, memory cards, storage card, sd card, storage cards"
24,"sandisk 32gb, sandisk advice, sandisk memory, sandisk recommended, sandisk samsung"
5,"video transfer, video recording, video camera, camera recording, record video"
33,"works advertised, advertised works, doesn break, service works, reliable priced"
13,"memory card, card memory, card issues, memory cards, card problems"
2,"camera memory, recording 1080p, card camera, camera card, footage card"
8,"32gb microsd, 16gb microsd, sd card, microsd samsung, 8gb microsd"
6,"tablets 32gb, 32gb microsd, 32gb storage, storage tablet, recommended 32gb"
22,"tablet memory, storage smartphone, memory card, store memory, unlimited storage"
21,"memory tablet, tablets memory, storage videos, smartphone storage, memory phone"
7,"s3 memory, card s3, storage smartphone, samsung s3, galaxy s3"
25,"storage great, storage good, decent storage, good storage, excellent storage"
15,"class card, sd card, sd cards, card class, class cards"
19,"micro sdcard, memory sandisk, sandisk micro, sandisk quality, s16gb sandisk"
29,"card benchmarks, samsung card, benchmark card, card reliable, reliable card"
26,"memory samsung, samsung note, fast storage, files galaxy, smartphone samsung"
4,"sandisk quality, camera sandisk, gopro sandisk, sandisk gopro, quality sandisk"
18,"galaxy iiis, microsd galaxy, 32gb microsd, galaxy s3, sandisk micro"
23,"samsung tablet, tablet good, android tablet, perfectly tablet, perfect samsung"
11,"gopro hero3, gopro3 camera, hero3 sd, gopro hd, hero3 camera"
3,"card gopro, cards gopro, camera card, microsdxc gopro, dslr gopro"
16,"storage tablet, tablet storage, tablet sd, tablet 64gb, tablet reliable"
34,"need review, adaptor words, adaptor, review install, requirement review"
32,"samsung gs4, samsung s4, s4 reads, galaxy s4, s4 problems"
17,"memory card, sd card, memory cards, card sd, sd cards"
9,"microsd card, fastest microsd, microsd faster, sd card, sd microsd"
14,"card fat32, exfat s3, card samsung, card recognized, format card"
31,"storage tablet, samsung tablet, tablet sd, tablet galaxy, galaxy tab2"
