cluster_id,summary_keywords
1,"san disk, disk quality, san disc, issues sd, noticeable issues"
2,"16gb phone, phone 16gb, phone 2gb, 16gb android, 16gb card"
12,"disks great, san disk, disk doing, disk absolutely, disk products"
19,"note2 card, samsung card, s3 note3, card samsung, s3 samsung"
13,"storage sandisk, sandisk microsd, sandisk microsds, sd sandisk, sandisk 128gb"
3,"sandisk reliable, reliable sandisk, sandisk fast, sandisk consistently, experiences sandisk"
17,"sd card, sd cards, 16gb sdcard, 32gb microsd, cards 32gb"
10,"microsd samsung, memory smartphone, s4 storage, using sandisk, sandisk micro"
14,"speeds microsd, slower usb, sandisk slow, speed sd, sdr104 speeds"
15,"fast microsd, fastest microsd, sd cards, sd card, microsd faster"
6,"card slow, sd card, sd cards, card slower, fast sd"
5,"card gopro, cards gopro, carduse gopro, memory gopro, gopro hero3"
0,"16gb tablet, 16gb great, supported 16gb, 16gb note, 16gb works"
11,"sd card, transferring videos, sd usb, microsd card, transfer videos"
7,"storage smartphone, smartphone storage, media storage, storage tablet, storage mobile"
18,"sandisk warranty, warranty sandisk, returned sandisk, failure sandisk, sandisk replacement"
8,"sandisk sd, sandisk microsd, card sd, sandisk memory, sandisk advise"
4,"video camera, gps camera, recording camera, camera recording, videos camera"
9,"memory card, 16gb card, memory phone, memory smartphone, samsung 32gb"
16,"class10 card, class microsd, class 4mb, class 16gb, sd card"
