cluster_id,summary_keywords
4,"issues product, absolutely issues, issue longevity, issues, product breaks"
1,"sd card, sd cards, microsdxc card, memory card, packaging htc"
10,"faster microsd, fast sd, speed sandisk, microsd benchmarked, speed sd"
17,"sandisk reliable, sandisk good, recommend sandisk, sandisk recommend, sandisk reputable"
3,"card reliable, card issues, card problems, card complaints, card write"
2,"card gopro, card camera, card pro, recording gopro, videos card"
0,"san disk, tablet san, san disc, memory san, sd micro"
8,"memory tablet, samsung tablet, tablet samsung, gig tablet, issues tablet"
16,"sandisk s3, sandisk advise, returned sandisk, reliable sandisk, sandisk warranty"
11,"tablet 64gb, 64gb surface, 32gb microsd, surface pro, surface 64g"
7,"128gb microsd, 128gb cards, sd card, microsd card, 7mb card"
14,"s4 memory, samsung s4g, samsung s4, samsung gs4, issues samsung"
5,"tablet 32gb, 32gb storage, buying 32gb, 32gb great, love 32gb"
13,"storage smartphone, storage android, storage tablet, phone storage, storage nexus"
9,"speed usb, sd card, nexus fast, micro sd, storage mobile"
12,"microsd card, best microsd, micro sd, sd microsd, reliable microsd"
6,"memory card, memory cards, card memory, fastest storage, storage card"
15,"exfat s3, s3 card, card fat32, fat32 card, card exfat"
18,"sandisk memory, sandisk recommend, reliable sandisk, recommend sandisk, sandisk reliable"
