cluster_id,summary_keywords
136,"absolutely issues, issues good, issues, problems functioning, causing problems"
328,"memory samsung, phone memory, better storage, galaxy s3, galaxy pro"
61,"microsd card, sd card, sd cards, 32gb microsd, memory card"
248,"microsd card, sd card, handy 64gb, 64gb good, microsd"
388,"64gb sandisk, 7mb card, sd card, 256gb cards, does 9mb"
23,"usb3 reader, sd adapter, card reader, memory card, microsd adapters"
514,"sandisk reputable, sandisk good, sandisk reliable, sandisk best, buy sandisk"
443,"microsd card, gopro hero3, sd card, microsdxc card, micro card"
104,"sandisk ultra, performance sandisk, sd cards, recommend sandisk, sd card"
140,"samsung sd, micro sd, sd card, microsd cards, sd cards"
210,"sandisk reputable, sandisk quality, sandisk recommend, sandisk, phone sandisk"
195,"san disk, memory san, tablets san, buy san, problems san"
197,"blackberry z10, blackberry q10, blackberry 10, using blackberry, use blackberry"
110,"class microsd, sd card, card sd, sd cards, card 9gb"
257,"item 64gb, 64gb size, imagine 64gb, 64gb small, 64gb 32"
525,"sandisk microsd, microsd card, sandisk 32, sandisk ultra, 32gb sandisk"
364,"card reliable, quality memory, memory card, memory cards, buy sandisk"
127,"speed normal, speed ratings, specification speed, speed great, speed"
290,"surface pro, surface pros, surface tablet, microsoft surface, surface rt"
434,"card reliable, card data, format card, card galaxy, card fast"
249,"sandisk sd, sd card, sdcard, sandisk kingston, memory card"
446,"storage device, hd tablet, sd card, tablet, store device"
66,"phone memory, memory read, 16 gb, gb capacity, memory"
174,"does job, works perfectly, does, job price, worked just"
522,"replacement card, replace card, sandisk, computer sandisk, card damaged"
359,"memory card, fast 32gb, adapter card, price memory, memory"
350,"memory card, card camera, memory cards, sandisk memory, contourroam2 camera"
84,"adapter fine, 16gb version, 16gb, memory works, bought 16gb"
57,"thumb drive, thumb drives, reliable microsd, sandisk best, sandisk ultra"
114,"tablet speed, microsd sd, sd card, adaptor microsd, speeds little"
453,"galaxy note2, microsd card, card microsd, note 128gb, note 32gb"
90,"microsd card, genuine sandisk, 64gb microsd, sd cards, 16gb microsdhc"
489,"s4 memory, galaxy s4, memory phone, samsung galaxy, install samsung"
53,"32gb storage, 32gb, storage especially, memory 64gb, upgraded storage"
107,"sdr104 speeds, faster microsdhc, card speeds, sandisk microsdhc, speed kingston"
506,"wrong sandisk, buy sandisk, sandisk product, sandisk products, sandisk"
40,"card speeds, card slower, card ntfs, transfer speed, ultra card"
369,"storage mp3, audio 30gb, extra memory, storage android, 16gb quite"
