cluster_id,summary_keywords
9,"issues looks, performance issues, absolutely issues, problems quality, complaints great"
3,"memory smartphone, memory phone, s3 memory, memory mobile, memory samsung"
6,"faster microsd, fastest microsd, s3 32gb, fast microsd, microsd slowed"
2,"kingston card, microsd card, sd card, sdcard phone, card sd"
5,"device storage, tablet storage, storage tablet, storage device, storage android"
0,"speeds microsd, performance sandisk, faster sandisk, microsd speed, speed sandisk"
1,"sd card, sandisk recommended, sd cards, recommended sd, sandisk 32gb"
4,"recommended sandisk, recommend sandisk, sandisk recommend, recommending sandisk, sandisk good"
8,"card gopro, card camera, card cameras, card pro, recording gopro"
7,"tab3 memory, tablet 32gb, samsung tab3, 32gb tablet, tablet 64gb"
