cluster_id,summary_keywords
5,"complaints great, issues works, complaints, issues, complaints far"
9,"memory smartphone, storage smartphone, phone memory, phones memory, memory phone"
11,"sd adapter, san disk, san disc, disc adapter, sd micro"
8,"s3 card, card s3, samsung card, s3 sd, s3 note3"
7,"sandisk storage, storage sandisk, sandisk sd, sandisk 128gb, sandisk reliable"
10,"sandisk 16gb, 32gb device, 64gb sandisk, 64gb microsd, sd storage"
14,"slower write, performance usb, speeds microsd, performance sandisk, slower usb"
6,"sd card, recommend 32gb, cards 32gb, sd cards, microsd card"
12,"memory card, sd card, card memory, memory smartphone, card reliable"
1,"microsd gopro, microsd card, microsds card, card microsd, microsd cards"
4,"sandisk recommended, sandisk ultra, sandisk highly, performance sandisk, ultra sandisk"
13,"san disk, best disk, quality disk, storage excellent, storage speed"
0,"memory samsung, memory tablet, samsung tablet, memory mobile, tablet samsung"
3,"storage camera, camera sd, camera memory, camera sandisk, sd card"
2,"sandisk quality, sd card, sandisk, sandisk looking, sandisk reviewer"
