cluster_id,summary_keywords
4,"issues product, issues yes, absolutely issues, hd complaints, issues quite"
9,"storage smartphone, s3 card, s3 32gb, card s3, s3 memory"
3,"storage tablet, tablet storage, tablet memory, memory tablet, tablet 40gb"
0,"sandisk recommended, sandisk reliable, sandisk decent, sandisk good, sandisk quality"
6,"sandisk recommend, sandisk reliable, sandisk reviews, recommended sandisk, sandisk good"
2,"memory card, camera card, sandisk gopro, sd card, card camera"
7,"memory card, card reliable, reliable memory, sd card, memory cards"
5,"sd cards, sd card, card storage, memory card, memory cards"
1,"memory card, sd card, sd cards, camera sandisk, sandisk card"
8,"issues chip, chip phone, new smartphone, new samsung, samsung"
