cluster_id,summary_keywords
7,"card reliable, reliable card, card issues, issues card, card complaints"
2,"san disk, san disc, disks great, quality disk, disk doing"
1,"storage tablet, tablet storage, tablet memory, device storage, tablet 40gb"
5,"sandisk recommended, performance sandisk, sandisk good, sandisk quality, sandisk highly"
9,"affordable memory, 32gb microsd, storage digital, gig microsd, sandisk 32gb"
0,"microsd speed, faster microsd, fast microsd, fastest microsd, microsd fast"
3,"sandisk s3, s3 sandisk, sandisk microsd, sandisk work, works sandisk"
8,"recommended sandisk, sandisk recommend, recommend sandisk, sandisk good, sandisk sd"
4,"card gopro, videos card, recording card, gopro 32gb, camera card"
6,"storage phone, card 2gb, storage smartphone, storage samsung, phone 32gb"
