index,token_length,reviewText
76,1123,"update 6.24.14 my 128 gb card stopped allowing writes via any of my card readers on a windows pc either when it was inside any of several full size sd card adapters with the write protect tab in either position or plugged directly into the microsd slot of the reader. microsd cards have no write protect tab, so i was quite surprised and worried by this. after failing to find any workable solution by searching online, i finally put it in my chromebook and created a new folder on it there, then stuck it back in my windows pc and it no longer gave me a write protect error. if anyone has a similar problem, i'd recommend doing something similar by putting it in any other pc, laptop, camera, etc you have available and try writing to it there. this portion of my review is necessarily being written as an update to my original review of the 64 gb version of this card, since amazon disallows multiple reviews for what they consider the same item. this portion concerns the 128 gb version of this card i don't need a fast card, so the speeds on this card were not that important, besides which my test pc is not exactly high end. therefore i didn't count off for the speed results i got below, using a usb 2.0 card adapter, but i thought they might be relevant to some readers. while the card did reach the class 10 and or uhs i requirements, it came in at under 2 3 of the claimed read speeds up to 30 mb s for fast file transfer. then again, running on a second pc using a different usb 2.0 card reader, none of the speeds even hit 5 mb s, so this seems to be highly system dependent.i only just got the card this week, and so far it works on select sdxc compatible devices and exfat compatible operating systems some sdxc compatible devices, such as the panasonic hdc tm40, do not allow cards larger than 64 gb for whatever reason this was stated in the manual, and i've confirmed this card is recognized as broken corrupt unusable in that device, whereas 64 gb exfat cards work fine. the 128 gb works fine with original exfat formatting in my toshiba excite 7.7 android tablet, and predictably not at all in my non sdxc compatible galaxy note 2 though it possibly would if reformatted to fat32, since a 64 gb card in fat32 works fine there .i'll update my review to reflect any problems, issues, etc that i notice in the coming days weeks. crystaldiskmark 3.0.3 c 2007 2013 hiyohiyocrystal dew world url removed as per amazon rules mb s 1,000,000 byte s sata 300 300,000,000 byte s sequential read 18.694 mb ssequential write 11.921 mb srandom read 512kb 18.502 mb srandom write 512kb 0.680 mb srandom read 4kb qd 1 3.339 mb s 815.1 iops random write 4kb qd 1 1.581 mb s 386.1 iops random read 4kb qd 32 3.151 mb s 769.4 iops random write 4kb qd 32 1.564 mb s 381.8 iops test 1000 mb g 0.0 0.0 119.1 gb x5 date 2014 04 24 16 53 49os windows xp professional sp3 5.1 build 2600 x86 the following is my original review of the 64 gb version of this card, published april 24, 2013 this is a high quality card. i've used it in a variety of devices, through multiple readers on different pcs, in an hd camcorder using a micro to full sized sd adapter, and i've never once had a problem with it. it even works at full capacity in some microsdhc only devices once its reformatted to fat32 such as my sandisk clip flac player and supposedly even psps via a proper adapter, though i haven't yet tested my psp . i keep anticipating someone coming out with a card with equal or better capacity and speeds at a comparable price, but i haven't seen one yet. if these were cheaper, i'd have several by now.make sure your device can handle micro or full sized sdxc cards, or is one of those rare gems that state they support only as high as sdhc but have been tested to work with sdxc cards such as this one once they've been manually reformatted to fat32."
123,1254,"i bought 64gb version of the card to use with gopro hero 3 black edition. it didn't work out. the card worked ok if camera was set to resolution with lower bit rates. e.g. worked fine in 720p with protune on, or 1080p with protune off. however, in 1080p with protune on bitrate is just shy of 6 mb s in this mode much higher then with protune turned off it was nothing but trouble. camera would sometime work, and sometime randomly stop recording for no obvious reason. i first suspected camera, but testing with different sd cards, it ended up being sandisk's card that was at fault. my spare card, an old and cheap 16gb pny also class 10 , worked just fine under same conditions and with same camera settings.once it was obvious it was problem with the card, i found people on gopro's forums that had trouble with this specific card as well well, you always find these only after you figure it out for yourself, right? . anyhow, i did some speed tests with the card by doing simple write of 1gb file full of zeros using unix dd utility to copy 1gb of zeros from dev zero where else would you find that many zeros onto a file on the card. the result was that on average, sandisk's card would manage about 10.2 mb s. just barely above the bar for class 10 card. however, that was average over 1gb. during the write test, the speed was oscillating with many spikes and drops. drops were as low as 7mb s. uh. i thought write speed of class 10 card should never dip below 10 mb s? for comparison, my old cheap class 10 pny card was chugging along at constant 13 mb s under the same test. no spikes and no drops in speed.the card will probably work fine in most devices, as bitrates when recording 1080p video are often low enough and or camera might have huge buffer. but if you want to use it to record video at high bitrates, and your device doesn't have huge buffer to compensate for speed bumps of this card, you may run into trouble. be wary of using it in hero3 in modes that have higher bit rates e.g. 1080p with protune enabled .sandisk's website lists part numbers as sdsdqui 064g with adapter, and sdsdqua 064g without adapter. this conflicts with product description on amazon. while this is likely just amazon not getting product description right again a bit too common thing , it's interesting to note. update apr 20 2013 some numbers from testing the card. the test is extremely simple. write out 1gb of zeros onto the card using standard unix dd command to read 128kb blocks of zeroes from special device dev zero and write it onto the card. 128kb 8192 1gb. dd displays transfer stats once it finishes. while dd was running, i run iostat in second terminal displaying 1 second interval stats as a measure of current speed. this was done on the mac. dd command line can be used as is to repeat test on linux system, however iostat command is different on linux and would need to be modified slightly. i choose 128kb block size, as that seems to be what device drivers merges sequential writes into anyhow. using different block sizes, results are comparable. dd if dev zero of test bs 131072 count 81928192 0 records in8192 0 records out1073741824 bytes transferred in 101.578307 secs 10570582 bytes sec so, 10 mb s and all is good? right? wrong! iostat running in parallel with above dd command recorded this iostat d w 1 disk2disk2kb t tps mb s123.11 76 9.12116.61 185 21.04122.94 49 5.88128.00 41 5.12128.00 89 11.11128.00 134 16.73128.00 69 8.61128.00 61 7.62128.00 99 12.36 ... and so on until dd finishes writing 1gb of zeros to the card ... imo, the last column should never dip under 10mb s for card labeled class 10.for comparison, same test run against samsung pro 64gb micro sd card dd if dev zero of test bs 131072 count 81928192 0 records in8192 0 records out1073741824 bytes transferred in 52.869111 secs 20309436 bytes sec iostat d w 1 disk2disk2kb t tps mb s125.30 138 16.86117.73 157 18.03123.04 150 18.00128.00 159 19.86128.00 156 19.47126.45 160 19.73128.00 150 18.72128.00 154 19.22128.00 153 19.11 ... and so on until dd finishes writing 1gb of zeros to the card ... so, samsung is on average 2x faster, but more importantly it's speed is much more constant. and critically important, it never dips under 10mb s."
721,691,"the description on the amazon page calls this a class 10 card with uhs 1 performance. and while technically correct, full hd 1080p recording . you would expect more performance in the sequential write speeds. it actually doesn't even hit the class 10 speed unless you round up 9.951 mb s . i have 2 of these cards and they both report the same speed. my kingston 8gb sdhc class 4 writes at 11.854 mb s. now keep in mind the sandisk beats the other cards in the random reads and writes. so maybe the design for those faster random reads and writes causes the sequential writes to run slower than expected. here is the test for the san disk followed by the kingston crystaldiskmark 3.0.2 c 2007 2013 hiyohiyocrystal dew world ... sandisk ultra 16gb class 10 micro sdhc uhs i speed? mb s 1,000,000 byte s sata 300 300,000,000 byte s sequential read 20.651 mb ssequential write 9.951 mb srandom read 512kb 20.191 mb srandom write 512kb 2.628 mb srandom read 4kb qd 1 3.656 mb s 892.5 iops random write 4kb qd 1 1.665 mb s 406.4 iops random read 4kb qd 32 3.293 mb s 803.9 iops random write 4kb qd 32 1.618 mb s 395.0 iops test 1000 mb f 0.0 0.0 14.8 gb x1 date 2013 03 26 21 28 09os windows 7 home premium edition sp1 6.1 build 7601 x64 crystaldiskmark 3.0.2 x64 c 2007 2013 hiyohiyocrystal dew world ... kingston 8gb sdhc class 4 mb s 1,000,000 byte s sata 300 300,000,000 byte s sequential read 20.287 mb ssequential write 11.854 mb srandom read 512kb 19.925 mb srandom write 512kb 1.728 mb srandom read 4kb qd 1 3.747 mb s 914.7 iops random write 4kb qd 1 0.017 mb s 4.2 iops random read 4kb qd 32 3.684 mb s 899.5 iops random write 4kb qd 32 0.017 mb s 4.3 iops test 1000 mb f 53.3 4047.8 7592.0 mb x1 date 2013 03 27 10 48 56os windows 7 home premium edition sp1 6.1 build 7601 x64"
988,538,"i was given this card in october to add to my new samsung galaxy s3. i was thrilled i copied a ton of music onto the card and used my phone as my mobile ipod substitute, leaving my ipod classic on my desktop in its speaker system cradle.everything worked fine until a couple of weeks ago. i started getting messages that seemed to say that i had removed and inserted the memory card. of course, i hadn't touched it. then a few days ago the phone told me that the card contained unsupported files and that i needed to reformat it. well, i tried reformatting. after that, nothing. nothing at all. i pulled the memory card, reset the phone. reinserted the card. nothing. i tried the card in the adapter on 3 computers. it wasn't even visible.i called sandisk tech support. it didn't take terribly long to convince them that i had a problem. but they quickly offered me two 16 gb cards as a replacement. i literally laughed at them. i got the disturbing sense that this is something that they are required to try. if so, that's a lousy business practice. after bouncing me around a few time, they agreed to send me an rma and a shipping label. i duly sent the card off a couple of days ago. to be frank, i have no idea at all when i might receive a replacement.if i weren't already in the grips of sandisk, i would buy another card. the fact that 10 of the comments here are negative is an indication of a real quality control problem. a 10 fail rate is simply unacceptable for a product such as this.update well, i do have to give sandisk credit for customer support. i returned the card using the supplied ups label on a tuesday and i received a replacement by ups on the following monday. that's very good service. it does, however, increase my suspicion about the offer of two 16 gb because the 32 gb cards were out of stock. if they were out of stock, they sure got in stock in a big hurry. in any event, i've upped my rating to two stars."
1054,524,"of late, sandisk appears to have lost their way a little with their flash storage products. it's almost a universal truth that all of their usb flash drives are hopelessly slow while they're usually reliable, transfer rates of 4mb sec or less are worthless when filling a 32gb drive. fortunately, their ultra line of sd cards still appears to buck this trend.formatted as ntfs and used in anelago mobile nano ii reader, i see write speeds on a 64 bit linux machine at a consistent 15 16mb sec when copying large 1gb or larger files to this card, which more than lives up to its class 10 billing. reads appear to run at about 19 20mb sec.i can't comment on reliability as i've only had the card a few days, but everything i've copied so far for testing has made it onto the card and off again with no corruption whatsoever the md5 checksum of every file i've transferred matches the source. that's more than can be said for the supertalent pico usb drive that this sd card and reader are intended to replace, which has never been quite right it's always occasionally randomly corrupted files of larger than 100mb or so, and the probability of 1gb or greater files surviving was near zero .32gb appears to be the sweet spot at the moment smaller cards don't cost that much less, and larger cards are beyond the sdhc spec and into sdxc territory, which isn't yet universal in terms of device compatibility not to mention they cost far more than double for 64gb .for what i paid for this around thanksgiving not part of any explicit sale, but definitely a lower price than appears usual as far as camelcamelcamel is concerned i'm extremely satisfied.edit i should also mention that the included mechanical full size sd adaptor is one of the worst i've ever encountered. there's a lot of friction when the microsd card is inserted, and it's a right bugger to get it out of the adaptor again. thankfully i have a few other such adaptors lying around should i ever need one this one's going in the bin."
1379,632,"i purchased this ultra microsdhc class 10 card for my media player. i wanted to replace my 4gb cardwith this one so i could store more music. i like to have a wide range of music to pick from when i amon vacation or traveling on an airplane long distances. i think i may have bought too much.this card is advertised as water proof, temperature proof, x ray proof and shock proof. i will have totake their word for it. i am not going to test it.just for fun i put the 16gb microsdhc disc 30mb s read speed into its provided adapter and used itin my cheapo cheapo toshiba camileo hd movie camera. even at the full high definition resolution of1080p 30fps this disc performed very well. no stuttering, no missed frames and all this under low lightconditions. nice. very nice. those are big files at full hd resolution. read on...this card is 'ush 1' enabled which means it is the fastest card available allegedly and should reachup to a bus interface speed of 104 mb s if the electronic device you are using requires it. of courseif your card reader or device does not support that speed you will be transferring data at your usualspeed. sort of like saying it is backward compatible but don't expect blazing speeds. you can feeddata through only so fast.transferring raw photos and a full hd digital film can take a lot of time to transfer. those are hugefiles to transfer so the ush i enabled disc is perfect for that purpose. they are working on ush iiwhich is supposed to allow up to 300mb s transfers. talk about instant gratification, we are aboutthere. here is a guide by the 'sd association' with regard to class ratings and video applications class 2 for sd video recording class 4 and 6 for high definition video hd to full hd video recording, class 10 for full hd video recording and consecutive recording of hd stills uhs speed grade 1 for real time broadcasts and large hd video files uhs speed grade 3 for 4k video files ush i overkill for a media player? probably, but for the price it was a terrific deal to get a class 10ush 1 enabled card and have the flexibility to use it in a variety of my electronic devices. hmm. onsecond thought i may just keep this card for the movie camera and get another slower one for mymedia player.as usual i have had no problems with this card. works well, in or out of the adapter, and seems verytough in it's construction. 5 stars for this little power house of a micro card."
1762,541,"sandisk ultra class 10 micro sdhc card 16gb, 32gb, and 64gb i purchased the 32gb card for my samsung galaxy s3 and the 16gb card for another video recording device. i formatted both cards in fat32 using windows 7, and functioned without drama in the respective devices. i purchased the 64gb for my gopro hero3 silver edition.the reason i chose the sandisk ultra is for the class 10 speed rating, as well as the waterproof, shockproof, vibration proof, and x ray proof durability. i had the 32gb sandisk fail after 2 months of easy usage in my samsung galaxy s3. i don't abuse my phone and it is not subject to extreme temperature vibrations. sandisk replaced it under warranty but it was quite a hassle to do this.the 16gb card however, has been subject to extreme temperatures for well over 4 months from 5f to 100f and that doesn't include solar loading from sitting under the sun, as well as 100 humidity! the 16gb card was dripping with water after i experienced water intrusion in one of my cameras, and it had been soaked in water while operating for several months.the packaging was easy to open by simply cutting across the top. however, finagling out the blister pack took some patience. the frustration free packaging is essentially a cardboard envelope sleeve with a plastic holder and the sd card adapter with microsd card inside. this is how it is shipped!overall 4 5 stars. very affordable and decently fast micro sd cards. these are perfect for smartphones or recording devices used in extreme environments. however, one of them failed within 2 months. the speeds are also inconsistent. i posted a benchmark photo on amazon showing my speeds with all 3 sizes of cards and the 32gb was the fastest.update 28 oct 2012my 32gb card has failed after just over 2 months of use in my samsung galaxy s3 phone. it started dismounting remounting intermittently by itself over night. i woke up this morning to find that the card is not readable via the phone and wouldn't work on my pc. the phone has not been abused and was not used in an extreme environment. this card was replaced under warranty by sandisk."
2017,580,"update 6 18 14 well, i suppose nothing lasts forever. after almost a year, the card has gone bad. i use the card a lot in my smartphone a t mobile samsung galaxy s3 sgh t999 . all my photos, voice recordings, and downloads go on this card, and the downloads are transferred to my computer almost daily via usb cable. a few days ago, a video file i transferred to my computer refused to play correctly. no video, and the audio was skipping and squealing, which i recognize as the sound of a corrupted file. i thought maybe the transfer didn't complete tried it again, same result. i tried to play the file right on the phone, and it didn't play on my phone! i knew there was a problem. i tried copying the video to my phone storage and playing it there, still no luck. then i deleted the video and decided to download it directly to my phone, not the sd card eureka. it played perfectly.i formatted the sdxc card twice once from the phone and once through windows and tried the same test. downloaded video file to the card, then to the phone. same result both times it wouldn't play on the sd card, but it did on the phone. all videos used to play perfectly on the sd card. finally, i swapped out the card for my older, sandisk ultra 32gb micro sdxc card. like magic, it worked perfectly no matter what i played on it. so yeah, the 64gb card is dead. i should note that the card performed flawlessly for nearly a year up until a few days ago.thankfully, sandisk ultra products like this carry an incredible lifetime warranty or 10 years for regions that don't recognize lifetime their extreme line of cards raise that to 30 years! i've contacted their support for an rma so i'll update this review as events unfold. if they replace it quickly, i'll bump this back up to 5 stars.original review i'm using a samsung galaxy s3 smartphone. sandisk ultra micro sd cards have never failed me, and this one's no exception. i used to have a 32gb card. they're fast and reliable and never corrupt data, which is more than can be said for some cheaper brands like pny those fail quite often . i can't wait to get the new 128gb model!"
2030,1614,"update 6 19 2014 so my lovely wife bought me a samsung galaxy tab 4 for father's day and i've been loving it ever since. just as other with samsung products, the galaxy tab 4 has the ability to add a microsd card to expand the memory on the device. since it's been over a year, i decided to do some more research to see if sandisk offered anything new. as of 6 19 2014, their product lineup for microsd cards from worst to best performance wise are the as follows sandisksandisk ultrasandisk ultra plussandisk extremesandisk extreme plussandisk extreme pronow, the difference between all of these cards are simply the speed in which you can read write data to the card. yes, the published rating of most all these cards except the sandisk regular are class 10 uhs i but that's just a rating... actual real world performance does get better with each model, but with faster cards come more expensive prices. since amazon doesn't carry the ultra plus model of microsd card, i had to do direct comparisons between the sandisk ultra 34.27 , extreme 57.95 , and extreme plus 67.95 .as mentioned in my earlier review, i purchased the sandisk ultra for my galaxy s4. my question was, did i want to pay over 20 more for a card that is faster than the one i already owned? or i could pay almost double to get sandisk's 2nd most fastest microsd card.the ultra works perfectly fine for my style of usage storing capturing pictures hd video and movie playback on my phone. so in the end, i ended up just buying another sandisk ultra 64gb card. i use my cell phone more than i do my tablet and if the card is good enough for my phone, it's good enough for my tablet. i don't own a 4k hd camera or anything like that, so i honestly didn't see a need to get one of the faster cards at this time.i am now a proud owner of 2 sandisk ultra cards and have absolutely 0 issues with it in my samsung devices. original review 5 1 2013 i haven't had to buy a microsd card in a long time. the last time i bought one was for my cell phone over 2 years ago. but since my cellular contract was up, i knew i would have to get a newer card in addition to my new phone, the samsung galaxy s4. reason for this is because i knew my small 16gb microsd card wasn't going to cut it.doing research on the galaxy s4, i wanted to get the best card possible that had decent capacity 32 gb or greater . this led me to find that the galaxy s4 supports the microsdxc class 10 uhs i card, which is the fastest possible given that class. searching for that specifically on amazon gave me results of only 3 vendors as of april that makes these microsdxc class 10 uhs 1 cards. they are sandisk the majority , samsung and lexar. nobody else makes these that are sold on amazon.seeing how sandisk is a pretty good name out of the 3 i've used them the most , i decided upon the sandisk because lexar was overpriced and the samsung one was overpriced as well as not eligible for amazon prime .but the scary thing is that when you filter by the sandisk, you literally get dozens of options. all of them have different model numbers, different sizes, etc. then there's that confusion of what's the difference between sdhc sdxc?sdhc vs sdxc sdhc stand for secure digital high capacity and sdxc stands for secure digital extended capacity . essentially these two cards are the same with the exception that sdhc only supports capcities up to 32gb and is formated with the fat32 file system. the sdxc cards are formatted with the exfat file system. if you use an sdxc card in a device, it must support that file system, otherwise it may not be recognizable and or you have to reformat the card to fat32.fat32 vs exfat the differences between the two file systems means that fat32 has a maximum file size of 4gb, limited by that file system. exfat on the otherhand, supports file sizes up to 2tb terabytes . the only thing you need to know here really is that it's possible your device doesn't support exfat. if that's the case, just reformat it to fat32. remember formatting erases all data!to clarify the model numbers, i i hopped over to the sandisk official webpage. what i found there is that they offer two highspeed options for sandisk cards. these are sandisk extreme pro and sandisk ultra. sandisk extreme pro is a line that supports read speeds up to 95mb sec, however they are sdhc only. to make things worse, they are currently only available in 16gb 8gb capacities. since one of my requirements was to have a lot of storage, i ruled these out.the remaining devices listed on amazon's search were the sandisk ultra line. but here, confusion sets in because sandisk separates these cards to two different devices. cameras mobile devices. is there a real difference between the two or is this just a marketing stunt? unfortunately i'm not sure but i do know the price difference between the two range from a couple cents to a few dollars. since i wasn't sure, i opted for the one specifically targeted for mobile devices just in case there is some kind of compatibility issue . to find the exact model number, i would go to sandisk's webpage sandisk.com and compare their existing product lineup. from there, you get exact model numbers and you can then search amazon for these model numbers. that is how i got mine sdsdqua 064g .as for speed tests, i haven't run any specific testing, but copying 8 gb worth of data from my pc to the card literally took just a few minutes.one last note is that amazon attaches additional characters to the end for example sdsdqua 064g affp a vs sdsdqua 064g u46a . the difference between the two is that the affp a means amazon frustration free packaging . other than that, these are exactly the same. if you're wondering what i got and want to use it in your galaxy s4 , i got the sdsdqua 064g u46a and it works like charm."
2798,690,"i purchased the card in the sandisk packaging, so i am pretty sure it is genuine. i tested it with various programs on the web that apparently can detect whether they are fakes or not. this one turned out to be a real sandisk card. the card came formatted with fat32.i read on the web about these micro sds, and apparently they are not as fast as the full sd card version. i borrowed my brothers sandisk 32gb full sd card to make comparison tests. here are my official unofficial test results using diskbench v2.6.2.0 and h2testw 1.4 test. i will give the results as an overall result, because after testing these cards over and over with speed writes and reads, the results get mixed and varied to a big degree... much larger than i expected, but the numerous tests showed me a general trend. the trend is that the full sd cards do write faster than the microsd card. but, also remember that the microsd had to be put into an adapter to do the test on my pc while the fullsd card was put into the computer reader directly.these are just my averages, but small file writes both sd cards wrote at close to 10mb sec. the microsd was less consistent in the tests and sometimes dropped to 8mb sec.small file reads both sd cards read at close to 20 mb sec at their fastest.large file copies to card microsd wrote at 3.5mb sec while the fullsd wrote at about 4mb seclarge file reads copies from card microsd was 10mb sec while the fullsd read at about 14mb sec.my conclusion my tests were by no means official for this card and showed much variance dependent on file size of the reads and writes, but the fullsd card was faster in many cases, but equal to microsd in most cases. the small file writes and reads showed that they are similar enough. but, my only concern is with large file writes.... is 3.5 mb sec good enough for rapid photography on a high pixel camera? i don't know. i have had no problem using these cards with h264 movie capture for hours. i am surprised that 3.5 mb sec is enough.also, never during the huge file copies to the card did i get any noticeable heating of the card itself, by touch even for an hour. i've noticed that it has been a complaint from many people on the web, some stating that they felt they might burn themselves. i copied files that took more than an hour with no noticeable temperature change, other than, perhaps a couple of degrees. of course, this was on a pc and not installed in a camera.the card performs well for video work, and appears to meet many other tests performed by other people. i never saw a read close to 30 mb sec... they were very consistent at 20 mb sec at the highest performance.i would get the card again, if the price were right."
