cluster_id,summary,original_reviews
-1,sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter. it works perfectly and is fast enough to rely on your information on anything i'd need it for on my phone. can't go cheap and fall for counterfeits.,"['great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this', ""this is a great memory card that i've put into my phone for music and picture storage. it works exactly as advertised."", ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", ""works perfectly!!! couldn't ask for a better card and price was good too. got two one for each smart phone and my wife loves hers too finaly got lots of free space.sandisk ultra 64 gb microsdxc class 10 uhs 1 memory card with adapter..."", ""i'm always happy with a sandisk purchase. i am currently using this microsdxc in my cellphone samsung g4, which is more than enough for pictures, videos, and document downloads. very fast read and write."", 'the memory sandisk ultra 64gb micro sdxc class 10 uhs it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more.', 'i love this memory card, i use it with my galaxy s 2 smartphone and couldnt be happier, its very fast, when i take photos the phone doesnt stutter like it did with my old memory card, a definive must buy if your a power user and can afford it.', 'works great, my phone detected and let me format it to fat32 with no additional tools. once formatted its 59gb you lose some in the conversion metric from gib to gb. bought it for my motorola droid x first generation phone, i wanted to use it as a media player and it works wonderfully and has lots of storage for my movies, music, games and books. its a class 10 card so its also very fast, certainly faster than the stock card.', ""i really don't know that the complaints other posted were all about, but i have bought 3 of these sandisk micro sd card already. for my phone, my wife and my daughter's phone. store lots of movies, pictures. videos....etc. all works just fine, no issues at all."", 'i am only giving this product 3 stars becuse i purchased this one as a replacement for a sandisk micro sd card that kept having problems with. i finally got tired of losing my data and ponied up the 20 odd dollars to just replace the darn thing.', 'this card is fast enough to meet my needs on a galaxy note 3. plenty of memory for my pictures and files. no problems', ""this is an ultra fast sandisk branded sd card that's great for digital cameras, especially for video. i got it for my smartphone, mainly for the 32 gb capacity, and it fills the bill at a very low price with prime shipping. you can't get better quality flash cards than sandisk. i'm still amazed that they can cram such a huge amount of memory on such a tiny chip. one megabyte of data in text from printed out would fill a pickup truck. this chip has 32 thousand megabytes. think about having 32,000 pickup trucks full of text in a chip smaller than your pinky fingernail!"", 'love it. it works great and is fairly cheap compared to other 64gb sd cards without sacrificing quality. sandisk has always made great products.', ""i got this to allow me to store and move movies and photos. it holds a lot and playing videos straight from the card works fine. so, it does what i needed it to do. you generally can't go wrong with genuine sandisk products."", ""so i'm not going to pretend to be an expert on sd cards, but i still like this one. it is relatively inexpensive, works wonderfully for the movies i want to store and watch on my samsung galaxy tab 7 2.0, and i haven't had a single problem with storage yet."", ""i put this in my galaxy note ii and put a bunch of music and pdfs on it. i also used it to save videos and photos. it worked well for about 2 months then, on christmas day today , it said that there was an error reading the card and the card was now blank. my phone no longer recognizes the card and even putting it into its adapter and sticking it in the sdhc reader of my laptop doesn't work.if this is sandisk quality, then i am not impressed. i am going to have to deal with their warranty replacement but i'd rather have a refund than get another card that might fail after 2 months..."", ""first of all i am not rating this product as a 5 star like it the greatest item ever, i am rating this product as follows, would it have been the same product if i bought this at the retail store, was it worth the money saved to buy it online, and am i happy with the product i got in the mail. if all those are a yes for me then i will give it 5 stars. i am not just rating it 5 stars cause its the best product of its class, that is for each person to decide. i will also be updating the reviews as i see fit if i decover something in the future. thank you for taking the time to read my review.i have has a sandisk sd card for 2 years with my phone and it has lasted through the tough times and high heat. i bought this to add movies to my daugther's galaxy note 2 10.1 tablet, no changes are needed to format it just plug and play. buy this product with any of the new samsung tablets or note 2 and it will just work"", ""love it makes my tablet work so much faster,because it take up alot of memory that would be on the internal storage,,free's alot of space, i've got a bunch of music and movies downloaded on this micro card and only using about 1 4 of it memory. thanks i would recommend this,to anyone whole loves music and movies on the go!"", 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well', ""this little microsdhc memory card from sandisk is equal to their reputation. it is fast enough and large enough to store and stream full length movies that we've ripped from our own dvd collection. this is a perfect addition to our new smartphones. we bought three of these for our recently purchased smartphones.highly recommended by me."", ""i bought this to expand storage in my samsung galaxy reverb. i was getting 8 10 mb s transfer speed while transferring mp3s on my commodity sd card reader kodak brand, 10 15 at any supermarket electronics section . it is worth noting that uhs 1 cards basically revert to class 10 if your hardware isn't uhs 1 compatible.i've been using the card for a month or so and have never had trouble with it no read errors, no mount errors, no bad sectors.i got mine on a black friday sale, so the value was great. do some price shopping if the price is good, you can't go wrong with this if you want a big micro sd card. as usual, sandisk is a good way to go."", ""this microsdhc card makes its job pretty well. it is fast enough to rely your data on any mobile device. haven't had any complaints so far."", 'love it, use it to store videos and photos on a galaxy s3. good stuff no problems yet like with my bootleg transcend card.', 'i have always had good luck with sandisk memory cards. this one is no exception. fast works great in my galaxy s4 and never a problem with any i have purchased.', ""great capacity. i purchased this when i first purchased my phone samsung galaxy s3 and have had no issues with it. great write speed. excellent way to store all your music, videos and photos. great to take videos with as well. more than enough capacity for anything i'd need it for on my phone. can't go wrong with the sandisk name either. an industry leader and well known for quality. of course you always want to backup any and all of your data for continuity purposes, but i've never had any issues with this card."", ""great product. can always count on sandisk. just make sure your device can support 64gb card. don't go cheap and fall for counterfeits."", ""i like the storage capacity of this little gadget. purchased for use in my smartphone. sandisk has shown itself to be a truly reliable and quality storage device company and should do well in years to come. this 32 gb micro memory card comes with an adapter so that you can use it for other purposes. they tend to be a bit on the pricey side, but you can't beat amazon for pricing. go ahead, get one or two of these, they are a worthwhile investment, and you won't be disappointed."", 'this little sd card is pretty amazing. it is really fast and there was no issues when installing it. it even came with an adapter so you can use it as a regular sd card.', 'currently using this in a samsung galaxy s4,with zero issues just put it in your phone and you are good to go. apps also seem to run faster off this card than internal memory. taking photos videos at full hd definitely goes quicker than my old 32gb sandisk card. definitely recommend this product.', 'got this for my phone and it works great so far. transferred music and pictures super fast from my computer to the card. needed more memory and this is perfect.']"
0,"the card works great in my nook hd, no problems installing or using it. it arrived on time, well packaged, and has been chugging right along for two months now. i would definately recommend it to any lover of space consuming files.","[""i use it to extend nook's memory. not much to say. it works well enough so i can forget it exists."", ""i don't know, but it's a bunch. this card works great in my nook hd, no problems installing or using it."", 'happily nestled in the memory slot of my nook tablet and performing as promised. now, if only the nook memory slot were easier to access.... all well. the card arrived on time, well packaged, and has been chugging right along for two months now. i would definately recommend it to any lover of video, music, or other space consuming files.', ""it's a fast card, reliable, and it offers tons more space for my nook hd. solid buy that you won't regret."", 'bought this for my nook hd and it works perfectly without any problems. i already used about 80 capacity with hd movies, and my nook hd plays them flawlessly. very happy with the product.']"
1,this micro sdhc card works great to run cm10 with the nook thanks to its speed. it added a much need memory boost to 'a already great product',"['i just recently received a new nook hd tablet as a gift and wanted to increase the storage capacity as well as convert it to an android base system with the n2a software! this card was compatible and has really increased the flexibility of my new nook without having to root the system and void my warranty. i can use my new nook either way. plus the card was at a reasonable price and really the latest in technology!', ""so far so good. no problems using this with a nook hd even though it's class 10. this includes playing downloaded videos."", 'this memory card works in both my nook and my canon camera. i chose this disk because it will hold lots of pictures. it was shipped earlier than expected.', 'i bought this to create a bootable sd card so that my nook hd could run pure android instead of the native nook os. it works beautifully.', ""we needed an option to increase the storage available in my wife's nook tablet and this serve the purpose perfectly. just inserted it into the micro sd slot and seconds later it was recognized."", ""i bought this to change my nook to android and boot off it. it's fast and reliable for daily use."", ""i inserted this little gem in to my new nook hd and let me tell you....wow. she loves it so much and she won't give it back! instead of buying larger capacity tablets....just buy the smallest amount of gigs and buy one of these little dudes."", ""i used this to turn my nook color into an android. it was incredibly easy to install and works great. i haven't had any problems with it. the read and write speeds are phenomenal, given that i am running an entire operating system off just this card. the price was great too!"", 'super low price for expanding the storage for your bn hd nook. buy the 16gb version save money, then spend a few bucks on this microsd card double your storage. use the adapter to easily pop into your laptop or pc and easily transfer files when you are on the go. better yet, buy two.', 'i bought this card specifically to run cyanogenmod 10 to my old nook nook color to breathe some life back into the device that i never use anymore. this card works great to run cm10 with the nook thanks to its speed. a quick overclock of the processor via cm10 and the tablet is dare i say 34 peppy 34 . i highly recommend this card for any application where speed is crucial.', ""i don't know what else that i can add to other 5 star reviews except to say that this installed flawlessly in my nook hd ."", 'i bought this micro sdhc card for my nook hd device because i was going to install n2a and it worked perfectly.', 'bought this memory card to work with mybarnes noble nook color ebook reader wifi only it added a much need memory boost to a already great product. i am now able to transfer many more .pdf , .epub, and other files to my nook. good job whoever made these things.', ""bought this for a surveillance camera, but ended up using in my nook hd ....works fine! i've bought a few of these over time through amazon, have never had a problem with them."", 'i ordered this to replace an aging class 4 card being used with n2a nook 2 android kitkat 4.4. this card turned that into a usable android tablet! n2a with the class 4 card was brutally slow but now the tablet is very useful. definitely worth the upgrade.']"
2,fast reading and data transferring. reliable product indeed. no problems so far. i love it! taking pictures like crazy without any worries.,"[""really fast processing speeds and saves crystal clear footage. haven't had any problems with it and don't expect to have any."", 'this product has excellent quality! no problems so far. fast reading and data transferring. i love it! taking pictures like crazy without any worries. reliable product indeed.', 'i have used this brand for a while, and no complaints... writing hd video to them quite often no issues.']"
3,"the best memory i have found for consistency and high speed. the memory is super fast, wonderful and cantiad of gigas is very good, perfect package and speed of recording.","['this memory to buy a video camera and a cell the probe with camera and battery first just the memory capacity', 'the best quality there is in memories is super fast, wonderful and cantiad of gigas is very good, the best brand and speed', 'nice product, perfect package and speed of recording. my camera will stay better with this memory. i recommend for all.', 'best memory i have found for consistency and high speed. ideal for any modern application, especially high definition video recording.']"
4,"works flawlessly, never had any problems with it. i've copied and transported a large amount of data and it works - and no errors!","[""works flawlessly, never had any problems with it and i've moved data on and off of it constantly."", 'i have copied and transported a large amount of data and it work, and no errors. i will purchase more of these.']"
5,"class 10, highest class so far! class 10. class 5 - class 0!","['dont even bother to try will not show up in finder and will not show up if placed on any reader', 'does what it suppose to do....works great works well. good price. would buy another. good storage for any digital file.', 'it worked well that one time i put some files on it. it was easily read by my computer and phone. then i lost it because it was so tiny. oh well!', 'no problems works well does what it is supposed to do, store files. pretty quick read and write speed as well', ""it works like it's supposed to. no lost files yet and it's big storage for it's microness. class 10, highest class so far!"", ""had to return it because it only formats into certain formats and i needed ntfs which it would not do at the time.i did purchase this again in oct 2013 and found it work as needed. so far it's working great.""]"
6,"the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. it runs way faster than the mac internal, and is like 30 more than this in my old adapters and new oscar 128gb minidrive air which is just like the original i bought","['purchased this along with the nifty minidrive for use as my time machine backup my macbook air 13 34 . perfect expansion!', ""it's good, i liked it, works perfectly with my minidrive, but it's kind of slow, sometimes it doesn't reach the promised 10mb s."", ""when the wife's macbook air ssd got full, i dropped in one of these with a near flush mount sd adaptor also via amazon and set it up as a second drive for her itunes collection. now she's got plenty of room for pics of the kid."", 'i use this with a nifty minidrive, ... to extend the built in ssd in my macbook pro. i highly recommend it for anyone needing a speedy flash card.', ""i use this in tandem with a niftydrive on my macbook pro. for those of you who don't know, the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. with a 128 gb micro ssd you can add hard drive space very inexpensively. i put my entire dropbox folder over 100 gbs on this thing, and it is every bit as fast as the mac's internal ssd. in fact, i think it might be faster."", 'this makes a great supplement to not having the latest greatest ssd. i keep some personal documents on my work laptop on the micro sd card to save space on the primary ssd.', 'i was really excited when this came out i have a mac air and a lot of music and film on it so the ability to stick this in my minidrive was great, it was that or buy a 128gb minidrive air which is like 30 more that this and i already had a minidrive. problem is its not very fast, not fast enough, my girlfriend has a new 128gb minidrive and it runs way faster than this in my old adapter and new sandisk 128. its great though 128gb in this little chip glad its out cause now its just a matter of time before they make it better.thanks', ""i bought a sandisk ssd for my computer. it's fast for the price. i feel confident that anything i order made by sandisk will be of the same quality."", 'i love this. i am using it to add additional storage space to my mb air together with the minidrive. i may not have comparable speed to an actual ssd but for audio files and photos it is good.', 'i bought this to go along with a nifty minidrive pro, and have not been disappointed. it really holds the full 128, and the data transfer speeds are great. i used it to keep all of the media from my itunes library, and have not had any issues with playback or lag. i really recommend this if you want to add a quick 128 to your mbp.']"
7,"es una reconocida marca y la calidad de sus productos tambi n lo son. la vitesse for high definition camar s is highly recommended - the speed for c mares de alta definici, ahora tengo 48 gb de memoria para alam","['es una reconocida marca y la calidad de sus productos tambi n lo son. la velocidad para c mares de alta definici n es muy recomendada.it is a recognized brand and quality of their products are too. the speed for high definition camar s is highly recommended.', 'comore esta memorka para completar mi nueva samsunb galaxy tab y funciono muy bien...ahora tengo 48 gb de memoria para alamcenar info.', 'es un producto que recomiendo ampliamente solo se instala en el telefono este lo formatea y listo esta en fincion para ser utilizado al 100', 'es una tarjeta micro guarda todas la caracter sticas descritas en la publicaci n llego en tiempo r cord, hasta el momento no he tenido ning n inconveniente', 'la uso sul mio samsung galaxy tab 2 7 e va benissimo, raramente non la riconosce, ma basta estrarla rimetterla e tutto va a posto, se fosse spesso sarebbe un problema, ma ripeto succede raramente perci consigliata!!!', 'muy bueno, realmente es rapido como dice, mi galaxy s2 arranca mucho mas rapido que con la msd que ten a anteriormente que era clase 4', 'este fue una buena compras ha sido todo lo que esperaba del producto. fue un bueno producto. llego en el momento indicado.']"
8,"sandisk is a music junkie and listens to podcasts, music, and instructional mp3s. he says it remembers everything it 8217's told' no sign of alzheimer 8117 to date - i have not seen it stare into space or talk about when it was filmed","[""how do i praise extra memory? it fills my mp3 player with every song my heart desires, the sound quality is perfect. the ease of use is superb. it's great."", ""boost the mp3 player size thanks, more more if you have the music or video's can not go wrong with more memory"", ""this is the cat's meow. and the best song from stage play 34 cats 34 was 34 memories 34 . if you keep forgetting things, get more memory. just remember to format it in your device before use. i think i forgot to format my brain before use."", ""i'm so happy that upgradable memory exists. i get to listen to a plethora of podcasts, music, and instructional mp3s. thank you sandisk!"", 'i am a music junkie and i use my phone as much as a mp3 player and video recorder, then as an actual phone, that i chew up memory quick. thanks, to sandisk and my q10 i can keep expanding my storage.', 'what can you say? so far it remembers everything it 8217 s told. no sign of alzheimer 8217 s to date. so far i have not seen it stare into space or talk about when it was a child or complain about how different the music is from when it first started storing music or say how much data has changed from back in the day 8230 8230 . nope, still young and pretty fast, no arthritis in the bits or bytes,', ""i'm listening to music stored thereon, i read books, plays, etc. from the gutenberg project that are stored there. i download podcasts from itunes and transfer it to my tablet. it is wonderful. i always expect great things from sandisk. would replace it if it stopped working.""]"
