cluster_id,summary,original_reviews
-1,the sandisk ultra 64gb microsdxc is one of the fastest protocols available. it has 32 thousand megabytes of text in a chip smaller than your pinky fingernail!,"['love this card, its fast and sports an insane 128gb of storage. amazon had a killer price on it too, well below the big box stores. works perfect with my phone and my hd video recorder.', ""this went into my new samsung galaxy light cell phone to store my music files and my cell phone photos. zero problems. these sd cards just work until the don't . sandisk is a top brand and i have no trouble recommending this. look through the many dozens of other recommendations, too. class 10 uhs 1 is one of the fastest protocols available currently."", 'the memory sandisk ultra 64gb micro sdxc class 10 uhs it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more.', ""this is an ultra fast sandisk branded sd card that's great for digital cameras, especially for video. i got it for my smartphone, mainly for the 32 gb capacity, and it fills the bill at a very low price with prime shipping. you can't get better quality flash cards than sandisk. i'm still amazed that they can cram such a huge amount of memory on such a tiny chip. one megabyte of data in text from printed out would fill a pickup truck. this chip has 32 thousand megabytes. think about having 32,000 pickup trucks full of text in a chip smaller than your pinky fingernail!"", 'this is a very fast and reliable microsd card. i used this on my galaxy note 2 and loaded movies and family pictures. transfer time is speedy!', ""i got this to allow me to store and move movies and photos. it holds a lot and playing videos straight from the card works fine. so, it does what i needed it to do. you generally can't go wrong with genuine sandisk products."", ""card works great. it shipped very quickly. it doesn't hold 64gb of data, more like 59gb but either way it gives me all the space i need on my phone for music and pictures."", ""i purchased the sandisk ultra 32gb microsdhc for some extra storage room for my samsung galaxy note 10.1 tablet. i was considering the 64 gb, but went with this card because i have the 64gb version on my galaxy note 2 phone and i have never come close to needing all that space. granted, i don't store any music on my phone but i do take a lot of photos videos and store as many apps on the microsdhc card rather than use the phone's internal memory.for the cost savings of going with the smaller 32gb card, it was a no brainer.the card has worked flawlessly since i installed it on my tablet and have had no problems with it whatsoever. plus sandisk is a big name in storage so again, it's a no brainer buy it!"", ""this card is great. ive noticed slight improvement in every aspect of my phone. so much space! very pleased. came on time. brand new. easy to open thanks to amazon. and it mentions on the tiny booklet that this thing is temperature resistant. thats a big plus since overuse of smartphones tend to heat em up pretty good. being from texas, the heat out here only makes em hotter. and my last sd seems to have fried. well this is a good buy. if i need another i'd definitly buy again. maybe the black and gold one. it only available in 16gb but its super fast."", 'i am only giving this product 3 stars becuse i purchased this one as a replacement for a sandisk micro sd card that kept having problems with. i finally got tired of losing my data and ponied up the 20 odd dollars to just replace the darn thing.', 'i bought this item and at first the card was defective however a quick online chat with sandisk and two weeks later i had a new working device. not much to say other than a great product and company. definitely recommend.', ""what is there to say? it's a nice big, cheap, effective, micro sd card. i use it in my galaxy note 8.0 for extra storage and it works fine."", 'cant complain about anything sandisk. i buy this product anytime i need a memory card.. prices are decent and storage capacity is as well', ""so i'm not going to pretend to be an expert on sd cards, but i still like this one. it is relatively inexpensive, works wonderfully for the movies i want to store and watch on my samsung galaxy tab 7 2.0, and i haven't had a single problem with storage yet."", 'i love this card, its way faster than any other micro sd i have ever owned. i can transfer roms like nothing on my galaxy s4. when i had the old microsd that comes with every droid phones, that use to take for ever.high recommend this one.', ""added this card to my note 2 for massive storage capacity. phone recognized the card without any issues and it's been solid since its installation. read write when plugged into a computer is blazing fast."", 'the sandisk memory card is awesome. i usually only buy sandisk products because they are very reliable. very good quality.', 'not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase.', ""first of all i am not rating this product as a 5 star like it the greatest item ever, i am rating this product as follows, would it have been the same product if i bought this at the retail store, was it worth the money saved to buy it online, and am i happy with the product i got in the mail. if all those are a yes for me then i will give it 5 stars. i am not just rating it 5 stars cause its the best product of its class, that is for each person to decide. i will also be updating the reviews as i see fit if i decover something in the future. thank you for taking the time to read my review.i have has a sandisk sd card for 2 years with my phone and it has lasted through the tough times and high heat. i bought this to add movies to my daugther's galaxy note 2 10.1 tablet, no changes are needed to format it just plug and play. buy this product with any of the new samsung tablets or note 2 and it will just work"", ""i bought this with the sole intention of putting it in my samsung galaxy s3. i had to use a tool to format the card to fat32, but once i did so, the card worked great. i have been taking advantage of the extra room i have for music, videos, pictures, etc. the sd adapter that comes with this is also handy.the transfer speeds didn't feel like class 10 when connected and transferred files from my computer, but my computer is 5 years old, so it's very possible that it's the problem. other than that, i'm completely satisfied."", 'i needed some new sd cards for my new tablets. after researching i bought the sandisk ultra 32 gb microsdhc class 10. it is way better than the almost same price sandisk ultra without class10!! the ultra class10 is lightning fast. you can see the difference when you copy large files, you will note that read and write procedures are much faster, whether you use it in camera, smart phone or tablet. the price is also ok. only drawback i noted was that the recognized capacity is not 32gb but 29,71gb in my asus memo pad. other than that i am extremly pleased with this micro sd.', 'love this 32gb micro sd card. i put it in my samsung galaxy note phone. i just returned from a 3 day trip where i used it as my camera video recorder. i kept it on hd quality the whole time. no problems at all. the only reason i did not give it a 5 star rating was because it actually only had 29gb of space instead of 32. if that is the norm then please excuse my ignorance!', 'bought this for my girlfriend.the card works very nice and is a great way to up your storage on your cell phone.this is currently in a samsung galaxy s4.', 'i bought this sd card for use with my cell phone. it worked really well and as far as i could tell, transfers the data at a fast rate. no complaints.', ""i bought this to expand storage in my samsung galaxy reverb. i was getting 8 10 mb s transfer speed while transferring mp3s on my commodity sd card reader kodak brand, 10 15 at any supermarket electronics section . it is worth noting that uhs 1 cards basically revert to class 10 if your hardware isn't uhs 1 compatible.i've been using the card for a month or so and have never had trouble with it no read errors, no mount errors, no bad sectors.i got mine on a black friday sale, so the value was great. do some price shopping if the price is good, you can't go wrong with this if you want a big micro sd card. as usual, sandisk is a good way to go."", 'good write performance. it sped up the time to load my pictures as well. this was a good buy. there are lots of manufacturers for memory cards but i feel most confident with sandisk.', 'i bought this micro sd card for my galaxy note 2 about 5 months ago and its been great. plug and play with no problems. it recognized it immediate and right after i was able to transfer 20gb of videos music to my phone right away. the transfer speed is good and is what i was expecting from reading guides on these type of sd cards. this is a good product and i recommend it to anyone looking for a sd card.', ""love it makes my tablet work so much faster,because it take up alot of memory that would be on the internal storage,,free's alot of space, i've got a bunch of music and movies downloaded on this micro card and only using about 1 4 of it memory. thanks i would recommend this,to anyone whole loves music and movies on the go!"", 'class 10 16 gb perfect for my phone. never use anything less than a class 10 in a phone because you will have lag times waiting for the card to respond, for 13 shipped to your front door how can you go wrong? sandisk has been good for me for many years. recommended.', 'sandisk 16gb micro sdhcworks as advertised.good quality.pretty inexpensive price considering.i would recommend it to anyone in need of a micro sd card.']"
0,la vitesse for high definition camar s is highly recommended. the speed for c mares de alta definici is a high-quality brand. llego en tiempo es una calidad de sus productos tambi n lo son.,"['es una reconocida marca y la calidad de sus productos tambi n lo son. la velocidad para c mares de alta definici n es muy recomendada.it is a recognized brand and quality of their products are too. the speed for high definition camar s is highly recommended.', 'es un producto que recomiendo ampliamente solo se instala en el telefono este lo formatea y listo esta en fincion para ser utilizado al 100', 'es una tarjeta micro guarda todas la caracter sticas descritas en la publicaci n llego en tiempo r cord, hasta el momento no he tenido ning n inconveniente', 'este fue una buena compras ha sido todo lo que esperaba del producto. fue un bueno producto. llego en el momento indicado.']"
1,"i highly recommend this little gem!! very confident with this brand. placed it to my e72, performed great. looking forward to long years of using this chip. and fairly cheap.","['great price for a great chip, it worked perfectly in my new smart phone. i swapped out a 4 gig chip with this one, and now i have lots of excess storage capacity.', 'love this chip,... bought this for my samsung s4, it works well and fast.... no issues with it, so i bought one for my mom....', 'this chip has done very well for my samsung galaxy note 2. i would highly recommend getting this brand. i have had other brands to have failed and taking all of my data with it.', ""hard to review this. it's an amazing little chip with huge capacity and it does what it's supposed to do. 5 stars."", 'we were going on vacation and i wanted to take a bunch of digital media for the long plane flights and for chilling during downtime. this chip took everything i needed and worked without issue. glad to see the 128gb chips on the market, looking forward to the 256gb ones!', ""can't beat the price and quality for the capacity. i always buy these chips from amazon. sandisk chips have worked well for me. no problems with read right, no lost data."", 'i experienced absolutely no problems with this memory chip. it came in undamaged, it connected to my phone immediately and worked flawlessly. i would highly recommend this chip!', 'a great chip and works fine in my camera and a tablet if you are just streaming music from it, but if you are putting this in in something high demand like a raspberry pi or cubox i the higher speed chips are better.', 'this chip is holding all my music and photos so they are ready to share with friends and family on my tablet. quick response and no drop outs or lags. price was amazing!!', 'i bought this chip to be used to increase the use of my smart phone and it has increased the memory. at least for now.', ""what can you say about a chip? it works, it's fast and has been trouble free. a great product at a great price."", ""i have found this chip works well even in conditions that aren't ideal. i bought a 16gb galaxy s 3 and tried this chip but the phone has a flaw with the 32gb microsoft chips so it worked for a month then would randomly eject the card when i didn't do anything."", 'this chip replaces my previously fried out offbrand microsd. so far it has performed flawlessly. if it fails, i will update the review. i have a droid razr m smartphone.', ""this chip is fast solid.there really isn't too much to say about this kind of memory. my most appealing aspect is the fact that it has a much faster access speed than many other sd cards."", ""got this for my cell phone, most likely more storage than i will ever need but at this price going with a lower capacity chip just wouldn't save that much money and didn't make sense. exactly as pictured worked without a problem."", 'i bought a new phone and got this chip because it was the largest the phone would accept. i keep a lot of pictures on it. 100 satisfied.', 'bought one for my gs3 phone and when i bought my wife the same got her one too. they seem to work seamlessly.perhaps over kill for us but cheaper per gig than smaller gig chips...', ""its amazing the amount of storage we are putting in micro chips these days. i use this for my dive camera taking videos and pictures. the chip hasn't let me down yet and no errors."", ""this chip is super fast. if you're going to use it in an android device, i recommend formatting it in ntfs."", 'great chip, bought it for use in my raspberry pi projects as linux hard drive.very fast.real deal.price was excellent.nice to get real chip, instead of cheap nock off, often sold as brand name card.', ""this is the second one of these chips that i received. the first either had a latent physical defect or damage in transit, but it snapped in half on first use. i was really bummed, but determined to try again. this was a breeze! the chip blazes, doubled the capacity of the 32 gb chip it replaced in my asus tf700t tablet, and holds all of my music and documents with plenty of room left over! i now have 128 gb available on my tablet, and it all works flawlessly.anyone that is looking to upgrade needs to do a little due diligence in determining that your device is able to address 64 gb's, but with that reservation, i strongly recommend this little gem!!"", 'very confident with this brand, never failed me ever since. placed it to my e72, performed great. looking forward to long years of using this chip.', 'and fairly cheap. it is a good microsd fast 64gb memory chip... flexible to be used in everything from just flat memory cards, or cameras, vids, etc...', 'tony the tiger has nothing on this deal. it was only 1 more for this chip than it is for the generic version from micro center, so i could not resist. i tossed this into a samsung galaxy note ii, which i also love.', ""i really wouldn't know how to rate a chip except to say that it works. it is obviously slower than a usb 3.0 flash drive but it is working well in my asus t100. i use it as my d drive for all data and scripts."", 'great price for the chip, fastest speed on the market, and fast service good job. 16gb is a great amount of storage for the price, even better than 32 or 64gb, great for cameras, phones, tablets, etc.', ""works as expected and was nice that it came with a holder. not sure what else you can say about a chip, either it works or it don't? one never knows until they use it for a while how it is working..."", 'you will notice that your camera, phone will work a lot faster. i was really surprised to see how much better all worked with this chip. you will be very happy.', 'is, what it says it is! great chip, fast, reliable. 6 months so far, not a single problem, and lots of handling too!', 'it does what it is made to do. it is hard to believe so much memory can be stored in such a small chip.']"
2,"garmin gps update told me that the entire map wouldn't fit us, canada and mexico. it said he could put the maps on an sd card to get the whole map set or else a portion of the lower 48 states it would not even fit the full us only. the refresh rate is so much faster than","[""my gps has plenty more space now to update it's maps. it works so that is all there is to know."", ""purchased this product for a new 7 34 garmin gps. the refresh rate is so much faster than on my wife's similar but smaller 5 34 garmin with class 4 memory."", 'received undamaged in protective package within delivery schedule of provided estimate. provided adapter not used. memory card inserted in garmin 5000 series gps. fit good. works good. did not test actual card speed.', ""it feels odd to give 5 stars to something that disappeared into a piece of electronics, but to be fair, it works as promised, and there is nothing wrong with it. i use it to store the digital map for my garmin 810 bike gps computer. the file is about 4gb in size. the map loads quickly in the garmin, and i have not had a problem with entering a bike route or navigating one. i have taken it out twice, a 42 mile ride and a 60 mile ride, and it worked flawlessly both times. 'nuff said."", 'was a really good price on amazon. i will be using this card to expand the memory in a garmin gps unit.', ""i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card."", ""i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit."", ""while updating maps for my nuvi 40 i received a message stating i needed more memory to download new versions of maps that i required.this was probably a bit of overkill, but the price was right, so i ordered one. two days later, i installed it and it worked flawlessly with mucho memory left for future needs. will be buying a few more of them for other uses, can't go wrong with this card!!!see ya'"", 'the recent map update on my garmin gps ran it out of memory. maps are getting more and more detailed. i used this to up the memory and got back to the full north america map. it cam with the adapter to fit my pc sd slot too.', ""i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it."", 'this item works great with the garmin dash cam 10 and garmin hand held topographic gps. good value deal for the money.', 'this is an amazing memory chip card. at less than half the size of a regular postage stamp, this card fits my garmin gps and allows me to take oodles of photos along for viewing. and, it comes with an adapter to allow using it in my pc with one of the many multi card readers. 32 gigabytes in such a tiny card and at a very reasonable price. highly recommended.', 'i needed extra storage in my garmin for additional topo maps and routes, and this card fits the bill. it comes with a standard sdhc adapter, as most microsdhc cards do. plenty of space for extra files on the gps. satisified with the purchase.', ""if there is anyone out there curious if this works on garmin's gpsmap line of handhelds, then yes! all 32gbs are recognized, and i am maxing this baby out with every map i can get my hands on! no issues at all.some forums may have you believe there is a 4gb limitation, but there simply isn't fat32 which is the format of the card, has a 4gb limit on file size, but that's fine as all individual garmin maps are under 4gb"", ""i went to update my garmin gps with the latest maps and it told me that the entire map wouldn't fit us, canada and mexico . it said i could put the maps on an sd card to get the whole map set or else i had to pick only a portion of the lower 48 states it wouldn't even fit the entire us only . t don't understand why as everything fit before.so, i picked up this sd card for the unit and it worked perfect. i now have the entire map set on the gps. i just have to always leave the sd card in the unit which for me, isn't a big deal as i wasn't using the sd card for anything else before."", 'this card works great with my garmin zumo gps unit. i mainly use it to hold vast numbers of songs, and it works great for that. it is fast enough that my nuvo has no difficulty accessing the memory and i note no slowdown in performance of the gps. comes with an adaptor so you can use it in a regular sd card reader. for my needs this one is perfect, hence the five star rating. rjb.', 'needed this to be able to update my garmin with canada and europe maps. did the job and at a great price.', ""bought for garmin gps. works very well. also has adapter for sdhc size memory card to plug into reader if you don't have a micro card reader""]"
3,easy to read instructions for what to store on device. won't show up if placed on any reader unable to format or cancel.it says it's blank.,"['slides right into devices with zero instructions needed, comes with reader. adds lots of storage space to your reader or other device. firmly snaps into place. easy to read on screen instructions for what to store on device and what to store on sd card.', 'dont even bother to try will not show up in finder and will not show up if placed on any reader', ""unable to read.it says it's blank.it then prompts to format or cancel.i clicked format but unable to format.""]"
4,"card adapter was purchased with a magic wand scanner that we use at work. it stores plenty of images, keeps up with the scanner, it works great, and it hasn't failed to store or transfer an image yet.","[""i don't think there is much i can say about this little card adapter. it was purchased with a magic wand scanner that we use at work to capture images with a quick swipe across a wall chart map. this card stores plenty of images, it keeps up with the scanner, the adapter works great, and it hasn't failed to store or transfer a image yet."", 'i was a little disappointed since it came without a box. so, where do i leave the adapter while the card is in the camera?']"
5,"samsung galaxy tab 2 7.0 had to be formatted in fat 32. you can fill it up with whatever you want, such as movies, tv shows, music, and share it with whoever you like if you have a microsd slot.","['installed in my samsung galaxy s4 at t for music, photos and video storage. works perfectly, never had a glitch in 6 months. formated as exfat', ""i had to format it as fat32, you can google for how to do that, but once you do, it works great. i'll never understand why people would ever buy a phone that doesn't have a microsd slot. with this you can fill it up with whatever you want, such as movies, tv shows, music, and share it with whoever you want. just pop it in your phone and you are all set for a long trip, airplane ride, etc. i never need to worry about running out of space when taking full hd videos either."", ""i used this for my samsung galaxy tab 2 7.0 . like the others are saying, it had to be formatted in fat 32. you can put your apps on your sd card with an app called link2sd . you just have to partition the sd card in order to be able to use it. whether you get this card or a smaller one, you need one period for the tab 2 because you can't do much without a wifi connection if you just have the internal memory and you want to download a lot of apps.""]"
6,samsung captivate glide bought this directly through amazon at usd 60 only for my. calc in bytes! 59gb to be exact when calculating the transfer speed.,"[""downloaded eraseus and formatted to fat32 with 32k clusters. mounted to either 7 or 10 with no problem, see nada instability. but that's not the coool thing. i actually have two of these. one is in the sd slot, one is in the power port via the samsung sd usb adapter. soooo, my 16g 10 is actually a 145gb 10. i can't imagine what i will actually do with all that, but i have it. maybe run a linux port and web server just because i can . too bad about that external storage limit on ios...."", 'this was immediately recognized by my windows 8.1 laptop. i had to re format this from exfat to fat32 in order to have it be recognized by my samsung note 2 and my 7 34 android tablet.it took a long time to transfer 25 gb of video files from laptop ssd hard drive over to the sdxc card i imagined that it would happen more quickly. .. but it did work smoothly.overall, this is what i wanted and it was a great deal for the price!', 'got it exactly what it was displayed and described. bought this directly through amazon at usd 60 only for my samsung captivate glide. all u need to do is to format it with your phone and voila! 59gb to be exact when calc in bytes ! not a big fan for the transfer speed but it does satisfy my desire of putting one in my phone. buying thru amazon bulk purchase is cheaper but requires u to wait longer for the shipment. but for my case it was faster than expected. a very happy customer.']"
7,fast shipping delivered as described.phone did not recognize the card right away. it showed capacity of 32gb to get the full capacity on the computer but it shows capacity - 64gB. once formatted it works great.,"['fast shipping delivered as described.phone did not recognize the card right away. i had to format it as fat32 on the computer but it showed capacity of 32gb. to get the full capacity i had to format it again on the phone exfat format now shows 64gb.excellent capacity for lots of media files documents.', 'i bought this for my galaxy s4. you need to reformat it to fat32 32kb cluster size to fully take advantage of it in the phone but once you do it works great. i copied everything from my ipod about 40gb to it and now i can stop carrying 2 devices around.', 'works great, my phone detected and let me format it to fat32 with no additional tools. once formatted its 59gb you lose some in the conversion metric from gib to gb. bought it for my motorola droid x first generation phone, i wanted to use it as a media player and it works wonderfully and has lots of storage for my movies, music, games and books. its a class 10 card so its also very fast, certainly faster than the stock card.']"
8,"windows, by default, will only allow you to format the card as exfat or ntfs. it still works great with android and it arrived promptly in good condition in excellent condition. if you use fat32 as the filesystem, you can use it for older devices.","[""there really isn't a whole lot to say about this. the amount of storage space is fantastic.there are options for using this on older devices, that don't necessarily support microsdxc formats. windows, by default, will only allow you to format the card as exfat or ntfs. these formats will work for most new devices, but some may have issue.if you use fat32 as the filesystem instead, you can use this card for older devices, and it still works great with android. i've been using this card on my old sandisk sansa fuze running rockbox and it works great. i was not expecting that, but i am very happy with it!"", ""the card arrived promptly in good condition. i don't use exfat so i reformatted it to ntfs but fyi some for example cameras only recognize fat32 so keep that in mind. i have used this for a few months now and have had absolutely no issues. a great value imho.""]"
