cluster_id,summary,original_reviews
-1,micro sd card is fast enough to meet my needs on a galaxy note 3. i bought this card for use with my cell phone about 5 months ago and it worked really well and transfers the data at an affordable rate. no complaints. it recognized it immediate and right after he was able to transfer 20gb of videos music to my,"['great sandisk micro sd card. havent had anyproblems with this one. its fast and it loads good. i approve this', ""great sd card. i use it in a galaxy s3, and have no complaints.its quite fast, and works. i don't know what else to say.you can't go wrong with sandisk."", ""i've always bought sandisk sd cards, and have never been disappointed. this one is no exception. i'm using it in my galaxy s iii and have no problems. transfer speeds are as advertised. great card, great price."", ""i use this card in my smartphone and it works great. it's fast and roomy i got the 16gb version enough to store all the music and video i need. it was immediately recognized by my samsung smartphone when i put it in about 6 months ago and i've had no reason to take it out ever since."", 'the memory sandisk ultra 64gb micro sdxc class 10 uhs it has been working really good and it is fast at loading my content i would really recommend this product to anyone that needs a memory card for their phones, tablets and more.', 'i love this memory card, i use it with my galaxy s 2 smartphone and couldnt be happier, its very fast, when i take photos the phone doesnt stutter like it did with my old memory card, a definive must buy if your a power user and can afford it.', 'great buy for this sandisk 16 gb memory. worked well in my samsung s4 smartphone. i mainly use the extra memory to save photos and music. like the adapter that i use frequently to copies files to my desk top pc.', 'this is a very fast and reliable microsd card. i used this on my galaxy note 2 and loaded movies and family pictures. transfer time is speedy!', ""card works great. it shipped very quickly. it doesn't hold 64gb of data, more like 59gb but either way it gives me all the space i need on my phone for music and pictures."", ""what is there to say? it's a nice big, cheap, effective, micro sd card. i use it in my galaxy note 8.0 for extra storage and it works fine."", 'awesome little sd card, my phone is 32gb but i still wanted more for music and videos and this totally works great, as soon as i put it on my phone read it and also it is fast.. i am happy with my purchase..', 'there are a lot of other reviews on this memory card. my only addition is that it worked perfectly the moment i put it into my s4 no formatting issues, nothing ... it just worked. also nice that it comes with an sd adapter.', 'this card is fast enough to meet my needs on a galaxy note 3. plenty of memory for my pictures and files. no problems', 'i love this card, its way faster than any other micro sd i have ever owned. i can transfer roms like nothing on my galaxy s4. when i had the old microsd that comes with every droid phones, that use to take for ever.high recommend this one.', 'i bought this sd card for use with my cell phone. it worked really well and as far as i could tell, transfers the data at a fast rate. no complaints.', ""i put this in my galaxy note ii and put a bunch of music and pdfs on it. i also used it to save videos and photos. it worked well for about 2 months then, on christmas day today , it said that there was an error reading the card and the card was now blank. my phone no longer recognizes the card and even putting it into its adapter and sticking it in the sdhc reader of my laptop doesn't work.if this is sandisk quality, then i am not impressed. i am going to have to deal with their warranty replacement but i'd rather have a refund than get another card that might fail after 2 months..."", 'i bought this micro sd card for my galaxy note 2 about 5 months ago and its been great. plug and play with no problems. it recognized it immediate and right after i was able to transfer 20gb of videos music to my phone right away. the transfer speed is good and is what i was expecting from reading guides on these type of sd cards. this is a good product and i recommend it to anyone looking for a sd card.', 'not too much to say about the card, other than it works well in my samsung galaxy s4. the price was great for such large storage and i believe you will be very happy with your purchase.', 'this little sd card is pretty amazing. it is really fast and there was no issues when installing it. it even came with an adapter so you can use it as a regular sd card.', 'i have always had good luck with sandisk memory cards. this one is no exception. fast works great in my galaxy s4 and never a problem with any i have purchased.', 'works flawlessly. i dont buy any sd cards unless its from sandisk. never had a problem with them and i know their class speeds are true or under rated compared to other brands.', 'good write performance. it sped up the time to load my pictures as well. this was a good buy. there are lots of manufacturers for memory cards but i feel most confident with sandisk.', 'i love this micro sd card. awesome amount of space and just plain ole reliable. you dont find to many products like that nowadays.', 'got this for my phone and it works great so far. transferred music and pictures super fast from my computer to the card. needed more memory and this is perfect.', 'love this 32gb micro sd card. i put it in my samsung galaxy note phone. i just returned from a 3 day trip where i used it as my camera video recorder. i kept it on hd quality the whole time. no problems at all. the only reason i did not give it a 5 star rating was because it actually only had 29gb of space instead of 32. if that is the norm then please excuse my ignorance!', 'awesome microsd card.. no issues and i have several of these and has performed well in my gopro, sg4 and note 2.', ""hard to review this as the card arrived doa. couldn't write to it at all, and it wouldn't format. i returned it and amazon was great about the credit. i've owned several sandisk memory cards and they have all performed well and i was a little surprised that this one failed out of the box. i'd read a good review of the samsung 64gb micro card and i bought that instead. very pleased with it."", 'class 10 16 gb perfect for my phone. never use anything less than a class 10 in a phone because you will have lag times waiting for the card to respond, for 13 shipped to your front door how can you go wrong? sandisk has been good for me for many years. recommended.', ""i had purchased this card for my wife's phone. she is in love with it as this helped her store all her ebooks, songs, few of her all time 34 to go to 34 movies and her office docs etc. on that new card. the card came, i formated it and installed it. rebooted the phone and it works... phone was able to see new extpned storage and worked right away. its an awesome card fast read and write. highly recommanded for anyone looking to expend their degital storage.chers!"", 'i am very happy with this micro sd. i could tell the difference in the response time in my bb curve as well as my asus tablet. if you want something that can transfer files photos, videos, and music faster this is the micro sd card for you. now i will say this there are faster cards out there but not at this price. this does the trick for my devices. now it you are a professional photographer you might want to go with the ultra 3 micro sd but if you are an everyday user this will work wonders for you device.']"
0,garmin zumo gps has 32 gigabytes in a tiny card. it comes with an adapter so you can use it in my pc with one of the many multi card readers - and it works great for that!,"[""i use this card in my 7 34 igo gps. the gps came with a couple of gb onboard, but that was quickly used up by wince 6 and that gps software. since this device also plays mp3s, i wanted more space.i read the meager documentation that came with the device to see if it could handle a 16gb card. i was pretty sure it would handle an 8gb card, but one never knows with these ever changing specifications. unfortunately, the documentation for this device was meager and written in pidgin english.ok, i'll buy it and give it a try. at worst, i swap out my 8gb card from a different device, which hopefully will handle the 16gb card.well, too make a long story short too late for that, eh? , the 16gb card works just fine. i put a bunch of my mp3s on the card, put it into the device, and sure enough, it recognizes and plays them.so, pretty much a done deal. for the price, for the ease of use, for the name brand, i recommend this little card."", ""purchased this product for a new 7 34 garmin gps. the refresh rate is so much faster than on my wife's similar but smaller 5 34 garmin with class 4 memory."", 'i got this for my handheld gps. it stores data not already stored in the main memory.', ""it feels odd to give 5 stars to something that disappeared into a piece of electronics, but to be fair, it works as promised, and there is nothing wrong with it. i use it to store the digital map for my garmin 810 bike gps computer. the file is about 4gb in size. the map loads quickly in the garmin, and i have not had a problem with entering a bike route or navigating one. i have taken it out twice, a 42 mile ride and a 60 mile ride, and it worked flawlessly both times. 'nuff said."", 'was a really good price on amazon. i will be using this card to expand the memory in a garmin gps unit.', ""i'm using this in a gps system. i've found that they eventually run out of space and can no longer be updated until you insert a micro sd card, so i got it ahead of time in order to avoid that moment of panic when it arrives."", ""i purchased this micro memory card for my gps. when i updated the maps recently, the gps ran out of room and i could no longer put the entire us map in it. this card fits neatly into the gps slot, and adds enough memory for the gps to work. i haven't had this fix in place for long, so don't know about how well it will continue to work. the adapter looks to be handy if i have another use for the card."", ""i purchased this product to install in my garmin gps unit, since it was full and couldn't handle the new map updates. easily and securely installed, this memory card promises to provide a long life to my gps unit."", ""while updating maps for my nuvi 40 i received a message stating i needed more memory to download new versions of maps that i required.this was probably a bit of overkill, but the price was right, so i ordered one. two days later, i installed it and it worked flawlessly with mucho memory left for future needs. will be buying a few more of them for other uses, can't go wrong with this card!!!see ya'"", 'the recent map update on my garmin gps ran it out of memory. maps are getting more and more detailed. i used this to up the memory and got back to the full north america map. it cam with the adapter to fit my pc sd slot too.', ""i got the 16gb card for my garmin gps. the gps's memory could be expanded so that more maps and info could be saved. the memory card works as described. i've used sandisk for many electronics and i have never had a problem. they are sometimes a little more expensive than other brands but i think the little extra is worth it."", 'this is an amazing memory chip card. at less than half the size of a regular postage stamp, this card fits my garmin gps and allows me to take oodles of photos along for viewing. and, it comes with an adapter to allow using it in my pc with one of the many multi card readers. 32 gigabytes in such a tiny card and at a very reasonable price. highly recommended.', 'i needed extra storage in my garmin for additional topo maps and routes, and this card fits the bill. it comes with a standard sdhc adapter, as most microsdhc cards do. plenty of space for extra files on the gps. satisified with the purchase.', ""if there is anyone out there curious if this works on garmin's gpsmap line of handhelds, then yes! all 32gbs are recognized, and i am maxing this baby out with every map i can get my hands on! no issues at all.some forums may have you believe there is a 4gb limitation, but there simply isn't fat32 which is the format of the card, has a 4gb limit on file size, but that's fine as all individual garmin maps are under 4gb"", ""i went to update my garmin gps with the latest maps and it told me that the entire map wouldn't fit us, canada and mexico . it said i could put the maps on an sd card to get the whole map set or else i had to pick only a portion of the lower 48 states it wouldn't even fit the entire us only . t don't understand why as everything fit before.so, i picked up this sd card for the unit and it worked perfect. i now have the entire map set on the gps. i just have to always leave the sd card in the unit which for me, isn't a big deal as i wasn't using the sd card for anything else before."", 'this card works great with my garmin zumo gps unit. i mainly use it to hold vast numbers of songs, and it works great for that. it is fast enough that my nuvo has no difficulty accessing the memory and i note no slowdown in performance of the gps. comes with an adaptor so you can use it in a regular sd card reader. for my needs this one is perfect, hence the five star rating. rjb.', 'needed this to be able to update my garmin with canada and europe maps. did the job and at a great price.', ""bought for garmin gps. works very well. also has adapter for sdhc size memory card to plug into reader if you don't have a micro card reader""]"
1,i bought this for my mp3 player and it works great for moving music around. it came with the adapter for card readers because cheaper ones don't - it's a bonus for me to use it with my old 8 gb micro in my digital camera!,"['i placed this memory card in my bluetooth speaker, i then loaded it up with different genders of music and it plays beatifully.', ""i bought this for my mp3 player and it works great for moving music around. i like the fact it came with the adapter for card readers because cheaper ones don't."", 'i bought this to increase the music capacity of my mp3 player. as a bonus i can use the adapter with my old 8 gb micro in my digital camera.', 'i bought this to use with a portable radio that accepts the micro memory card. the 581 pieces of music i put on it took up less than 4 gig so i have used it with the adapter in a camera as well. it does the job']"
2,this is a great 32 sd card. it works real good for my mp3 and p4 4matic songs.,"[""this card is great. it's really fast compared to common cards even from sandisk, kingston, etc.if you need to copy files to your card in the shortest time, then this is the right one.it 8217 s reliable, never missed a photo or music file.5 stars well deserved."", ""this is a great 32 sd card it works real good for my samsong rush and it hold a lot of pictures a lot of videos a lot mp 3 and mp4 4matic songs this is a good sd card i would recommend it to everybody that's why i gave it 5 stars"", ""the card works as expected. as long as i don't loose my data prematurely this will get 5 stars. overall, recommended.""]"
3,"meenova adapter and nexus media importer i make use of this for extra storage of media files music, audiobooks and movies for my two models. the roku 2 xs recognizes and formatted it and is a great way to store some of the media for streaming but it's not the only option","['in conjunction with the meenova adapter and nexus media importer i make use of this for extra storage of media files music, audiobooks and movies for my two nexus models. i removed it from the package, copied a video file from my laptop and played it on my nexus without any problems or delay.', ""i put it in my new roku 2 xs and it seemed to work that is, it recognized and formatted it. i'm hoping to use my roku for music and video. i suppose that mostly i'll be streaming but i thought i'd give myself the option of locally storing some of the media.""]"
4,"only 29.7gb of usable storage.arrived 20th of june, no problems so far.crystal disk mark seqread 19.1, write 9.3512kread 192, write 0.74Kread 3.0 works as advertised. using this with q10 which supports only 32gg.","['only 29.7gb of usable storage.arrived 20th of june, no problems so far.crystal disk mark seqread 19.1, write 9.3512kread 19.2, write 0.74kread 3.5, write 1.2', 'works as advertised. using this with q10 which supports only 32gb. so far no issues. totally happy with the purchase.', 'what you buy this for is in there. 32 gb fast writing speed etc. happy with product. no issues yet']"
5,i will buy more of these disks the disk keeps up with the data input. it responds to the computer readily. we believe in this products san disk if we need more we do not hesitate to buy another one.,"['for its size, this little disk is absolutely amazing. it does everything as advertised and then some. i will buy more of these disks', ""the disk keeps up with the data input, it's neat and compact, it responds to the computer readily. i really like it. might get another one and i'd recommend it to a friend anytime."", 'nice product very helpfully . we believe in this products san disk if we need more we do not hesitate to buy another one.', 'what can you say about a disk. it is doing the work that it was made to do. i am happy with it.']"
6,"best best productreliableown a fewone isnt enoughgood price i guesswill prob buy more at some point what more cani say. they always work for me. at one time, they were more expensive than other brands.","[""i've used a number of these. just bought some more. they're well rated. they've always worked well for me. good price."", 'best best best productreliableown a fewone isnt enoughgood price i guesswill prob buy more at some point', 'what more can i say. they always work for me. at one time, they were more expensive than other brands. if you look for deals, that is no longer true.']"
7,the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. it is every bit as fast as the internal esodge - and it might be faster than the minidrive air.,"[""i use this in tandem with a niftydrive on my macbook pro. for those of you who don't know, the nifty drive is a small adapter made from machined aluminum that fits seamlessly into your mac's ssd slot. with a 128 gb micro ssd you can add hard drive space very inexpensively. i put my entire dropbox folder over 100 gbs on this thing, and it is every bit as fast as the mac's internal ssd. in fact, i think it might be faster."", 'i was really excited when this came out i have a mac air and a lot of music and film on it so the ability to stick this in my minidrive was great, it was that or buy a 128gb minidrive air which is like 30 more that this and i already had a minidrive. problem is its not very fast, not fast enough, my girlfriend has a new 128gb minidrive and it runs way faster than this in my old adapter and new sandisk 128. its great though 128gb in this little chip glad its out cause now its just a matter of time before they make it better.thanks', 'i bought this to go along with a nifty minidrive pro, and have not been disappointed. it really holds the full 128, and the data transfer speeds are great. i used it to keep all of the media from my itunes library, and have not had any issues with playback or lag. i really recommend this if you want to add a quick 128 to your mbp.']"
8,3 32gb micro memory cards for the kids tablets work in those 2 devices. the 128gbe will try the faster version of those also.,"['bought 3 32gb micro memory cards for the kids tablets. the kids love the extra memory although they do need new tablets now.', 'i bought these for my kids tablets and for their action cameras. they work in those 2 devices. some other devices seem to like the slower cards.', ""i bought these in hopes to replace my standard sandisk 64gb models for quickness. i'm not saying they are lightning fast, but they are definitely faster than the standard version. i bought one for each of my phones and my tablets, they work great. when the 128gb is available, i will try the faster version of those also.""]"
