cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
-1,0.4622369706630707,0.35423704981803894,0.0,,0.25,cluster_minilm_hdbscan_100,0.5087684988975525,0.34905216097831726,0.2,,0.8333333333333334,,,,,
0,0.5164473056793213,0.28202465176582336,0.0,0.7,1.0,cluster_minilm_hdbscan_100,0.5446160435676575,0.358163058757782,0.0,0.7,0.8333333333333334,0.451341837644577,0.0,0.1,,3.0
1,0.2662734091281891,0.1839161366224289,0.0,0.2,0.0,cluster_minilm_hdbscan_100,0.43094485998153687,0.26356270909309387,0.0,0.3,0.18181818181818182,0.22554993629455566,0.0,0.0,,0.0
2,0.5064265131950378,0.10198649764060974,0.0,0.0,0.25,cluster_minilm_hdbscan_100,0.5502272844314575,0.3355521857738495,0.0,0.1,0.5,0.41393887996673584,0.0,0.1,,1.0
3,0.5186876058578491,0.2803592383861542,0.1,0.7,0.75,cluster_minilm_hdbscan_100,0.5786808133125305,0.24481892585754395,0.2,0.5,0.7777777777777778,0.441550612449646,0.0,0.0,,1.0
4,0.500177264213562,0.23021714389324188,0.0,0.6,1.0,cluster_minilm_hdbscan_100,0.579135000705719,0.27144721150398254,0.1,0.5,0.8260869565217391,0.5525134205818176,0.0,0.0,,2.0
-1,0.44898611307144165,0.08011525124311447,0.0,,0.6666666666666666,cluster_minilm_hdbscan_2,0.489463210105896,0.17908377945423126,0.1,,0.6666666666666666,,,,,
0,0.6722094416618347,0.25311875343322754,0.0,0.6,0.3333333333333333,cluster_minilm_hdbscan_2,0.7274023294448853,0.24400094151496887,0.0,1.0,0.6,0.4319649338722229,0.0,0.0,,0.0
1,0.4837649166584015,0.3032330870628357,0.0,0.6,0.5,cluster_minilm_hdbscan_2,0.5857751369476318,0.35973498225212097,0.2,0.9,0.8571428571428571,0.466475248336792,0.0,0.0,,0.0
2,0.6121528744697571,0.13904115557670593,0.0,0.1111111111111111,0.4,cluster_minilm_hdbscan_2,0.7766010165214539,0.21839527785778046,0.0,1.0,0.5,0.4337339401245117,0.0,0.0,,1.0
3,0.6834830045700073,0.7101526260375977,0.0,0.5,2.0,cluster_minilm_hdbscan_2,0.7092441320419312,0.39699849486351013,0.1,0.8,1.6,0.6401313543319702,0.0,0.1,,2.0
4,0.7357484102249146,0.11555363982915878,0.0,0.8,0.5,cluster_minilm_hdbscan_2,0.8047884106636047,0.23493081331253052,0.0,1.0,0.3333333333333333,0.5166419148445129,0.0,0.0,,1.0
5,0.047444310039281845,0.7258619666099548,0.0,0.0,0.3333333333333333,cluster_minilm_hdbscan_2,0.5189586281776428,0.15330928564071655,0.2,0.5555555555555556,0.5833333333333334,0.3649559020996094,0.0,0.1,,1.0
6,0.4946056306362152,0.47672131657600403,0.0,0.8,2.5,cluster_minilm_hdbscan_2,0.5890156030654907,0.2981453537940979,0.1,1.0,1.2222222222222223,0.5159789323806763,0.0,0.0,,2.0
7,0.498028039932251,0.3471073508262634,0.0,0.0,1.0,cluster_minilm_hdbscan_2,0.6584805250167847,0.5288492441177368,0.0,0.4444444444444444,0.0,0.22472979128360748,0.0,0.0,,0.0
8,0.3506457507610321,0.11015324294567108,0.0,0.1,0.0,cluster_minilm_hdbscan_2,0.5954568982124329,0.25007593631744385,0.2,0.7,0.4444444444444444,0.48762351274490356,0.0,0.0,,1.0
9,0.6461445093154907,0.2655116021633148,0.1,0.6,1.5,cluster_minilm_hdbscan_2,0.7593386173248291,0.20014552772045135,0.1,0.9,0.5833333333333334,0.5163775682449341,0.0,0.0,,1.0
10,0.5765594840049744,0.2399156093597412,0.1,0.3333333333333333,1.0,cluster_minilm_hdbscan_2,0.6169811487197876,0.37868666648864746,0.1,0.5555555555555556,2.0,0.3905583918094635,0.0,0.0,,2.0
11,0.4959508180618286,0.19739116728305817,0.0,0.8,0.5,cluster_minilm_hdbscan_2,0.5575276017189026,0.3256279230117798,0.1,0.6,0.3333333333333333,0.5296144485473633,0.0,0.0,,0.0
12,0.640964150428772,0.36992576718330383,0.0,0.7777777777777778,0.5,cluster_minilm_hdbscan_2,0.7389011383056641,0.16216374933719635,0.1,0.5555555555555556,0.38461538461538464,0.5161920189857483,0.0,0.0,,0.0
