cluster_id,ivd_t5,pairs_t5,sentences_t5,file_id,ivd_centroid,pairs_centroid,sentences_centroid,ivd_keybert,pairs_keybert,sentences_keybert
-1,0.3333333333333333,1,3,cluster_bge_hdbscan_30,0.45454545454545453,5,11,,,
0,1.6666666666666667,5,3,cluster_bge_hdbscan_30,7.666666666666667,23,3,7.0,7.0,1.0
1,0.6666666666666666,2,3,cluster_bge_hdbscan_30,1.1428571428571428,8,7,0.0,0.0,1.0
2,1.3333333333333333,4,3,cluster_bge_hdbscan_30,1.0,10,10,0.0,0.0,1.0
3,0.5,1,2,cluster_bge_hdbscan_30,0.8571428571428571,6,7,0.0,0.0,1.0
4,1.3333333333333333,4,3,cluster_bge_hdbscan_30,0.9090909090909091,10,11,0.0,0.0,1.0
5,1.0,2,2,cluster_bge_hdbscan_30,1.4444444444444444,13,9,0.0,0.0,1.0
6,7.5,15,2,cluster_bge_hdbscan_30,1.5454545454545454,17,11,0.0,0.0,1.0
7,0.5,2,4,cluster_bge_hdbscan_30,0.6666666666666666,4,6,0.0,0.0,1.0
8,0.5,1,2,cluster_bge_hdbscan_30,0.7777777777777778,7,9,0.0,0.0,1.0
9,3.5,7,2,cluster_bge_hdbscan_30,1.3333333333333333,8,6,0.0,0.0,1.0
10,0.0,0,2,cluster_bge_hdbscan_30,1.0,5,5,0.0,0.0,1.0
11,0.6666666666666666,2,3,cluster_bge_hdbscan_30,0.7777777777777778,7,9,2.0,2.0,1.0
12,2.0,4,2,cluster_bge_hdbscan_30,1.25,5,4,0.0,0.0,1.0
13,2.0,4,2,cluster_bge_hdbscan_30,1.125,9,8,0.0,0.0,1.0
14,0.6666666666666666,2,3,cluster_bge_hdbscan_30,1.2222222222222223,22,18,0.0,0.0,1.0
15,4.0,16,4,cluster_bge_hdbscan_30,1.6,16,10,10.0,10.0,1.0
16,0.0,0,2,cluster_bge_hdbscan_30,1.0,8,8,0.0,0.0,1.0
17,1.5,3,2,cluster_bge_hdbscan_30,0.9090909090909091,10,11,0.0,0.0,1.0
18,1.5,3,2,cluster_bge_hdbscan_30,1.4285714285714286,10,7,5.0,5.0,1.0
19,2.0,4,2,cluster_bge_hdbscan_30,0.9,9,10,0.0,0.0,1.0
20,0.3333333333333333,1,3,cluster_bge_hdbscan_30,0.6666666666666666,6,9,0.0,0.0,1.0
21,0.3333333333333333,1,3,cluster_bge_hdbscan_30,0.7142857142857143,5,7,0.0,0.0,1.0
22,0.6666666666666666,2,3,cluster_bge_hdbscan_30,1.875,15,8,0.0,0.0,1.0
23,4.5,9,2,cluster_bge_hdbscan_30,1.5,12,8,3.0,3.0,1.0
24,0.5,1,2,cluster_bge_hdbscan_30,1.3,26,20,0.0,0.0,1.0
25,1.6666666666666667,5,3,cluster_bge_hdbscan_30,0.8,12,15,0.0,0.0,1.0
26,0.6666666666666666,2,3,cluster_bge_hdbscan_30,1.1428571428571428,8,7,2.0,2.0,1.0
27,1.0,3,3,cluster_bge_hdbscan_30,1.0,5,5,0.0,0.0,1.0
-1,0.6666666666666666,2,3,cluster_bge_hdbscan_40,1.0,9,9,,,
0,3.3333333333333335,10,3,cluster_bge_hdbscan_40,1.375,11,8,0.0,0.0,1.0
1,0.3333333333333333,1,3,cluster_bge_hdbscan_40,1.0,6,6,0.0,0.0,1.0
2,1.0,2,2,cluster_bge_hdbscan_40,1.4444444444444444,13,9,0.0,0.0,1.0
3,7.5,15,2,cluster_bge_hdbscan_40,1.5454545454545454,17,11,0.0,0.0,1.0
4,0.5,2,4,cluster_bge_hdbscan_40,0.6666666666666666,4,6,0.0,0.0,1.0
5,0.5,1,2,cluster_bge_hdbscan_40,0.7777777777777778,7,9,0.0,0.0,1.0
6,1.5,3,2,cluster_bge_hdbscan_40,1.6666666666666667,10,6,0.0,0.0,1.0
7,3.5,7,2,cluster_bge_hdbscan_40,1.3333333333333333,8,6,0.0,0.0,1.0
8,0.0,0,2,cluster_bge_hdbscan_40,1.0,5,5,0.0,0.0,1.0
9,0.6666666666666666,2,3,cluster_bge_hdbscan_40,0.7777777777777778,7,9,2.0,2.0,1.0
10,2.0,4,2,cluster_bge_hdbscan_40,1.25,5,4,0.0,0.0,1.0
11,2.0,4,2,cluster_bge_hdbscan_40,1.125,9,8,0.0,0.0,1.0
12,0.6666666666666666,2,3,cluster_bge_hdbscan_40,1.2222222222222223,22,18,0.0,0.0,1.0
13,4.0,16,4,cluster_bge_hdbscan_40,1.6,16,10,10.0,10.0,1.0
14,0.0,0,2,cluster_bge_hdbscan_40,1.0,8,8,0.0,0.0,1.0
15,1.5,3,2,cluster_bge_hdbscan_40,0.9090909090909091,10,11,0.0,0.0,1.0
16,0.0,0,3,cluster_bge_hdbscan_40,1.0769230769230769,14,13,4.0,4.0,1.0
17,1.5,3,2,cluster_bge_hdbscan_40,1.4285714285714286,10,7,5.0,5.0,1.0
18,2.0,4,2,cluster_bge_hdbscan_40,0.9,9,10,0.0,0.0,1.0
19,0.3333333333333333,1,3,cluster_bge_hdbscan_40,0.6666666666666666,6,9,0.0,0.0,1.0
20,1.6666666666666667,5,3,cluster_bge_hdbscan_40,0.8,12,15,0.0,0.0,1.0
21,4.0,12,3,cluster_bge_hdbscan_40,2.0,10,5,0.0,0.0,1.0
-1,1.0,3,3,cluster_bge_hdbscan_50,1.0,9,9,,,
0,3.3333333333333335,10,3,cluster_bge_hdbscan_50,1.375,11,8,0.0,0.0,1.0
1,0.3333333333333333,1,3,cluster_bge_hdbscan_50,1.0,6,6,0.0,0.0,1.0
2,1.0,2,2,cluster_bge_hdbscan_50,1.4444444444444444,13,9,0.0,0.0,1.0
3,7.5,15,2,cluster_bge_hdbscan_50,1.5454545454545454,17,11,0.0,0.0,1.0
4,0.5,2,4,cluster_bge_hdbscan_50,0.6666666666666666,4,6,0.0,0.0,1.0
5,0.5,1,2,cluster_bge_hdbscan_50,0.7777777777777778,7,9,0.0,0.0,1.0
6,1.5,3,2,cluster_bge_hdbscan_50,1.6666666666666667,10,6,0.0,0.0,1.0
7,3.5,7,2,cluster_bge_hdbscan_50,1.3333333333333333,8,6,0.0,0.0,1.0
8,0.3333333333333333,1,3,cluster_bge_hdbscan_50,2.25,9,4,0.0,0.0,1.0
9,0.0,0,2,cluster_bge_hdbscan_50,1.0,5,5,0.0,0.0,1.0
10,0.6666666666666666,2,3,cluster_bge_hdbscan_50,0.7777777777777778,7,9,2.0,2.0,1.0
11,0.6666666666666666,2,3,cluster_bge_hdbscan_50,1.2222222222222223,22,18,0.0,0.0,1.0
12,,0,0,cluster_bge_hdbscan_50,0.5,11,22,5.0,5.0,1.0
13,4.0,16,4,cluster_bge_hdbscan_50,1.6,16,10,10.0,10.0,1.0
14,0.0,0,2,cluster_bge_hdbscan_50,1.0,8,8,0.0,0.0,1.0
15,1.5,3,2,cluster_bge_hdbscan_50,0.9090909090909091,10,11,0.0,0.0,1.0
16,0.0,0,3,cluster_bge_hdbscan_50,1.0769230769230769,14,13,4.0,4.0,1.0
17,1.5,3,2,cluster_bge_hdbscan_50,1.4285714285714286,10,7,5.0,5.0,1.0
18,1.6666666666666667,5,3,cluster_bge_hdbscan_50,0.8,12,15,0.0,0.0,1.0
19,4.0,12,3,cluster_bge_hdbscan_50,2.0,10,5,0.0,0.0,1.0
0,1.0,2,2,cluster_bge_kmeans_10,1.2857142857142858,9,7,0.0,0.0,1.0
1,2.3333333333333335,7,3,cluster_bge_kmeans_10,1.0,6,6,0.0,0.0,1.0
2,1.0,1,1,cluster_bge_kmeans_10,1.375,11,8,0.0,0.0,1.0
3,0.0,0,2,cluster_bge_kmeans_10,0.6666666666666666,14,21,0.0,0.0,1.0
4,0.0,0,2,cluster_bge_kmeans_10,1.3846153846153846,18,13,0.0,0.0,1.0
5,23.0,23,1,cluster_bge_kmeans_10,2.0,18,9,0.0,0.0,1.0
6,1.5,3,2,cluster_bge_kmeans_10,0.7142857142857143,10,14,5.0,5.0,1.0
7,0.5,1,2,cluster_bge_kmeans_10,1.6666666666666667,10,6,0.0,0.0,1.0
8,1.5,3,2,cluster_bge_kmeans_10,1.3,13,10,0.0,0.0,1.0
9,3.5,7,2,cluster_bge_kmeans_10,2.0,10,5,0.0,0.0,1.0
0,9.0,18,2,cluster_bge_kmeans_15,3.2857142857142856,23,7,5.0,5.0,1.0
1,1.5,3,2,cluster_bge_kmeans_15,1.0,6,6,0.0,0.0,1.0
2,2.0,4,2,cluster_bge_kmeans_15,1.5,9,6,6.0,6.0,1.0
3,2.0,4,2,cluster_bge_kmeans_15,0.8888888888888888,8,9,0.0,0.0,1.0
4,2.3333333333333335,7,3,cluster_bge_kmeans_15,1.3846153846153846,18,13,0.0,0.0,1.0
5,1.6666666666666667,5,3,cluster_bge_kmeans_15,2.5454545454545454,28,11,0.0,0.0,1.0
6,1.0,3,3,cluster_bge_kmeans_15,1.1666666666666667,7,6,0.0,0.0,1.0
7,1.0,2,2,cluster_bge_kmeans_15,1.6666666666666667,10,6,0.0,0.0,1.0
8,1.0,2,2,cluster_bge_kmeans_15,1.1428571428571428,8,7,0.0,0.0,1.0
9,1.0,3,3,cluster_bge_kmeans_15,1.75,14,8,0.0,0.0,1.0
10,1.3333333333333333,4,3,cluster_bge_kmeans_15,0.5,11,22,5.0,5.0,1.0
11,1.0,3,3,cluster_bge_kmeans_15,1.3333333333333333,8,6,0.0,0.0,1.0
12,3.6666666666666665,11,3,cluster_bge_kmeans_15,1.1428571428571428,8,7,0.0,0.0,1.0
13,2.0,4,2,cluster_bge_kmeans_15,1.3,13,10,0.0,0.0,1.0
14,2.3333333333333335,7,3,cluster_bge_kmeans_15,1.0,6,6,0.0,0.0,1.0
0,0.0,0,2,cluster_bge_kmeans_20,0.7777777777777778,7,9,0.0,0.0,1.0
1,3.0,6,2,cluster_bge_kmeans_20,1.1,11,10,0.0,0.0,1.0
2,2.0,6,3,cluster_bge_kmeans_20,0.5,6,12,5.0,5.0,1.0
3,0.6666666666666666,2,3,cluster_bge_kmeans_20,0.75,9,12,0.0,0.0,1.0
4,2.3333333333333335,7,3,cluster_bge_kmeans_20,1.3846153846153846,18,13,0.0,0.0,1.0
5,1.5,3,2,cluster_bge_kmeans_20,1.6666666666666667,10,6,0.0,0.0,1.0
6,1.0,2,2,cluster_bge_kmeans_20,1.1,11,10,4.0,4.0,1.0
7,1.5,3,2,cluster_bge_kmeans_20,1.1538461538461537,15,13,2.0,2.0,1.0
8,1.0,1,1,cluster_bge_kmeans_20,1.4285714285714286,10,7,0.0,0.0,1.0
9,1.3333333333333333,4,3,cluster_bge_kmeans_20,1.75,14,8,0.0,0.0,1.0
10,0.0,0,2,cluster_bge_kmeans_20,0.5,11,22,5.0,5.0,1.0
11,0.5,1,2,cluster_bge_kmeans_20,1.1428571428571428,8,7,0.0,0.0,1.0
12,1.6666666666666667,5,3,cluster_bge_kmeans_20,1.0,6,6,0.0,0.0,1.0
13,0.0,0,2,cluster_bge_kmeans_20,2.1666666666666665,13,6,0.0,0.0,1.0
14,,0,0,cluster_bge_kmeans_20,1.8235294117647058,31,17,0.0,0.0,1.0
15,2.3333333333333335,7,3,cluster_bge_kmeans_20,1.6666666666666667,10,6,0.0,0.0,1.0
16,3.0,6,2,cluster_bge_kmeans_20,2.0,10,5,5.0,5.0,1.0
