file_id,cluster_id,se_tiny_sim_t5,se_tiny_sim_centroid,se_tiny_sim_keybert
cluster_bge_hdbscan_30,13.0,0.50749403,0.6200865,0.4364428
cluster_bge_hdbscan_40,10.0,0.4895449,0.57307154,0.4071298
cluster_bge_hdbscan_50,9.0,0.48418325,0.57715046,0.4151091
cluster_bge_kmeans_10,4.5,0.47431356,0.6129724,0.46534505
cluster_bge_kmeans_15,7.0,0.46496165,0.56466365,0.41490215
cluster_bge_kmeans_20,9.5,0.5057523,0.59572136,0.44989967
cluster_e5_hdbscan_30,16.5,0.4911093,0.62202346,0.44520202
cluster_e5_hdbscan_40,11.5,0.4921171,0.61204624,0.44722146
cluster_e5_hdbscan_50,9.0,0.44923532,0.59719753,0.4040342
cluster_e5_kmeans_10,4.5,0.44669127,0.5542339,0.39238408
cluster_e5_kmeans_15,7.0,0.47907287,0.56180775,0.40915117
cluster_e5_kmeans_20,9.5,0.4653481,0.56939065,0.41897684
cluster_minilm_hdbscan_100,1.5,0.36611918,0.5089299,0.43123475
cluster_minilm_hdbscan_2,269.5,0.6152324,0.74183714,0.5549565
cluster_minilm_hdbscan_30,14.5,0.4978255,0.6224332,0.47639725
cluster_minilm_hdbscan_35,8.5,0.49367514,0.61903465,0.49798876
cluster_minilm_hdbscan_40,12.0,0.4940728,0.6249259,0.4866231
cluster_minilm_hdbscan_45,6.0,0.4722593,0.6019054,0.47191647
cluster_minilm_hdbscan_50,9.5,0.49788114,0.620606,0.48349577
cluster_minilm_hdbscan_55,3.0,0.48205328,0.6074209,0.42288798
cluster_minilm_hdbscan_60,3.0,0.44459206,0.57050496,0.40265957
cluster_minilm_kmeans_10,4.5,0.48636174,0.60091686,0.47037178
cluster_minilm_kmeans_15,7.0,0.4324633,0.58166695,0.41609854
cluster_minilm_kmeans_20,9.5,0.47543415,0.5938942,0.4413631
cluster_mpnet_hdbscan_100,0.0,0.36820272,0.46972135,0.41212684
cluster_mpnet_hdbscan_2,268.5,0.5911975,0.7146493,0.53139657
cluster_mpnet_hdbscan_30,6.5,0.39281625,0.57693046,0.4529548
cluster_mpnet_hdbscan_35,6.5,0.4576933,0.6112446,0.50128514
cluster_mpnet_hdbscan_40,5.0,0.39727825,0.5797673,0.47977385
cluster_mpnet_hdbscan_45,2.5,0.37216225,0.5317679,0.45309037
cluster_mpnet_hdbscan_50,3.0,0.4594601,0.5494588,0.4575847
cluster_mpnet_hdbscan_55,2.0,0.4062889,0.5139011,0.4089861
cluster_mpnet_hdbscan_60,2.0,0.46217164,0.5124993,0.4126922
cluster_mpnet_kmeans_10,4.5,0.4591759,0.55071056,0.41016865
cluster_mpnet_kmeans_15,7.0,0.48854724,0.5433893,0.4087782
cluster_mpnet_kmeans_20,9.5,0.5453296,0.58918476,0.41803965
cluster_paraphrase_hdbscan_100,0.5,0.5290562,0.55310506,0.43427822
cluster_paraphrase_hdbscan_2,270.0,0.5746447,0.68596524,0.51646644
cluster_paraphrase_hdbscan_30,0.0,0.34438896,0.4300047,0.43649638
cluster_paraphrase_hdbscan_35,0.0,0.3405796,0.42428866,0.4412508
cluster_paraphrase_hdbscan_40,5.0,0.43898743,0.55940634,0.4530673
cluster_paraphrase_hdbscan_45,2.5,0.4804392,0.56766033,0.45839387
cluster_paraphrase_hdbscan_50,2.5,0.56091446,0.57876056,0.4729902
cluster_paraphrase_hdbscan_55,2.5,0.5701407,0.5730626,0.4911181
cluster_paraphrase_hdbscan_60,2.0,0.5506008,0.5829209,0.4881231
cluster_paraphrase_kmeans_10,4.5,0.43716916,0.5121028,0.37578234
cluster_paraphrase_kmeans_15,7.0,0.3723378,0.4987355,0.31610054
cluster_paraphrase_kmeans_20,9.5,0.4239196,0.5529085,0.3888244
cluster_t5_hdbscan_100,0.0,0.5424766,0.5725042,0.42322597
cluster_t5_hdbscan_2,265.0,0.5911716,0.68740016,0.5185152
cluster_t5_hdbscan_30,4.0,0.52666706,0.61697286,0.43531284
cluster_t5_hdbscan_35,0.0,0.48433185,0.5686273,0.42322597
cluster_t5_hdbscan_40,0.0,0.5154759,0.5686273,0.42322597
cluster_t5_hdbscan_45,0.0,0.48981568,0.5564231,0.42322597
cluster_t5_hdbscan_50,0.0,0.5202662,0.5868046,0.42322597
cluster_t5_hdbscan_55,0.0,0.5165811,0.52788574,0.42322597
cluster_t5_hdbscan_60,0.0,0.5309214,0.5868046,0.42322597
cluster_t5_kmeans_10,4.5,0.50067264,0.5862266,0.43179727
cluster_t5_kmeans_15,7.0,0.42755657,0.54330194,0.38819626
cluster_t5_kmeans_20,9.5,0.46174255,0.5514986,0.38283038
